model_id,fold,kind,architecture,mode,seed,participant,score
fold1__classification__MLP_current__current__20260907,1,classification,MLP_current,current,20260907,P30,0.3244251560834475
fold1__classification__MLP_current__current__20260907,1,classification,MLP_current,current,20260907,P43,0.346371258135964
fold1__classification__MLP_current__current__20260907,1,classification,MLP_current,current,20260907,P48,0.35194585448392557
fold1__classification__MLP_current__current__20260908,1,classification,MLP_current,current,20260908,P22,0.2840323520186405
fold1__classification__MLP_current__current__20260908,1,classification,MLP_current,current,20260908,P24,0.44420172962315724
fold1__classification__MLP_current__current__20260908,1,classification,MLP_current,current,20260908,P30,0.30920596247229415
fold1__classification__MLP_current__current__20260908,1,classification,MLP_current,current,20260908,P43,0.35851915263679973
fold1__classification__MLP_current__current__20260908,1,classification,MLP_current,current,20260908,P48,0.338409475465313
fold1__classification__dummy_prior__current__20260907,1,classification,dummy_prior,current,20260907,P22,0.3333333333333333
fold1__classification__dummy_prior__current__20260907,1,classification,dummy_prior,current,20260907,P24,0.3333333333333333
fold1__classification__dummy_prior__current__20260907,1,classification,dummy_prior,current,20260907,P30,0.3333333333333333
fold1__classification__dummy_prior__current__20260907,1,classification,dummy_prior,current,20260907,P43,0.3333333333333333
fold1__classification__dummy_prior__current__20260907,1,classification,dummy_prior,current,20260907,P48,0.3333333333333333
fold1__classification__logistic__current__20260907,1,classification,logistic,current,20260907,P22,0.30523815925079534
fold1__classification__logistic__current__20260907,1,classification,logistic,current,20260907,P24,0.4345790204776628
fold1__classification__logistic__current__20260907,1,classification,logistic,current,20260907,P30,0.2991134121787388
fold1__classification__logistic__current__20260907,1,classification,logistic,current,20260907,P43,0.36587039528216
fold1__classification__logistic__current__20260907,1,classification,logistic,current,20260907,P48,0.350253807106599
fold1__classification__random_forest__current__20260907,1,classification,random_forest,current,20260907,P22,0.3050813281355021
fold1__classification__random_forest__current__20260907,1,classification,random_forest,current,20260907,P24,0.34741452704216513
fold1__classification__random_forest__current__20260907,1,classification,random_forest,current,20260907,P30,0.33108302455036126
fold1__classification__random_forest__current__20260907,1,classification,random_forest,current,20260907,P43,0.31325669560963676
fold1__classification__random_forest__current__20260907,1,classification,random_forest,current,20260907,P48,0.3333333333333333
fold1__regression__TCN__history__20260907,1,regression,TCN,history,20260907,P22,-1.0161444877441645
fold1__regression__TCN__history__20260907,1,regression,TCN,history,20260907,P24,-0.9905457572402676
fold1__regression__TCN__history__20260907,1,regression,TCN,history,20260907,P30,-1.0138425845186363
fold1__regression__TCN__history__20260907,1,regression,TCN,history,20260907,P43,-1.0006771676230972
fold1__regression__TCN__history__20260907,1,regression,TCN,history,20260907,P48,-1.0078418356911323
fold1__regression__TCN__history__20260908,1,regression,TCN,history,20260908,P22,-1.0058827017664567
fold1__regression__TCN__history__20260908,1,regression,TCN,history,20260908,P24,-0.9899239139324331
fold1__regression__TCN__history__20260908,1,regression,TCN,history,20260908,P30,-1.0036861618750916
fold1__regression__TCN__history__20260908,1,regression,TCN,history,20260908,P43,-0.9982565016852969
fold1__regression__TCN__history__20260908,1,regression,TCN,history,20260908,P48,-1.0128277008416928
fold1__regression__TCN__repeat_current__20260907,1,regression,TCN,repeat_current,20260907,P22,-1.0039457343863862
fold1__regression__TCN__repeat_current__20260907,1,regression,TCN,repeat_current,20260907,P24,-0.9955401372520809
fold1__regression__TCN__repeat_current__20260907,1,regression,TCN,repeat_current,20260907,P30,-1.005523801174698
fold1__regression__TCN__repeat_current__20260907,1,regression,TCN,repeat_current,20260907,P43,-1.0017642935561222
fold1__regression__TCN__repeat_current__20260907,1,regression,TCN,repeat_current,20260907,P48,-1.0013174944430807
fold1__regression__TCN__repeat_current__20260908,1,regression,TCN,repeat_current,20260908,P22,-1.0017822003638444
fold1__regression__TCN__repeat_current__20260908,1,regression,TCN,repeat_current,20260908,P24,-0.9930158884073006
fold1__regression__TCN__repeat_current__20260908,1,regression,TCN,repeat_current,20260908,P30,-1.0025818715585333
fold1__regression__TCN__repeat_current__20260908,1,regression,TCN,repeat_current,20260908,P43,-0.9980325645775966
fold1__regression__TCN__repeat_current__20260908,1,regression,TCN,repeat_current,20260908,P48,-1.006258653718692
