kind,architecture,reference,reference_mode,participant,delta
regression,TCN,dummy_mean,current,P22,-0.01101359579479888
regression,TCN,dummy_mean,current,P24,0.009765165170448675
regression,TCN,dummy_mean,current,P26,-0.016745072398204552
regression,TCN,dummy_mean,current,P27,0.0037185358223112974
regression,TCN,dummy_mean,current,P3,0.009526867898594915
regression,TCN,dummy_mean,current,P30,-0.008764362454067864
regression,TCN,dummy_mean,current,P33,-0.009746319256620062
regression,TCN,dummy_mean,current,P34,-0.018043298703344424
regression,TCN,dummy_mean,current,P35,-0.005691186665718773
regression,TCN,dummy_mean,current,P36,0.01034885255258533
regression,TCN,dummy_mean,current,P4,0.011581167379817736
regression,TCN,dummy_mean,current,P40,0.00602822143568893
regression,TCN,dummy_mean,current,P43,0.0005331677870119567
regression,TCN,dummy_mean,current,P44,-0.018442947073178728
regression,TCN,dummy_mean,current,P46,-0.0015507651895267927
regression,TCN,dummy_mean,current,P48,-0.010334767242582421
regression,TCN,dummy_mean,current,P8,-0.000767565773206913
regression,TCN,dummy_mean,current,P9,-0.011478191691602024
regression,LSTM,LSTM,repeat_current,P12,-0.007222452885697006
regression,LSTM,LSTM,repeat_current,P13,-0.003848327002691665
regression,LSTM,LSTM,repeat_current,P18,-0.00030053482031200396
regression,LSTM,LSTM,repeat_current,P19,-0.0024570802442238637
regression,LSTM,LSTM,repeat_current,P2,0.0029933865858341457
regression,LSTM,LSTM,repeat_current,P20,-0.002304447433909118
regression,LSTM,LSTM,repeat_current,P21,-0.010987074374171346
regression,LSTM,LSTM,repeat_current,P22,-0.004841335024968529
regression,LSTM,LSTM,repeat_current,P24,-0.0026579520882695773
regression,LSTM,LSTM,repeat_current,P26,0.0022502154120559448
regression,LSTM,LSTM,repeat_current,P27,0.004107366747479579
regression,LSTM,LSTM,repeat_current,P3,0.0015677011692166731
regression,LSTM,LSTM,repeat_current,P30,0.01001810237858014
regression,LSTM,LSTM,repeat_current,P33,-0.004763525112008615
regression,LSTM,LSTM,repeat_current,P34,-0.02083197935006109
regression,LSTM,LSTM,repeat_current,P35,-0.01065475511772207
regression,LSTM,LSTM,repeat_current,P36,0.0014447198836822217
regression,LSTM,LSTM,repeat_current,P4,0.0006085996486082657
regression,LSTM,LSTM,repeat_current,P40,0.0025650001376418263
regression,LSTM,LSTM,repeat_current,P43,0.006254732103281535
regression,LSTM,LSTM,repeat_current,P44,-0.01456497822787628
regression,LSTM,LSTM,repeat_current,P46,-0.001507992189080598
regression,LSTM,LSTM,repeat_current,P48,-0.0003147431780452514
regression,LSTM,LSTM,repeat_current,P8,-0.0024292198138367027
regression,LSTM,LSTM,repeat_current,P9,0.0011950643070233191
regression,LSTM,MLP_current,current,P12,-0.008718217793855843
regression,LSTM,MLP_current,current,P13,-0.009877854021294485
regression,LSTM,MLP_current,current,P18,-0.001942619058425854
regression,LSTM,MLP_current,current,P19,0.002956516637192097
regression,LSTM,MLP_current,current,P2,0.007654563045413898
regression,LSTM,MLP_current,current,P20,-0.005396469843516494
regression,LSTM,MLP_current,current,P21,-0.01359497907059759
regression,LSTM,MLP_current,current,P22,-0.007762079666622679
regression,LSTM,MLP_current,current,P24,0.0022514242218936165
regression,LSTM,MLP_current,current,P26,0.002988409897057509
regression,LSTM,MLP_current,current,P27,0.0013486592658513707
regression,LSTM,MLP_current,current,P3,0.00021660598092798633
regression,LSTM,MLP_current,current,P30,0.007429387474933824
regression,LSTM,MLP_current,current,P33,-0.004876478006111684
regression,LSTM,MLP_current,current,P34,-0.022421669028445335
regression,LSTM,MLP_current,current,P35,-0.012009666469312119
regression,LSTM,MLP_current,current,P36,-0.0005434155527845874
regression,LSTM,MLP_current,current,P4,-0.002221537423270359
regression,LSTM,MLP_current,current,P40,-0.002676947982686473
regression,LSTM,MLP_current,current,P43,0.005528342221674087
regression,LSTM,MLP_current,current,P44,-0.013706338181375788
regression,LSTM,MLP_current,current,P46,-0.001921713364971711
regression,LSTM,MLP_current,current,P48,-0.0017865124505098695
regression,LSTM,MLP_current,current,P8,-0.0023075750019890817
regression,LSTM,MLP_current,current,P9,-0.0034433814281809028
regression,LSTM,ridge,current,P12,-0.008904221270839008
regression,LSTM,ridge,current,P13,-0.006262569547778596
regression,LSTM,ridge,current,P18,0.002952329711754409
regression,LSTM,ridge,current,P19,-0.005925552738464734
regression,LSTM,ridge,current,P2,0.009958659958527738
regression,LSTM,ridge,current,P20,-0.009333651160020384
regression,LSTM,ridge,current,P21,-0.010523956987164684
regression,LSTM,ridge,current,P22,-0.004143627753047996
regression,LSTM,ridge,current,P24,-0.003548442188680778
regression,LSTM,ridge,current,P26,-0.005115508420406534
regression,LSTM,ridge,current,P27,0.0006114634083446147
regression,LSTM,ridge,current,P3,-0.004691636383595044
regression,LSTM,ridge,current,P30,0.011175233845050592
regression,LSTM,ridge,current,P33,-0.009316479232462815
regression,LSTM,ridge,current,P34,-0.02791555684725544
regression,LSTM,ridge,current,P35,-0.005026962098046095
regression,LSTM,ridge,current,P36,-0.0027712355429515556
regression,LSTM,ridge,current,P4,0.004894192097369077
regression,LSTM,ridge,current,P40,0.0022187054221773916
regression,LSTM,ridge,current,P43,0.0026255019895162768
regression,LSTM,ridge,current,P44,-0.017106231607863287
regression,LSTM,ridge,current,P46,-0.006474783015466112
regression,LSTM,ridge,current,P48,-0.004526549101738775
regression,LSTM,ridge,current,P8,0.0017237689252382893
regression,LSTM,ridge,current,P9,-0.003056955833162789
regression,LSTM,random_forest,current,P12,0.02789423273343572
regression,LSTM,random_forest,current,P13,0.051143340451447195
regression,LSTM,random_forest,current,P18,0.05146629869486108
regression,LSTM,random_forest,current,P19,0.02861371017624781
regression,LSTM,random_forest,current,P2,0.07208016762132297
regression,LSTM,random_forest,current,P20,0.030464642058247948
regression,LSTM,random_forest,current,P21,0.03497316769584491
regression,LSTM,random_forest,current,P22,0.06116713820872954
regression,LSTM,random_forest,current,P24,0.029454745975706964
regression,LSTM,random_forest,current,P26,0.07130144805600669
regression,LSTM,random_forest,current,P27,0.010538758882323807
regression,LSTM,random_forest,current,P3,0.04308507799833172
regression,LSTM,random_forest,current,P30,0.02273273934643072
regression,LSTM,random_forest,current,P33,0.07099345009214297
regression,LSTM,random_forest,current,P34,0.006660467238272183
regression,LSTM,random_forest,current,P35,0.042160455250469964
regression,LSTM,random_forest,current,P36,0.04628219318429383
regression,LSTM,random_forest,current,P4,0.012757950503079263
regression,LSTM,random_forest,current,P40,0.029711121887274095
regression,LSTM,random_forest,current,P43,0.03703836202947497
regression,LSTM,random_forest,current,P44,0.021739925618201372
regression,LSTM,random_forest,current,P46,0.00035089470657667654
regression,LSTM,random_forest,current,P48,0.052048180864103344
regression,LSTM,random_forest,current,P8,0.030839762338674026
regression,LSTM,random_forest,current,P9,0.029380031245676674
regression,LSTM,dummy_mean,current,P12,-0.008608536464188798
regression,LSTM,dummy_mean,current,P13,-0.0050793000134740085
regression,LSTM,dummy_mean,current,P18,-0.0008729422635775919
regression,LSTM,dummy_mean,current,P19,-0.009126861244290962
regression,LSTM,dummy_mean,current,P2,0.0044521211633807845
regression,LSTM,dummy_mean,current,P20,-0.00871359216185219
regression,LSTM,dummy_mean,current,P21,-0.010735039741998964
regression,LSTM,dummy_mean,current,P22,-0.009821041164148503
regression,LSTM,dummy_mean,current,P24,0.0023988725285425394
regression,LSTM,dummy_mean,current,P26,0.0016546956452242467
regression,LSTM,dummy_mean,current,P27,0.002635427415724534
regression,LSTM,dummy_mean,current,P3,0.003288256134511669
regression,LSTM,dummy_mean,current,P30,0.0031812011452425626
regression,LSTM,dummy_mean,current,P33,-0.008254115333427015
regression,LSTM,dummy_mean,current,P34,-0.023638989591904136
regression,LSTM,dummy_mean,current,P35,-0.011531042071474928
regression,LSTM,dummy_mean,current,P36,0.002813230895522878
regression,LSTM,dummy_mean,current,P4,0.0028268125192014715
regression,LSTM,dummy_mean,current,P40,0.003003250967709925
regression,LSTM,dummy_mean,current,P43,0.005395808836254012
regression,LSTM,dummy_mean,current,P44,-0.01702357697112189
regression,LSTM,dummy_mean,current,P46,-0.001570681631840154
regression,LSTM,dummy_mean,current,P48,-0.005855850063640089
regression,LSTM,dummy_mean,current,P8,-0.0017222266309748768
regression,LSTM,dummy_mean,current,P9,-0.006928672801623792
regression,BiLSTM,BiLSTM,repeat_current,P12,0.0037163286491076475
regression,BiLSTM,BiLSTM,repeat_current,P13,0.0059422254916493555
regression,BiLSTM,BiLSTM,repeat_current,P18,-0.0007518134083104311
regression,BiLSTM,BiLSTM,repeat_current,P19,-0.005708471406326243
regression,BiLSTM,BiLSTM,repeat_current,P2,-0.0006908802747371823
regression,BiLSTM,BiLSTM,repeat_current,P20,0.0017307641982020616
regression,BiLSTM,BiLSTM,repeat_current,P21,0.011539436151878468
regression,BiLSTM,BiLSTM,repeat_current,P22,-0.0028066268016389007
regression,BiLSTM,BiLSTM,repeat_current,P24,0.005504239042585013
regression,BiLSTM,BiLSTM,repeat_current,P26,-0.00695129942100059
regression,BiLSTM,BiLSTM,repeat_current,P27,0.002566098063089828
regression,BiLSTM,BiLSTM,repeat_current,P3,0.006013813749445651
regression,BiLSTM,BiLSTM,repeat_current,P30,-0.003523406674918128
regression,BiLSTM,BiLSTM,repeat_current,P33,-0.0018161387336457224
regression,BiLSTM,BiLSTM,repeat_current,P34,-0.008669791068256716
regression,BiLSTM,BiLSTM,repeat_current,P35,0.0011003590361162718
regression,BiLSTM,BiLSTM,repeat_current,P36,0.0069439519878886635
regression,BiLSTM,BiLSTM,repeat_current,P4,-0.005157504517571243
regression,BiLSTM,BiLSTM,repeat_current,P40,0.004618015513631724
regression,BiLSTM,BiLSTM,repeat_current,P43,0.001930651514522319
regression,BiLSTM,BiLSTM,repeat_current,P44,-0.02130798874174511
regression,BiLSTM,BiLSTM,repeat_current,P46,0.00018435159190666184
regression,BiLSTM,BiLSTM,repeat_current,P48,-0.0003711705872275761
regression,BiLSTM,BiLSTM,repeat_current,P8,0.0011678164755797305
regression,BiLSTM,BiLSTM,repeat_current,P9,0.00217250231361632
regression,BiLSTM,MLP_current,current,P12,0.0010788673788310055
regression,BiLSTM,MLP_current,current,P13,0.004031499164276586
regression,BiLSTM,MLP_current,current,P18,-0.0021206478139840224
regression,BiLSTM,MLP_current,current,P19,0.0018956730385470966
regression,BiLSTM,MLP_current,current,P2,0.006121771556828692
regression,BiLSTM,MLP_current,current,P20,-0.001974927892783418
regression,BiLSTM,MLP_current,current,P21,0.00723460758197525
regression,BiLSTM,MLP_current,current,P22,-0.00018235792738741097
regression,BiLSTM,MLP_current,current,P24,0.004996433134531686
regression,BiLSTM,MLP_current,current,P26,-0.005676173667788165
regression,BiLSTM,MLP_current,current,P27,0.015579217701417014
regression,BiLSTM,MLP_current,current,P3,0.0016702166130726503
regression,BiLSTM,MLP_current,current,P30,0.002601461676235761
regression,BiLSTM,MLP_current,current,P33,-0.001518814015514014
regression,BiLSTM,MLP_current,current,P34,-0.012422092501383819
regression,BiLSTM,MLP_current,current,P35,-0.0016806646972333805
regression,BiLSTM,MLP_current,current,P36,0.0023736765634134738
regression,BiLSTM,MLP_current,current,P4,-0.0023417949333535137
regression,BiLSTM,MLP_current,current,P40,0.0019370034936552205
regression,BiLSTM,MLP_current,current,P43,0.0029122751162515836
regression,BiLSTM,MLP_current,current,P44,-0.019039446102552926
regression,BiLSTM,MLP_current,current,P46,-0.001355025681521016
regression,BiLSTM,MLP_current,current,P48,0.0004848050543080351
regression,BiLSTM,MLP_current,current,P8,-0.008588483417393156
regression,BiLSTM,MLP_current,current,P9,-0.0023105501557845187
regression,BiLSTM,ridge,current,P12,0.0008928639018478401
regression,BiLSTM,ridge,current,P13,0.007646783637792476
regression,BiLSTM,ridge,current,P18,0.0027743009561962406
regression,BiLSTM,ridge,current,P19,-0.006986396337109735
regression,BiLSTM,ridge,current,P2,0.008425868469942532
regression,BiLSTM,ridge,current,P20,-0.005912109209287308
regression,BiLSTM,ridge,current,P21,0.010305629665408156
regression,BiLSTM,ridge,current,P22,0.003436093986187272
regression,BiLSTM,ridge,current,P24,-0.0008034332760427088
regression,BiLSTM,ridge,current,P26,-0.013780091985252207
regression,BiLSTM,ridge,current,P27,0.014842021843910258
regression,BiLSTM,ridge,current,P3,-0.0032380257514503796
regression,BiLSTM,ridge,current,P30,0.006347308046352529
regression,BiLSTM,ridge,current,P33,-0.005958815241865145
regression,BiLSTM,ridge,current,P34,-0.017915980320193925
regression,BiLSTM,ridge,current,P35,0.005302039674032644
regression,BiLSTM,ridge,current,P36,0.00014585657324650558
regression,BiLSTM,ridge,current,P4,0.004773934587285922
regression,BiLSTM,ridge,current,P40,0.006832656898519085
regression,BiLSTM,ridge,current,P43,9.434884093773022e-06
regression,BiLSTM,ridge,current,P44,-0.022439339529040425
regression,BiLSTM,ridge,current,P46,-0.005908095332015417
regression,BiLSTM,ridge,current,P48,-0.0022552315969208703
regression,BiLSTM,ridge,current,P8,-0.004557139490165785
regression,BiLSTM,ridge,current,P9,-0.0019241245607664048
regression,BiLSTM,random_forest,current,P12,0.03769131790612257
regression,BiLSTM,random_forest,current,P13,0.06505269363701827
regression,BiLSTM,random_forest,current,P18,0.05128826993930291
regression,BiLSTM,random_forest,current,P19,0.027552866577602808
regression,BiLSTM,random_forest,current,P2,0.07054737613273776
regression,BiLSTM,random_forest,current,P20,0.033886184008981024
regression,BiLSTM,random_forest,current,P21,0.05580275434841775
regression,BiLSTM,random_forest,current,P22,0.06874685994796481
regression,BiLSTM,random_forest,current,P24,0.032199754888345034
regression,BiLSTM,random_forest,current,P26,0.06263686449116102
regression,BiLSTM,random_forest,current,P27,0.02476931731788945
regression,BiLSTM,random_forest,current,P3,0.044538688630476386
regression,BiLSTM,random_forest,current,P30,0.017904813547732656
regression,BiLSTM,random_forest,current,P33,0.07435111408274064
regression,BiLSTM,random_forest,current,P34,0.0166600437653337
regression,BiLSTM,random_forest,current,P35,0.0524894570225487
regression,BiLSTM,random_forest,current,P36,0.04919928530049189
regression,BiLSTM,random_forest,current,P4,0.012637692992996108
regression,BiLSTM,random_forest,current,P40,0.03432507336361579
regression,BiLSTM,random_forest,current,P43,0.034422294924052466
regression,BiLSTM,random_forest,current,P44,0.016406817697024234
regression,BiLSTM,random_forest,current,P46,0.0009175823900273716
regression,BiLSTM,random_forest,current,P48,0.05431949836892125
regression,BiLSTM,random_forest,current,P8,0.024558853923269952
regression,BiLSTM,random_forest,current,P9,0.03051286251807306
regression,BiLSTM,dummy_mean,current,P12,0.0011885487084980495
regression,BiLSTM,dummy_mean,current,P13,0.008830053172097063
regression,BiLSTM,dummy_mean,current,P18,-0.0010509710191357602
regression,BiLSTM,dummy_mean,current,P19,-0.010187704842935963
regression,BiLSTM,dummy_mean,current,P2,0.002919329674795579
regression,BiLSTM,dummy_mean,current,P20,-0.005292050211119115
regression,BiLSTM,dummy_mean,current,P21,0.010094546910573876
regression,BiLSTM,dummy_mean,current,P22,-0.002241319424913235
regression,BiLSTM,dummy_mean,current,P24,0.005143881441180609
regression,BiLSTM,dummy_mean,current,P26,-0.007009887919621427
regression,BiLSTM,dummy_mean,current,P27,0.016865985851290177
regression,BiLSTM,dummy_mean,current,P3,0.004741866766656333
regression,BiLSTM,dummy_mean,current,P30,-0.0016467246534555002
regression,BiLSTM,dummy_mean,current,P33,-0.004896451342829344
regression,BiLSTM,dummy_mean,current,P34,-0.01363941306484262
regression,BiLSTM,dummy_mean,current,P35,-0.0012020402993961898
regression,BiLSTM,dummy_mean,current,P36,0.005730323011720939
regression,BiLSTM,dummy_mean,current,P4,0.0027065550091183166
regression,BiLSTM,dummy_mean,current,P40,0.007617202444051618
regression,BiLSTM,dummy_mean,current,P43,0.0027797417308315087
regression,BiLSTM,dummy_mean,current,P44,-0.022356684892299028
regression,BiLSTM,dummy_mean,current,P46,-0.0010039939483894589
regression,BiLSTM,dummy_mean,current,P48,-0.0035845325588221844
regression,BiLSTM,dummy_mean,current,P8,-0.00800313504637895
regression,BiLSTM,dummy_mean,current,P9,-0.005795841529227408
