kind,architecture,reference,reference_mode,participant,delta
classification,TCN,dummy_prior,current,P13,0.055013300593411085
classification,TCN,dummy_prior,current,P18,-0.002123142250530785
classification,TCN,dummy_prior,current,P19,0.019883385744234816
classification,TCN,dummy_prior,current,P2,0.06537709193653557
classification,TCN,dummy_prior,current,P20,-0.019169527790217467
classification,TCN,dummy_prior,current,P21,0.013203526106751962
classification,TCN,dummy_prior,current,P22,-0.008961778016758515
classification,TCN,dummy_prior,current,P24,0.017850741587130903
classification,TCN,dummy_prior,current,P26,0.07904761904761909
classification,TCN,dummy_prior,current,P27,0.07771260997067447
classification,TCN,dummy_prior,current,P3,0.02070393374741203
classification,TCN,dummy_prior,current,P30,0.009542662808994462
classification,TCN,dummy_prior,current,P33,-0.009614723082215337
classification,TCN,dummy_prior,current,P34,-0.20359361135758652
classification,TCN,dummy_prior,current,P35,-0.01759259259259255
classification,TCN,dummy_prior,current,P36,0.03832811231001276
classification,TCN,dummy_prior,current,P4,-0.005446623093681879
classification,TCN,dummy_prior,current,P40,0.00797167310459751
classification,TCN,dummy_prior,current,P43,0.02056241762124117
classification,TCN,dummy_prior,current,P44,0.01518244960867915
classification,TCN,dummy_prior,current,P46,-0.22959183673469385
classification,TCN,dummy_prior,current,P48,0.029610829103214886
classification,TCN,dummy_prior,current,P8,-0.016666666666666663
classification,TCN,dummy_prior,current,P9,0.05153078775369796
classification,LSTM,LSTM,repeat_current,P12,-0.02052785923753664
classification,LSTM,LSTM,repeat_current,P13,0.012968078575813391
classification,LSTM,LSTM,repeat_current,P18,0.006369426751592355
classification,LSTM,LSTM,repeat_current,P19,0.016653563941299798
classification,LSTM,LSTM,repeat_current,P2,0.010157212200246346
classification,LSTM,LSTM,repeat_current,P20,-0.0005939941284768824
classification,LSTM,LSTM,repeat_current,P21,0.002765668894701201
classification,LSTM,LSTM,repeat_current,P22,-0.014439664829502152
classification,LSTM,LSTM,repeat_current,P24,0.003853564547206201
classification,LSTM,LSTM,repeat_current,P26,0.0009523809523809823
classification,LSTM,LSTM,repeat_current,P27,-0.030191314062281815
classification,LSTM,LSTM,repeat_current,P3,0.020703933747411973
classification,LSTM,LSTM,repeat_current,P30,0.00842596822496322
classification,LSTM,LSTM,repeat_current,P33,-0.015508542598325847
classification,LSTM,LSTM,repeat_current,P34,-0.0100044365572316
classification,LSTM,LSTM,repeat_current,P35,0.011111111111111127
classification,LSTM,LSTM,repeat_current,P36,0.043061840120663664
classification,LSTM,LSTM,repeat_current,P4,-0.006535947712418333
classification,LSTM,LSTM,repeat_current,P40,-0.006116034234643575
classification,LSTM,LSTM,repeat_current,P43,0.012834101069395198
classification,LSTM,LSTM,repeat_current,P44,0.018264977281370776
classification,LSTM,LSTM,repeat_current,P46,0.028061224489795922
classification,LSTM,LSTM,repeat_current,P48,0.009306260575296155
classification,LSTM,LSTM,repeat_current,P8,0.03276372750056955
classification,LSTM,LSTM,repeat_current,P9,0.0057562206169017305
classification,LSTM,MLP_current,current,P12,-0.03209049015500631
classification,LSTM,MLP_current,current,P13,-0.025010231225700785
classification,LSTM,MLP_current,current,P18,0.0
classification,LSTM,MLP_current,current,P19,-0.0039308176100628645
classification,LSTM,MLP_current,current,P2,-0.030717959863797717
classification,LSTM,MLP_current,current,P20,0.009982833258695367
classification,LSTM,MLP_current,current,P21,-0.02513319771384287
classification,LSTM,MLP_current,current,P22,0.03360106645158395
classification,LSTM,MLP_current,current,P24,-0.024398440650625075
classification,LSTM,MLP_current,current,P26,-0.002857142857142836
classification,LSTM,MLP_current,current,P27,0.05115905599776571
classification,LSTM,MLP_current,current,P3,0.0165631469979296
classification,LSTM,MLP_current,current,P30,-0.00497436678341201
classification,LSTM,MLP_current,current,P33,-0.03047242288728358
classification,LSTM,MLP_current,current,P34,0.10414818101153506
classification,LSTM,MLP_current,current,P35,0.054629629629629584
classification,LSTM,MLP_current,current,P36,0.04004524886877825
classification,LSTM,MLP_current,current,P4,0.022875816993464027
classification,LSTM,MLP_current,current,P40,-0.006393748895452966
classification,LSTM,MLP_current,current,P43,0.013601837131248906
classification,LSTM,MLP_current,current,P44,-0.027337416681678883
classification,LSTM,MLP_current,current,P46,0.056122448979591844
classification,LSTM,MLP_current,current,P48,0.025380710659898498
classification,LSTM,MLP_current,current,P8,0.000991114149008876
classification,LSTM,MLP_current,current,P9,-0.0066735466116271125
classification,LSTM,logistic,current,P12,-0.024619466554950398
classification,LSTM,logistic,current,P13,-0.011428279107837058
classification,LSTM,logistic,current,P18,0.023354564755838636
classification,LSTM,logistic,current,P19,-0.02815120545073374
classification,LSTM,logistic,current,P2,-0.015181482286459436
classification,LSTM,logistic,current,P20,-0.021623252226700473
classification,LSTM,logistic,current,P21,-0.019073912622299738
classification,LSTM,logistic,current,P22,0.027719899628086242
classification,LSTM,logistic,current,P24,-0.01777792714074472
classification,LSTM,logistic,current,P26,-0.047619047619047616
classification,LSTM,logistic,current,P27,0.005760368663594473
classification,LSTM,logistic,current,P3,0.016563146997929656
