fold,id,family,epoch,smoothing,score
2,TCN_2,TCN,12,32,0.35067962669631775
3,Transformer_0,Transformer,4,1,0.3592673162008074
3,Transformer_0,Transformer,4,8,0.37191189165473765
3,Transformer_0,Transformer,4,32,0.36884797094755256
3,Transformer_0,Transformer,8,1,0.35691452417551894
3,Transformer_0,Transformer,8,8,0.3328451424142198
3,Transformer_0,Transformer,8,32,0.33978039427923684
3,Transformer_0,Transformer,12,1,0.3435057822016124
3,Transformer_0,Transformer,12,8,0.339874427521793
3,Transformer_0,Transformer,12,32,0.3426920351293896
3,Transformer_1,Transformer,4,1,0.33183991527335965
3,Transformer_1,Transformer,4,8,0.31890675212581976
3,Transformer_1,Transformer,4,32,0.3264399016933863
3,Transformer_1,Transformer,8,1,0.3344290344208199
3,Transformer_1,Transformer,8,8,0.32606289586805776
3,Transformer_1,Transformer,8,32,0.32303072075582195
3,Transformer_1,Transformer,12,1,0.3423325697898294
3,Transformer_1,Transformer,12,8,0.31335708683696223
3,Transformer_1,Transformer,12,32,0.3125677768296621
3,Transformer_2,Transformer,4,1,0.33204095929943617
3,Transformer_2,Transformer,4,8,0.320999700465198
3,Transformer_2,Transformer,4,32,0.33114608680955576
3,Transformer_2,Transformer,8,1,0.3416078018347332
3,Transformer_2,Transformer,8,8,0.33008852976377306
3,Transformer_2,Transformer,8,32,0.3454751921799524
3,Transformer_2,Transformer,12,1,0.339604974362602
3,Transformer_2,Transformer,12,8,0.31836978953729433
3,Transformer_2,Transformer,12,32,0.3102131238951961
3,TCN_0,TCN,4,1,0.33499966434076534
3,TCN_0,TCN,4,8,0.3206563089725588
3,TCN_0,TCN,4,32,0.3190631925059302
3,TCN_0,TCN,8,1,0.332473025632698
3,TCN_0,TCN,8,8,0.3272967984978939
3,TCN_0,TCN,8,32,0.33502080608261486
3,TCN_0,TCN,12,1,0.35192402597945893
3,TCN_0,TCN,12,8,0.313983022299875
3,TCN_0,TCN,12,32,0.3103672507671888
3,TCN_1,TCN,4,1,0.34036237262935987
3,TCN_1,TCN,4,8,0.33765337542384893
3,TCN_1,TCN,4,32,0.3403455441913381
3,TCN_1,TCN,8,1,0.31966204864979164
3,TCN_1,TCN,8,8,0.2992805093357252
3,TCN_1,TCN,8,32,0.309860494309586
3,TCN_1,TCN,12,1,0.3278317221128691
3,TCN_1,TCN,12,8,0.31714905995441567
3,TCN_1,TCN,12,32,0.3153912167889159
3,TCN_2,TCN,4,1,0.32288181664852134
3,TCN_2,TCN,4,8,0.3107818948842565
3,TCN_2,TCN,4,32,0.3083738071562813
3,TCN_2,TCN,8,1,0.3301461647121584
3,TCN_2,TCN,8,8,0.3194870109211323
3,TCN_2,TCN,8,32,0.32174544906231445
3,TCN_2,TCN,12,1,0.33662383345174646
3,TCN_2,TCN,12,8,0.3460136518608731
3,TCN_2,TCN,12,32,0.34442650919699325
4,Transformer_0,Transformer,4,1,0.33725282571360954
4,Transformer_0,Transformer,4,8,0.32083375869316566
4,Transformer_0,Transformer,4,32,0.31606014656106296
4,Transformer_0,Transformer,8,1,0.34222095194638413
4,Transformer_0,Transformer,8,8,0.3266619032295071
4,Transformer_0,Transformer,8,32,0.3184160632030067
4,Transformer_0,Transformer,12,1,0.3360789564907461
4,Transformer_0,Transformer,12,8,0.3373366576100202
4,Transformer_0,Transformer,12,32,0.32325132143152363
4,Transformer_1,Transformer,4,1,0.3237421616777981
4,Transformer_1,Transformer,4,8,0.3174347255410104
4,Transformer_1,Transformer,4,32,0.3141454595219817
4,Transformer_1,Transformer,8,1,0.3170543499482187
4,Transformer_1,Transformer,8,8,0.32364016505959675
4,Transformer_1,Transformer,8,32,0.31920689516680156
4,Transformer_1,Transformer,12,1,0.3244017122121229
4,Transformer_1,Transformer,12,8,0.332764520133704
4,Transformer_1,Transformer,12,32,0.3284388825153092
4,Transformer_2,Transformer,4,1,0.3234567643983771
4,Transformer_2,Transformer,4,8,0.31699684504101544
4,Transformer_2,Transformer,4,32,0.32460560684792866
4,Transformer_2,Transformer,8,1,0.3256434360184777
4,Transformer_2,Transformer,8,8,0.3323932150653134
4,Transformer_2,Transformer,8,32,0.33280952222694177
4,Transformer_2,Transformer,12,1,0.34661245161112975
4,Transformer_2,Transformer,12,8,0.3427434056227522
4,Transformer_2,Transformer,12,32,0.3431345363383655
4,TCN_0,TCN,4,1,0.31797275730899743
4,TCN_0,TCN,4,8,0.3037590634155626
4,TCN_0,TCN,4,32,0.3075191712322742
4,TCN_0,TCN,8,1,0.31322916027409087
4,TCN_0,TCN,8,8,0.32262765086753603
4,TCN_0,TCN,8,32,0.30442761640266586
4,TCN_0,TCN,12,1,0.3218868770679148
4,TCN_0,TCN,12,8,0.3281421296315973
4,TCN_0,TCN,12,32,0.3098682406058443
4,TCN_1,TCN,4,1,0.31253136313764984
4,TCN_1,TCN,4,8,0.3039368918806324
4,TCN_1,TCN,4,32,0.30273103275024493
4,TCN_1,TCN,8,1,0.3108966221171448
4,TCN_1,TCN,8,8,0.307438124159331
4,TCN_1,TCN,8,32,0.3165546062534075
4,TCN_1,TCN,12,1,0.3181842560394423
4,TCN_1,TCN,12,8,0.30434579622388147
4,TCN_1,TCN,12,32,0.3017255461036314
4,TCN_2,TCN,4,1,0.33583963125670635
4,TCN_2,TCN,4,8,0.32833628355372324
4,TCN_2,TCN,4,32,0.31464993954308684
4,TCN_2,TCN,8,1,0.3362535489309709
4,TCN_2,TCN,8,8,0.338857757256268
4,TCN_2,TCN,8,32,0.3372475826213292
4,TCN_2,TCN,12,1,0.30347175455369824
4,TCN_2,TCN,12,8,0.31660946523694244
4,TCN_2,TCN,12,32,0.3143308792257402
5,Transformer_0,Transformer,4,1,0.34650211118246155
5,Transformer_0,Transformer,4,8,0.3423976020831709
5,Transformer_0,Transformer,4,32,0.3438709732050682
5,Transformer_0,Transformer,8,1,0.3683084274896023
5,Transformer_0,Transformer,8,8,0.3646810980677658
5,Transformer_0,Transformer,8,32,0.3775751076963882
5,Transformer_0,Transformer,12,1,0.3673051661266089
5,Transformer_0,Transformer,12,8,0.37150363961973465
5,Transformer_0,Transformer,12,32,0.3719652911576208
5,Transformer_1,Transformer,4,1,0.3327977157922103
5,Transformer_1,Transformer,4,8,0.3141986322109255
5,Transformer_1,Transformer,4,32,0.3360062965776166
5,Transformer_1,Transformer,8,1,0.3314039710445109
5,Transformer_1,Transformer,8,8,0.32522569005785046
5,Transformer_1,Transformer,8,32,0.3406595108372006
5,Transformer_1,Transformer,12,1,0.33794062491909516
5,Transformer_1,Transformer,12,8,0.3370857379244586
5,Transformer_1,Transformer,12,32,0.34280916500648695
5,Transformer_2,Transformer,4,1,0.3427422159669256
5,Transformer_2,Transformer,4,8,0.3169476210109092
5,Transformer_2,Transformer,4,32,0.32185980060667385
5,Transformer_2,Transformer,8,1,0.33852300241115774
5,Transformer_2,Transformer,8,8,0.3252028580091009
5,Transformer_2,Transformer,8,32,0.3250236373929249
5,Transformer_2,Transformer,12,1,0.3257827457375229
5,Transformer_2,Transformer,12,8,0.3281382031509738
