scope,ba_macro,ba_global,macro_f1
TCN,0.3668219487130887,0.36254318141252057,0.353388466933984
Transformer,0.3634422794226508,0.3537648353991174,0.3448957645815318
all,0.3715579963138687,0.36256941505752055,0.3547059032615887
repeat_current,0.3749112347236433,0.36162612848440645,0.35064869277259
