id,epoch,score
TCN_0,4,0.3403868917543714
TCN_0,8,0.33687562627315903
TCN_0,12,0.33791688011440724
TCN_1,4,0.3497188166091194
TCN_1,8,0.347978406387248
TCN_1,12,0.33969231635138114
TCN_2,4,0.3329180949594567
TCN_2,8,0.33629765060191374
TCN_2,12,0.3340314620588579
Transformer_0,4,0.3476972712805421
Transformer_0,8,0.3486656257369666
Transformer_0,12,0.34821517156426113
Transformer_1,4,0.32886905278814066
Transformer_1,8,0.3273858071670815
Transformer_1,12,0.32754040851282684
Transformer_2,4,0.33651339387640433
Transformer_2,8,0.3408760273400715
Transformer_2,12,0.33847517453841286
