model_id,fold,scope,seed,macro_score,rows,participants,balanced_accuracy,macro_f1
fold1_all_20260911,1,all,20260911,0.3388188615596162,2886,5,0.3392238392238392,0.2755673134706112
fold1_all_20260912,1,all,20260912,0.33999537013666015,2886,5,0.34130284130284133,0.2784182379646259
fold1_ridge_20260911,1,ridge,20260911,0.36452540319419385,2886,5,0.36521136521136527,0.3502272877004035
fold1_ridge_20260912,1,ridge,20260912,0.36452540319419385,2886,5,0.36521136521136527,0.3502272877004035
fold1_rbf_20260911,1,rbf,20260911,0.3673382513879019,2886,5,0.36902286902286896,0.3456477282888128
fold1_rbf_20260912,1,rbf,20260912,0.3671725456666296,2886,5,0.3686763686763687,0.3461409250262202
fold1_trees_20260911,1,trees,20260911,0.3388188615596162,2886,5,0.3392238392238392,0.2755673134706112
fold1_trees_20260912,1,trees,20260912,0.33999537013666015,2886,5,0.34130284130284133,0.2784182379646259
fold2_all_20260911,2,all,20260911,0.3187494219010882,2612,5,0.3198574642342437,0.28945014122412366
fold2_all_20260912,2,all,20260912,0.31945699358437174,2612,5,0.32024236352771623,0.288966669795542
fold2_ridge_20260911,2,ridge,20260911,0.3471519929412513,2612,5,0.34548402404302436,0.3244755537596697
fold2_ridge_20260912,2,ridge,20260912,0.3471519929412513,2612,5,0.34548402404302436,0.3244755537596697
fold2_rbf_20260911,2,rbf,20260911,0.3187494219010882,2612,5,0.3198574642342437,0.28945014122412366
fold2_rbf_20260912,2,rbf,20260912,0.31945699358437174,2612,5,0.32024236352771623,0.288966669795542
fold2_trees_20260911,2,trees,20260911,0.3221569160897043,2612,5,0.3226018489226335,0.24092754565544205
fold2_trees_20260912,2,trees,20260912,0.31702540258284884,2612,5,0.31762188477626635,0.23608747882103406
fold3_all_20260911,3,all,20260911,0.4144675885101721,2659,5,0.42078477682480014,0.4205863155374681
fold3_all_20260912,3,all,20260912,0.4144675885101721,2659,5,0.42078477682480014,0.4205863155374681
fold3_ridge_20260911,3,ridge,20260911,0.4144675885101721,2659,5,0.42078477682480014,0.4205863155374681
fold3_ridge_20260912,3,ridge,20260912,0.4144675885101721,2659,5,0.42078477682480014,0.4205863155374681
fold3_rbf_20260911,3,rbf,20260911,0.40735414132768477,2659,5,0.37809101596286104,0.3586131781310001
fold3_rbf_20260912,3,rbf,20260912,0.4003386866000594,2659,5,0.369754991169372,0.34949709774453463
fold3_trees_20260911,3,trees,20260911,0.41132067313795273,2659,5,0.38193156108398624,0.35578900264143937
fold3_trees_20260912,3,trees,20260912,0.4135766432462278,2659,5,0.38313116219054,0.3571206236334237
fold4_all_20260911,4,all,20260911,0.3437623242154181,2660,5,0.34471629752727934,0.34192127313139714
fold4_all_20260912,4,all,20260912,0.3437623242154181,2660,5,0.34471629752727934,0.34192127313139714
fold4_ridge_20260911,4,ridge,20260911,0.3437623242154181,2660,5,0.34471629752727934,0.34192127313139714
fold4_ridge_20260912,4,ridge,20260912,0.3437623242154181,2660,5,0.34471629752727934,0.34192127313139714
fold4_rbf_20260911,4,rbf,20260911,0.34948798715470336,2660,5,0.35073628526080675,0.3485108534342191
fold4_rbf_20260912,4,rbf,20260912,0.35089549870099995,2660,5,0.3522356621816846,0.3490128287817645
fold4_trees_20260911,4,trees,20260911,0.3773322979033359,2660,5,0.3757985719654265,0.2986438737767073
fold4_trees_20260912,4,trees,20260912,0.3708281815404647,2660,5,0.3694099962420143,0.29203610388849044
fold5_all_20260911,5,all,20260911,0.41005001730518426,2707,5,0.38185425710086135,0.3747299670147884
fold5_all_20260912,5,all,20260912,0.4049705760203922,2707,5,0.37490285236701526,0.3664008555087393
fold5_ridge_20260911,5,ridge,20260911,0.40384237645903875,2707,5,0.38103714879163136,0.37241155333880466
fold5_ridge_20260912,5,ridge,20260912,0.40384237645903875,2707,5,0.38103714879163136,0.37241155333880466
fold5_rbf_20260911,5,rbf,20260911,0.41005001730518426,2707,5,0.38185425710086135,0.3747299670147884
fold5_rbf_20260912,5,rbf,20260912,0.4049705760203922,2707,5,0.37490285236701526,0.3664008555087393
fold5_trees_20260911,5,trees,20260911,0.3555899448039709,2707,5,0.3144279212508105,0.2783734680197848
fold5_trees_20260912,5,trees,20260912,0.38109762161384364,2707,5,0.34133769795721985,0.2944879206199144
