scope,seed,label,recall,predicted_fraction
all,20260911,bajo,0.4847457627118644,0.4310854776693286
all,20260911,medio,0.18311562651185292,0.1759094942324756
all,20260911,alto,0.4029714285714286,0.3930050280981958
all,20260912,bajo,0.48295114656031907,0.4311594202898551
all,20260912,medio,0.18045476536042573,0.17450458444247263
all,20260912,alto,0.4048,0.39433599526767227
rbf,20260911,bajo,0.5152542372881356,0.4735285418515232
rbf,20260911,medio,0.16981132075471697,0.1559449866903283
rbf,20260911,alto,0.3965714285714286,0.3705264714581485
rbf,20260912,bajo,0.5152542372881356,0.4753031647441585
rbf,20260912,medio,0.16400580551523947,0.1518041999408459
rbf,20260912,alto,0.3933714285714286,0.37289263531499556
ridge,20260911,bajo,0.4995014955134596,0.4387755102040816
ridge,20260911,medio,0.23270440251572327,0.20977521443359953
ridge,20260911,alto,0.3757714285714286,0.35144927536231885
ridge,20260912,bajo,0.4995014955134596,0.4387755102040816
ridge,20260912,medio,0.23270440251572327,0.20977521443359953
ridge,20260912,alto,0.3757714285714286,0.35144927536231885
trees,20260911,bajo,0.5649052841475574,0.5494676131322094
trees,20260911,medio,0.022496371552975326,0.026249630286897366
trees,20260911,alto,0.43657142857142855,0.4242827565808932
trees,20260912,bajo,0.5661016949152542,0.5479148181011535
trees,20260912,medio,0.022254475084663765,0.024401064773735583
trees,20260912,alto,0.44457142857142856,0.4276841171251109
