scope,reference,mean_delta,ci_low,ci_high,improved,tied
all,geometric_0.3651,-0.0002354142261627401,-0.02655618806656439,0.027510682106832038,12,0
ridge,geometric_0.3651,0.009664416242002755,-0.016005055858463683,0.03715397789844618,13,0
rbf,geometric_0.3651,0.004495891142889481,-0.019742210083747075,0.03376134190376824,15,0
trees,geometric_0.3651,-0.0023113295605495378,-0.024668291031383897,0.02498464728363949,10,0
all,mixture_0.3716,-0.006754140686383128,-0.032117568350812586,0.018915874118009768,14,0
ridge,mixture_0.3716,0.003145689781782368,-0.022622757416402274,0.027696084055204438,14,0
rbf,mixture_0.3716,-0.0020228353173309065,-0.025812718409574525,0.021609514389246284,15,1
trees,mixture_0.3716,-0.008830056020769925,-0.027353851034007805,0.012629643812199415,11,0
