stage,epoch,train_loss,validation_macro_score
inner,1,1.0978909360329419,0.3255236350923367
inner,2,1.094336173721324,0.32155395821254285
inner,3,1.093789320645776,0.3326488005106285
inner,4,1.0926361715285289,0.3318331083085149
inner,5,1.0919630475024573,0.33027015418610184
inner,6,1.0905150485005963,0.32975790054246784
inner,7,1.0904662438567108,0.3148944615400997
inner,8,1.0881403402033776,0.31207367510042805
inner,9,1.0865207354118385,0.30633711347453796
outer_refit,1,1.0990470985196672,
outer_refit,2,1.0961538451089872,
outer_refit,3,1.0947325885433017,
