stage,epoch,train_loss,validation_macro_score
inner,1,1.0044040457164716,-1.003319918582557
inner,2,1.0014600695953113,-1.001208006918073
inner,3,1.0005135796502658,-1.0005416155794746
inner,4,0.9997513232938363,-1.0004789689911828
inner,5,0.9998412155588841,-1.0001287627303483
inner,6,0.9993457887630103,-1.0002147144167115
inner,7,0.9993244639436197,-1.0003471477427468
inner,8,0.9982692585563416,-1.0002251880148492
inner,9,0.9985155450865753,-1.0001174104228352
inner,10,0.9988194780657795,-1.0009464021912893
inner,11,0.9992032717178855,-0.9999180638827666
inner,12,0.9983806010817465,-1.0003080070545376
inner,13,0.9982700471015693,-1.0010273367843998
inner,14,0.9977899591680118,-1.0004717594176913
inner,15,0.9988749678162246,-1.0003963855142317
inner,16,0.9991413904613845,-0.9998614243256756
inner,17,0.9970043895351427,-1.0001020275794648
outer_refit,1,1.0050097931122355,
outer_refit,2,1.0010908291940934,
outer_refit,3,1.0008540947368738,
outer_refit,4,1.0011377623939268,
outer_refit,5,1.000645819285159,
outer_refit,6,0.9997183833334289,
outer_refit,7,0.999549716223385,
outer_refit,8,0.9994682118501881,
outer_refit,9,0.9983400008016542,
outer_refit,10,0.9983085595471499,
outer_refit,11,0.9985514328805314,
