stage,epoch,train_loss,validation_macro_score
inner,1,1.1083863360859523,0.2650146570677992
inner,2,1.0993877246001056,0.2879059144364771
inner,3,1.0968939219679787,0.2930543937547868
inner,4,1.0951971323690681,0.29545988035555004
inner,5,1.0956722598209558,0.3021654522856849
inner,6,1.0947456740887365,0.2958446399096891
inner,7,1.093343070511506,0.31073982295837244
inner,8,1.092552771078092,0.3142688922754732
inner,9,1.0936314685322415,0.3230405763710352
inner,10,1.0934468006419245,0.32243947106090937
inner,11,1.092333811688646,0.32373751807103773
inner,12,1.0923142807505954,0.3254699218498359
inner,13,1.0924348234016203,0.32768463675041654
inner,14,1.0933086089998763,0.3299697073479119
inner,15,1.0914816243626246,0.3263045218372709
inner,16,1.091056348007416,0.3309121136871223
inner,17,1.0911502621998297,0.32784100902410124
inner,18,1.092110260624752,0.329611267724288
inner,19,1.091630535036604,0.335560576661626
inner,20,1.092077688858888,0.33347970886255246
inner,21,1.0912538960715321,0.329195950850585
inner,22,1.0916489249077912,0.32226478254329577
inner,23,1.0915387835458061,0.3309262892968538
inner,24,1.0914239979235925,0.3276808528657531
inner,25,1.089747431122254,0.33080062785880515
outer_refit,1,1.1072977436823737,
outer_refit,2,1.0993512810610093,
outer_refit,3,1.0963194460141792,
outer_refit,4,1.0966825362635995,
outer_refit,5,1.095556051934162,
outer_refit,6,1.0950118688336663,
outer_refit,7,1.094640882823404,
outer_refit,8,1.0950812868750124,
outer_refit,9,1.0948260223356758,
outer_refit,10,1.094471684029327,
outer_refit,11,1.0949493501616232,
outer_refit,12,1.0942281388456514,
outer_refit,13,1.0939814468415345,
outer_refit,14,1.0947871997540641,
outer_refit,15,1.0935240123343213,
outer_refit,16,1.0937365372617076,
outer_refit,17,1.093743606782717,
outer_refit,18,1.0932280996684451,
outer_refit,19,1.0941657492217545,
