stage,epoch,train_loss,validation_macro_score
inner,1,1.0009758748740794,-1.0015013729801618
inner,2,0.9967146176044072,-1.002156596605956
inner,3,0.9962635774478734,-1.000991687059507
inner,4,0.9947084426879883,-1.0021484103489091
inner,5,0.9923016964832199,-1.0020924865964185
inner,6,0.9920364258445312,-1.0016942156405466
inner,7,0.9912845649451852,-1.0018726743197215
inner,8,0.9882592845185895,-1.002945872622353
inner,9,0.9882711715787371,-1.0021630657018228
outer_refit,1,1.0019447956346976,
outer_refit,2,0.9978388993783561,
outer_refit,3,0.9967209326860084,
