stage,epoch,train_loss,validation_macro_score
inner,1,1.101828030993908,0.288545970755535
inner,2,1.0955747987118198,0.32680741047646905
inner,3,1.095691543945491,0.3262010497724206
inner,4,1.092845753554687,0.32684769602109076
inner,5,1.0928561310463163,0.32593410905185083
inner,6,1.0922340017333025,0.33023561235476234
inner,7,1.0917785729682676,0.33201652556918215
inner,8,1.0920032114112133,0.32881383910942075
inner,9,1.090346808787247,0.333037386351836
inner,10,1.091366330317634,0.32918158961282273
inner,11,1.0910474949907907,0.3276536414275016
inner,12,1.0902408051460992,0.3303188779052769
inner,13,1.0900897450654545,0.3273213665825223
inner,14,1.08984949680048,0.3293132968494446
inner,15,1.0889902853307623,0.32467141315221393
outer_refit,1,1.101431116615374,
outer_refit,2,1.0960928440445126,
outer_refit,3,1.094840982876751,
outer_refit,4,1.0937692097255163,
outer_refit,5,1.0932159441384721,
outer_refit,6,1.0927623017020358,
outer_refit,7,1.0924303928425807,
outer_refit,8,1.092212950182593,
outer_refit,9,1.0908240924352048,
