stage,epoch,train_loss,validation_macro_score
inner,1,1.0983632715043472,0.32872401086340897
inner,2,1.0957598074230315,0.3091332107588029
inner,3,1.0932157553772939,0.32518079804673716
inner,4,1.0921351672378254,0.3191690666269057
inner,5,1.0901886443234958,0.3364878085121903
inner,6,1.0893214519506695,0.3509526763316825
inner,7,1.0881431739860572,0.3345659315968571
inner,8,1.0875871885950483,0.3372830028551366
inner,9,1.0862215669588233,0.34961554653099736
inner,10,1.0854020558036255,0.3672446687255678
inner,11,1.0854862027247223,0.36246369648784615
inner,12,1.0836216133336745,0.36539104412904444
inner,13,1.0826397941415338,0.35698332147846246
inner,14,1.0834685714760768,0.3606913206889793
inner,15,1.0824765822698883,0.370886707440808
inner,16,1.080760888966667,0.36265596856056137
inner,17,1.0809350355198444,0.3640035130321804
inner,18,1.0789203261202844,0.36346717382420046
inner,19,1.07784902258605,0.37926471105374626
inner,20,1.0774181900966273,0.38105903468348845
inner,21,1.0762501262025699,0.36061974404557406
inner,22,1.0742409656179495,0.3696908638641104
inner,23,1.072695695375339,0.3912403253953363
inner,24,1.071514380451594,0.39075877564312056
inner,25,1.0719047067092775,0.3788956884328968
inner,26,1.06883853604234,0.3586442464674003
inner,27,1.068360410824796,0.37259314914033986
inner,28,1.065310912730173,0.3892261098817964
inner,29,1.0652190105802168,0.38848069486786796
outer_refit,1,1.098277473930203,
outer_refit,2,1.0954528482870374,
outer_refit,3,1.0932143730564898,
outer_refit,4,1.0911722640800776,
outer_refit,5,1.0901270566348549,
outer_refit,6,1.0881199849073973,
outer_refit,7,1.087398253682251,
outer_refit,8,1.087032356819406,
outer_refit,9,1.0854693656489205,
outer_refit,10,1.084578314935741,
outer_refit,11,1.0833769166845375,
outer_refit,12,1.0820672833303477,
outer_refit,13,1.0816678785292533,
outer_refit,14,1.0797315969301413,
outer_refit,15,1.0791573580349285,
outer_refit,16,1.0775550901752045,
outer_refit,17,1.0761668761005527,
outer_refit,18,1.0757019105543433,
outer_refit,19,1.0762523981695464,
outer_refit,20,1.0738566158725273,
outer_refit,21,1.0725544024893567,
outer_refit,22,1.0713390600243788,
outer_refit,23,1.072027553226587,
