stage,epoch,train_loss,validation_macro_score
inner,1,1.1057760457289383,0.29486890761290474
inner,2,1.10104583045854,0.31034162123367454
inner,3,1.0969161743392593,0.35043229247017815
inner,4,1.093855831150635,0.3429337087369211
inner,5,1.092981415849677,0.3340407132524712
inner,6,1.0928279859129735,0.343570493198765
inner,7,1.0922688632516817,0.3381402292678932
inner,8,1.0893970996004096,0.3281607716755711
inner,9,1.0907203033772481,0.34737793048046206
outer_refit,1,1.1053323354189697,
outer_refit,2,1.0988920483071782,
outer_refit,3,1.0979029506532327,
