stage,epoch,train_loss,validation_macro_score
inner,1,1.0410401497214379,-1.0115740822907526
inner,2,1.0172132025736782,-1.0115292296473606
inner,3,1.0155792564583626,-1.0097966357746706
inner,4,1.0128719528656067,-1.0097462820013412
inner,5,1.0046836887789385,-1.0096512690110624
inner,6,1.0004536975084157,-1.0099513995760032
inner,7,1.002452386450689,-1.0089830415289243
inner,8,0.9994482546926262,-1.008970112054548
inner,9,0.9972828608351134,-1.0113476807733688
inner,10,0.9960811035031556,-1.0087079227818583
inner,11,0.9979554892507152,-1.010309895513679
inner,12,0.992513796118028,-1.0136468155773102
inner,13,0.9936307020435465,-1.0071608639876473
inner,14,0.9932176536908681,-1.0111007968632058
inner,15,0.9880356028799603,-1.0058533457795245
inner,16,0.9912700261444608,-1.0085612622571951
inner,17,0.989542628301486,-1.0146466146138333
inner,18,0.9914993070600033,-1.0079672350861506
inner,19,0.9887019961473144,-1.0088756432582129
inner,20,0.9862218871991986,-1.017029401883174
inner,21,0.9831245453482553,-1.0131469250226237
outer_refit,1,1.0388436831852121,
outer_refit,2,1.0150453227082479,
outer_refit,3,1.0086557410426975,
outer_refit,4,1.0054471185526896,
outer_refit,5,1.005723784001481,
outer_refit,6,1.0024739493326515,
outer_refit,7,1.0004602008785872,
outer_refit,8,0.9989518195785725,
outer_refit,9,0.9983461212163821,
outer_refit,10,0.997080722683835,
outer_refit,11,0.9978625862166527,
outer_refit,12,0.9963610670879066,
outer_refit,13,0.9940743844007006,
outer_refit,14,0.9943529718578827,
outer_refit,15,0.9907392802399985,
