stage,epoch,train_loss,validation_macro_score
inner,1,1.07249287756804,-1.0088736134253606
inner,2,1.029577378469093,-1.0027718792925708
inner,3,1.0182195810514076,-1.0019686621867443
inner,4,1.0122519025735766,-1.0015455230633816
inner,5,1.0070973387388424,-1.0010401811278147
inner,6,1.0033446407763758,-1.0000305938090333
inner,7,1.0037341547903613,-1.0003390637010208
inner,8,0.9985018870540868,-0.9993937708362018
inner,9,0.9982932813813753,-1.0009505469306756
inner,10,0.9937885428143439,-1.000959101243555
inner,11,0.9921110786010172,-1.0018916325650766
inner,12,0.9914528529220652,-1.001104888167714
inner,13,0.9924759610791073,-0.9999230136125048
inner,14,0.9854598592374927,-0.99981361917876
outer_refit,1,1.0641178576138082,
outer_refit,2,1.0219129207417086,
outer_refit,3,1.0123582365571566,
outer_refit,4,1.0042225736315749,
outer_refit,5,1.0069062776820152,
outer_refit,6,1.004406094976914,
outer_refit,7,1.0013912901391568,
outer_refit,8,0.9981868305047622,
