stage,epoch,train_loss,validation_macro_score
inner,1,1.0058691254409227,-1.0021541652931267
inner,2,1.003320161593125,-1.0004298566528207
inner,3,1.0030173827975577,-0.9992159161224639
inner,4,1.0021507440624149,-0.9997374602762198
inner,5,0.9996378404204197,-0.9995440678666315
inner,6,1.0033254996422798,-0.9989277805461884
inner,7,1.001073004353431,-0.9988687770149973
inner,8,0.9995448516261193,-0.9994187328902573
inner,9,0.9993317381577558,-0.9996900297594842
inner,10,1.0007575500945343,-0.9997051242046948
inner,11,1.0002235574107017,-0.9998372535897372
inner,12,0.9990822896979371,-0.9997866885000459
outer_refit,1,1.0078591534818722,
outer_refit,2,1.008090224433854,
outer_refit,3,1.0040541845332842,
outer_refit,4,1.0020982282252606,
outer_refit,5,1.002678052071602,
outer_refit,6,0.9998875868635094,
