stage,epoch,train_loss,validation_macro_score
inner,1,1.0003951527555968,-1.0080924250885763
inner,2,0.9993215715830227,-1.0058676902799146
inner,3,0.9987833446071994,-1.0056200821523085
inner,4,0.9977003522182939,-1.004728456955008
inner,5,0.9969221449118056,-1.0039419474455598
inner,6,0.9967664726318851,-1.0057024296745045
inner,7,0.9942207937416393,-1.005069901913719
inner,8,0.9935115158283216,-1.0058178849808155
inner,9,0.9913110110616904,-1.0055956942434812
inner,10,0.991027187092513,-1.0024902032079122
inner,11,0.9903122736561683,-1.003803752659095
inner,12,0.9891970134550525,-1.0028810992571666
inner,13,0.9858037824454945,-1.0055339540201487
inner,14,0.9857177879403813,-1.0059835714658105
inner,15,0.9832561459958828,-1.0095152256825288
inner,16,0.9842333255275604,-1.0074665242090035
outer_refit,1,1.0018879503798275,
outer_refit,2,0.9996280726099993,
outer_refit,3,0.9998423978030856,
outer_refit,4,0.9980758414590114,
outer_refit,5,0.9969921977289261,
outer_refit,6,0.9960733860119347,
outer_refit,7,0.9962300663469824,
outer_refit,8,0.9940362130441973,
outer_refit,9,0.9925538731460347,
outer_refit,10,0.9907799513458856,
