stage,epoch,train_loss,validation_macro_score
inner,1,1.098100677620858,0.3320485010656967
inner,2,1.0955424454941771,0.3237503426861552
inner,3,1.0938884053666986,0.33239524131128384
inner,4,1.0938422862089687,0.34062041962962913
inner,5,1.0926892616219634,0.3462032057292011
inner,6,1.0919861453432749,0.3420347021164291
inner,7,1.0927854336093419,0.3439683529619425
inner,8,1.0918402127870686,0.3388771970566453
inner,9,1.091383982273361,0.3451385828944332
inner,10,1.091434471472223,0.35300664203413984
inner,11,1.0915072789771338,0.3495872106441673
inner,12,1.0907232656486612,0.3510650966408099
inner,13,1.0900215119057899,0.35370447886086304
inner,14,1.0907763915577047,0.3492844613543644
inner,15,1.0903287874240353,0.3516677490539373
inner,16,1.0900020239128756,0.3519358830545196
inner,17,1.090135967923326,0.3569657241821764
inner,18,1.0899865129030701,0.34070380917486376
inner,19,1.0888711027046232,0.36280044389821237
inner,20,1.089476186160593,0.35631782382184785
inner,21,1.0890384716500117,0.3598561904568147
inner,22,1.0890655835027894,0.3603792836954258
inner,23,1.0888059881670105,0.3567831860675307
inner,24,1.088445475632302,0.3593187306506872
inner,25,1.0890175849044021,0.3593530457630765
outer_refit,1,1.0979515212382496,
outer_refit,2,1.0955781454937266,
outer_refit,3,1.0942525201091995,
outer_refit,4,1.0933771449602432,
outer_refit,5,1.09308686438909,
outer_refit,6,1.092317359311045,
outer_refit,7,1.0919112752962215,
outer_refit,8,1.0921766384699059,
outer_refit,9,1.0915126655176055,
outer_refit,10,1.09178681598195,
outer_refit,11,1.0909488542778407,
outer_refit,12,1.0908015128853603,
outer_refit,13,1.090662399259195,
outer_refit,14,1.0901780943338473,
outer_refit,15,1.0902751566048547,
outer_refit,16,1.0895710200955735,
outer_refit,17,1.0898679723754612,
outer_refit,18,1.089637722624773,
outer_refit,19,1.0899663110796334,
