scope,reference,mean_delta,ci_low,ci_high,positive_participants
all,previous_all,-0.0019282262031232666,-0.021619645588767774,0.019959622280991123,11
all,previous_fixed_logistic,-0.0008672700748618234,-0.017510568245985417,0.01738498838022315,12
temporal,previous_all,-0.0019282262031232666,-0.021619645588767774,0.019959622280991123,11
temporal,previous_fixed_logistic,-0.0008672700748618234,-0.017510568245985417,0.01738498838022315,12
current,previous_all,-0.010792535465527477,-0.025498499984585355,0.004383559504668509,10
current,previous_fixed_logistic,-0.009731579337266033,-0.02184643133116738,0.001319945776221628,10
