participant,Fp1,Fp2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4
P01,94.48940486256396,52.97398008437948,42.79394426552982,39.25384448175455,,101.07645853408943,265.35110226596134,66.88027882004937,,86.00459971512052,,,,77.02085132359669,70.61866620536938,
P02,8.767370268749536,16.54462557089379,52.58882925219825,41.69803407277361,,21.418530781179534,75.9443668994093,29.391319017861342,109.26369338856495,19.905705121433915,17.208659145355902,235.20499935278718,8.992905891834296,39.08425318507916,34.695083052428885,61.47617941934102
P03,40.60927888400689,13.809862602086467,70.71911207602317,47.173906053459035,,13.65130793976997,201.62608968779682,10.106830298103002,49.22938309167678,47.93816756874342,9.672539933365805,73.55229644542577,17.359789907563144,91.80498542996868,28.26163566819757,34.95920193555361
P04,2.921688512133531,6.6223361600406285,30.447049851909952,15.39747637881077,21.261211468178878,48.321879030624906,7.476647782464575,12.659364727872937,13.170005489940879,9.985945986269009,5.127904019887654,24.569200248397177,8.777164221381685,7.229184013054295,15.69322080238199,7.359382285661798
P05,3.5212912637497196,14.865443059680919,15.882427983528284,,7.34075196793105,18.33702666527402,36.28334442578961,32.53274853732147,17.96883622711418,4.3382871835623815,,9.386019578321454,14.177550769180492,11.483192016747543,17.114842876497608,
P06,10.463161408383096,9.188828664837311,39.60179568451454,125.64980367743529,,55.98786951696066,110.83344990680607,90.43198969557437,19.145948049004154,12.32801942383354,68.89875756967245,60.50888626867987,,15.19774114782348,111.10486553998908,56.36442767657627
P07,15.929286288094314,7.795005843874193,35.80513897842102,88.59788116430562,,68.05556296345526,45.803574443139276,64.01195461533075,79.3424763942027,36.211865520530985,29.96061738877215,114.75301865644059,162.0439812757612,62.605379416836904,,66.41021334997046
P08,69.57730613211412,93.87283902026569,124.47591979119667,23.17942996604886,12.19151612134448,178.53537931839242,26.240540941138452,212.0256742055356,42.83536220415401,38.03937977515429,28.411684523030154,94.08481092262058,21.847300989572812,64.00247046723763,,83.56432608039509
P09,184.71122868836648,25.21679904702274,159.7446138540464,20.92337504400694,,9.933917192213041,87.96419830959039,24.071907033748253,95.05197959627948,47.21923581592191,112.82034809129817,47.38281049963849,23.453530059587855,,24.716013202241417,21.12252886140568
P10,37.915824396385496,,24.278092689562254,14.620018527321415,31.60464506345958,67.00081192072692,,133.20095977377395,6.692989809425466,7.204498355916344,14.42204990538001,97.07390156793238,4.05224183508591,8.21884342705942,,
P11,79.18970414017285,,20.111150490434717,60.81330913481675,24.005768910686374,29.50387900571435,61.66040332553964,54.180506141968785,85.52259431802081,25.418275564949383,53.7594982318954,60.50519650001861,,,43.178008035683696,127.43552684832284
P12,19.831217625165763,67.44043536128434,51.52772936579979,33.51839273765067,66.21493449131542,27.18777904395295,42.47162379523878,71.3462932079064,25.537701058280536,16.156930740657277,12.301754322383342,43.14277752538764,,171.52426968933628,144.6738771822697,226.74680882437144
P13,35.19278001972184,9.259062918358667,28.097528702804162,22.726420219468366,214.95929418043207,18.00782499169563,169.93896720835153,356.4907286776008,34.228665984949714,24.738989073322518,18.56817960331538,33.61866211988302,14.682110177394641,21.185827970737684,200.72999916720067,32.39337887995128
P14,97.25637891619124,208.18129257959978,38.10757900780444,116.48412913415044,,28.2870109678328,,,30.226992915270255,205.26508103345682,67.81838190253782,221.9326073399522,,2.317477031270851,,95.43530634163625
P15,46.27609819945296,,33.25414829549897,31.008396550872693,,106.92048712341963,,,117.33925309803537,33.61331002224264,27.4774248218678,112.97503680768627,,72.82466615807746,,49.61497645864656
P16,25.840563507540555,31.95416875371682,38.29793674080875,34.89006870279222,22.80399269951015,,108.52372454576806,,12.543473446489108,7.202386122201397,33.132657391069856,52.51396542747379,19.152401489750602,,15.46575539419056,
P17,19.031842761666695,29.10541283328411,,18.26710163304627,,,,,147.48812525686415,,38.16182882253539,17.367914231964104,,,,
P18,63.87947354153893,64.51771049725325,121.68853324731153,70.17519657493582,64.86500953371647,147.8348048210259,67.77933009455495,99.62308680058617,64.28173627106683,67.08457798783309,21.577108731935688,53.43386404670163,65.0603843229924,64.15452796835817,64.76725032132683,
P19,5.127001589185145,24.50497193735459,147.2710404535947,42.91028353623572,36.90137290856355,304.60626007744565,30.350742563490552,45.60612704444807,,33.699360523712386,37.3079291691496,23.865826794921478,31.073944713186048,34.74903124438447,79.76358430919035,
P20,40.60511955845923,28.69174695102723,31.75078714001515,45.31365098504728,34.30832558980194,60.60373576399316,19.97379081413383,12.926495056546397,20.526114827548845,58.32418645699091,30.11743002870638,,31.628962205230255,,110.23968824965688,53.989940804816484
P21,18.721597861825867,61.234346501326435,21.8772679928717,17.659550753578287,45.30724899083295,101.98204776293596,151.58793017784933,89.94555057013775,2.847124506620731,119.90784046302633,13.644217989851757,25.9546557661554,53.88044368840355,56.658264643240706,15.61952123416347,39.925768485701006
P22,10.891612846080932,20.050318910195305,22.646062740894568,28.41999630771176,52.67482816728162,38.403080087674645,34.09259544135106,32.57418160975575,6.139102086815202,35.46827342411161,60.44460020607062,102.34558418819158,79.1150145271581,50.531851997934325,34.11373855418373,31.763088532455576
P23,43.924079856415084,31.460579988822342,39.21037900628998,41.819976255961876,36.0824581086133,165.2774679937876,,,14.182053350794472,48.19240679311965,5.332187448512317,10.415572913585306,32.09361853817461,4.063700913845538,6.489994650345496,12.349436814276345
P24,3.328345217828672,16.23185259553511,30.145755606841412,29.299936007374992,26.314251005931872,17.233581286039783,24.28015012270908,13.009136017531137,1.7174725954076644,23.149476566173263,11.464466974590168,22.4632848243287,20.624720704249714,19.600683757279537,14.786829785547374,9.537528746301808
P25_REVISAR,0.0,99.09259656176734,86.19936293998065,74.45294498875371,46.20582558774967,3.7682467189222044,,4.621573430388291,0.6631105089181117,8.343354842056723,6.401546033019526,8.711362466049032,2.3441237817252865,1.0214729795306263,,12.562546447070035
P26,14.157282940752918,11.849714671278873,16.127842078167046,42.35514833941006,21.659396029337266,15.72900824825631,146.95627997844085,41.86120849245846,1.0450127633701352,22.891520677133084,22.662690656448028,31.490445277444906,16.186658342808446,24.893905053017104,63.83135188739429,40.70893536430803
P27,8.440056637642705,7.203580061737726,4.4128601452688185,5.749944537284087,21.627042157443725,30.61569831879766,,,,70.02870163714584,15.034235946856976,157.93971055764015,8.0073512179459,18.234988833870556,14.080371730526439,19.4158172371312
P28,5.53322774223829,5.244638453618551,23.08082090690244,27.71144724200728,28.856398105512653,35.4699012831365,25.459520845293486,150.13384935360074,,8.73333106309256,16.76046875523254,13.030845771117619,28.68007254462835,44.19711175835508,16.06296321519722,41.47840804724988
P29,34.92239766558898,37.502665747093246,43.1920217370274,37.71168212573133,35.838738042924795,39.73473362805509,54.98619620042495,41.86639247653481,9.326260128007544,40.717467273541196,48.306107333705114,38.590181830677125,38.42270955572915,38.93894509492617,46.07127136995159,24.43657392285698
P30,167.2568078290088,35.28859195898812,44.512173549076905,32.95333433048331,32.34152881276501,88.54050134654722,32.878063259238935,43.49263629311606,2.3073922006773233,55.862588431312375,57.18482033842752,24.977712224391514,95.70663069120485,35.50681714045533,523.4244221079658,7.4053496039855435
P31,9.241910944171337,35.821498866277885,107.06645300701689,35.976732065696154,,53.65033782313373,85.71691678074728,33.02563824511212,,82.77287565968989,47.14662441045457,203.38559093664452,72.4302531474312,64.3093210349785,63.25637723929387,
P32,29.5637939742136,,62.75083404592451,39.137335330360145,41.934185261982,55.34890948463529,21.37889686616534,38.45453618680637,2.0919718232164226,19.50963286047541,4.8396557788546835,127.87056142176766,29.70315070984395,56.91199906364567,45.6531363473621,21.133426587472137
P33,49.6192191064807,15.811591804801218,128.36826548556965,103.65930727709936,26.701748721637465,38.30788597473425,16.96780703431196,7.7417836200756165,8.63065811723765,72.66644488096817,6.413992382569087,20.880277191243316,7.056888743313616,10.875542361963296,64.03531455963882,63.85826201778042
P34,37.07655886525215,54.121502143327014,33.7813533693822,54.26545194512317,20.231235660244945,14.762422187027468,20.452587066483222,18.28200047476991,1.3958175518669693,57.59717849767855,53.30790640984995,27.55334316105031,13.02641494937236,52.44223843140288,31.878628881642534,22.988437612363093
P35,50.84424489966732,51.027012289584455,30.54697673119886,45.14208240683103,38.96531044207251,,,80.00736707543174,7.367817988917502,70.43085321061895,67.70953859138599,81.62469640714767,49.163032801196444,56.05786627483603,,
P36,11.850294334319242,24.507915067622786,28.12675729896593,19.32947532736019,17.863634101885395,27.376862334580352,10.962828059642204,32.20237394243748,3.5198952373090093,56.65628327777973,8.33785982802878,22.373807044220804,23.941382493866122,39.22319622367454,19.728014633484623,30.984354236337214
P37,38.33542482495027,37.40455509470337,57.95094248662537,28.23274151396984,292.35134853639494,279.7524755573998,402.2822926601242,320.65947321038334,2.085829300439701,54.26118319911554,243.510182358243,296.9087583352464,49.2032743844463,143.6555608695508,141.44163339065952,208.16618962772486
P38,28.34984833692706,26.34836531190073,36.82538791215142,41.533064252899514,73.95886093140294,391.28970424709905,176.19057652998114,121.00757226678158,7.175531477253163,61.10854827330672,35.9460840151546,31.628393564871974,78.47841378304133,71.12693777331539,32.26930495972526,251.68884251245586
P39,81.24584649761748,76.6093872013136,81.82515784764476,27.368960534898232,62.90917367291634,2.348092782784527,12.564047264791133,14.107391989321753,1.555290183233069,3.758430678416512,81.25407104279134,32.14449065284477,3.0711486845107694,1.7148819462860128,8.858473112372357,12.272007802650803
