participant,n_samples,duration_min,n_nan,n_sat_channels,sat_Fp1,sat_Fp2,sat_C3,sat_C4,sat_P7,sat_P8,sat_O1,sat_O2,sat_F7,sat_F8,sat_F3,sat_F4,sat_T7,sat_T8,sat_P3,sat_P4
P34,102181,13.624133333333333,0,0,0.0,0.0,0.0,0.0,0.23781329209931396,0.0,0.1634354723480882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P35,98449,13.126533333333333,0,0,0.46927850968521767,0.47943605318489774,0.5068614206340338,2.0487765238854636,20.387205558207803,59.03665857449034,57.48661743643917,0.49873538583428983,0.5962478034312182,0.48959359668457775,18.72543144166015,0.47943605318489774,0.49873538583428983,7.20474560432305,54.80401019817367,99.68410039715995
P36,92605,12.347333333333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P37,98178,13.090399999999999,0,0,0.0,0.0,0.5245574364929007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014259813807573999
P38,123982,16.530933333333333,0,0,0.0,0.0,0.0,0.0,0.0,20.878030681873174,32.16273329999516,0.6718717233146747,0.0,0.0,0.0,0.0,7.96405929893049,0.0,0.0,27.374134955074126
P39,91655,12.220666666666666,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.079919262451583,0.0,0.0,0.0,0.0,0.0
P40,89683,11.957733333333334,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2430783983586633,0.0,0.0,0.0,0.0,0.0,0.0011150385245810243
P41,95082,12.6776,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.11463789150417535,0.0,8.317031614816685,0.0,0.0
P42,90054,12.007200000000001,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
P43,111674,14.889866666666668,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5211598044307538,0.0,0.0,0.0,0.0,0.0
P44,101817,13.5756,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P45,100321,13.376133333333334,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10466402846861574,0.0,1.8869429132484725,0.0,0.0,0.0,0.0
P46,109933,14.657733333333335,0,0,0.0,0.0,0.0,0.0,0.0,0.0,22.1980660948032,16.486405355989557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P47,124075,16.543333333333333,0,0,0.0,6.828128148297401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P48,105943,14.125733333333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09439037973249766,0.0
