fold,id,epoch,smoothing,score
1,g00,2,1,0.27980282928784483
1,g00,2,8,0.25507817680136
1,g00,2,32,0.24601366470889757
1,g00,4,1,0.31775952172524896
1,g00,4,8,0.2976733265260874
1,g00,4,32,0.2905861716397907
1,g00,8,1,0.34234636759808307
1,g00,8,8,0.3403540067166109
1,g00,8,32,0.34004055475012934
1,g00,16,1,0.3638856674650716
1,g00,16,8,0.34903192919471454
1,g00,16,32,0.350092045098926
1,g01,2,1,0.2720740985574186
1,g01,2,8,0.24889919077816258
1,g01,2,32,0.2432614078582801
1,g01,4,1,0.3056766131376778
1,g01,4,8,0.2798189514376207
1,g01,4,32,0.2721282846196391
1,g01,8,1,0.3329296902053227
1,g01,8,8,0.3319597963403467
1,g01,8,32,0.3252287008432185
1,g01,16,1,0.3571221835023963
1,g01,16,8,0.3549276596933132
1,g01,16,32,0.3559783296239035
1,g02,2,1,0.3330390892697079
1,g02,2,8,0.33112466833499005
1,g02,2,32,0.33261014781693127
1,g02,4,1,0.3612409242559009
1,g02,4,8,0.35813257589707753
1,g02,4,32,0.3630192606654518
1,g02,8,1,0.35358408098629107
1,g02,8,8,0.34566415774930154
1,g02,8,32,0.3458312241997838
1,g02,16,1,0.35940546015374214
1,g02,16,8,0.34305201467024654
1,g02,16,32,0.3432040631829468
1,g03,2,1,0.3288500762017659
1,g03,2,8,0.32077134866073903
1,g03,2,32,0.3182387820404645
1,g03,4,1,0.35875395888714795
1,g03,4,8,0.35949937476924965
1,g03,4,32,0.36121727290466216
1,g03,8,1,0.3586823186693055
1,g03,8,8,0.3416176423359923
1,g03,8,32,0.3411102666461752
1,g03,16,1,0.3493554120951878
1,g03,16,8,0.3314505158763001
1,g03,16,32,0.33355595444067326
1,g04,2,1,0.38051343686763756
1,g04,2,8,0.35006204461091683
1,g04,2,32,0.36976181062892405
1,g04,4,1,0.37068700145277456
1,g04,4,8,0.3593276536885559
1,g04,4,32,0.3566359044742503
1,g04,8,1,0.3751855064425974
1,g04,8,8,0.37325220931142705
1,g04,8,32,0.37377886289175055
1,g04,16,1,0.3596237744312745
1,g04,16,8,0.3649125490778266
1,g04,16,32,0.35976363087845936
1,g05,2,1,0.3961593644087923
1,g05,2,8,0.37604771005392124
1,g05,2,32,0.37980115122972263
1,g05,4,1,0.3701734611386458
1,g05,4,8,0.36685383662745547
1,g05,4,32,0.3753296433870151
1,g05,8,1,0.3762338427126997
1,g05,8,8,0.3664710496845181
1,g05,8,32,0.36674902637226925
1,g05,16,1,0.35573209935935074
1,g05,16,8,0.35378771663118674
1,g05,16,32,0.35968464061817285
1,g06,2,1,0.37528863782012634
1,g06,2,8,0.366482255833351
1,g06,2,32,0.3665443004442678
1,g06,4,1,0.363519870779229
1,g06,4,8,0.36744144747693486
1,g06,4,32,0.3688358585340096
1,g06,8,1,0.3533528807424497
1,g06,8,8,0.36087041449144225
1,g06,8,32,0.3569937191791566
1,g06,16,1,0.3460848278114062
1,g06,16,8,0.34367902523257604
1,g06,16,32,0.3403047107509697
1,g07,2,1,0.3669417312192729
1,g07,2,8,0.36799763383614315
1,g07,2,32,0.37192305729817987
1,g07,4,1,0.36935353448172853
1,g07,4,8,0.3606312985944733
1,g07,4,32,0.36617422769085123
1,g07,8,1,0.35190492504483767
1,g07,8,8,0.35424757510082105
1,g07,8,32,0.34999940298877574
1,g07,16,1,0.34646538623811535
1,g07,16,8,0.34253021802660727
1,g07,16,32,0.33909210834630965
1,g08,2,1,0.32862825839272186
1,g08,2,8,0.3012088931217415
1,g08,2,32,0.2996204626658284
1,g08,4,1,0.36054606450205473
1,g08,4,8,0.3364551046030645
1,g08,4,32,0.34016076747021806
1,g08,8,1,0.36208799053072616
1,g08,8,8,0.3541831415581133
1,g08,8,32,0.35217047306682825
1,g08,16,1,0.3541720039406924
1,g08,16,8,0.35239135712876907
1,g08,16,32,0.35033444613655623
1,g09,2,1,0.3116927280978701
1,g09,2,8,0.29201311004072306
1,g09,2,32,0.29472032374478024
1,g09,4,1,0.3515803711066997
1,g09,4,8,0.33601836597690715
1,g09,4,32,0.33689990798640423
1,g09,8,1,0.3611951404068418
1,g09,8,8,0.3492834476894941
1,g09,8,32,0.34773523398597206
1,g09,16,1,0.3455712761264293
1,g09,16,8,0.3432285722634002
