scope,mean_delta,ci_low,ci_high,improved,tied
all,-0.007450294009600299,-0.033543339844381494,0.01948487425935697,10,0
ridge,-0.007450294009600299,-0.033543339844381494,0.01948487425935697,10,0
rbf,-0.016496693495748397,-0.036041581587055435,0.003909141769723974,7,0
hgb,-0.01841223427178099,-0.04285993403248761,0.004628258821380886,11,0
trees,-0.014003960540841345,-0.03948272048714943,0.01025801077277567,10,0
