scope,macro_score,rows,participants,balanced_accuracy,macro_f1
all,0.36415395327263217,13524,25,0.3541684075793446,0.3456617554810997
hgb,0.3531920130104515,13524,25,0.3474383292217939,0.34376414291941954
rbf,0.35510755378648406,13524,25,0.34644374134949957,0.3401816873556182
ridge,0.36415395327263217,13524,25,0.3541684075793446,0.3456617554810997
trees,0.35760028674139116,13524,25,0.357507884262985,0.3558004306572207
