fold,task,kind,model,subset,n_features,participant,score
2,attention_primary,regression,ridge,compact_no_noise,9,P27,-1.0036054082050239
2,attention_primary,regression,ridge,compact_no_noise,9,P36,-1.0028998382638947
2,attention_primary,regression,ridge,compact_no_noise,9,P46,-1.0024978845135795
2,attention_primary,regression,ridge,compact_no_noise,9,P8,-1.0094126583235399
2,attention_primary,regression,random_forest,full,18,P18,-1.1827805403101725
2,attention_primary,regression,random_forest,full,18,P27,-1.0188403243077035
2,attention_primary,regression,random_forest,full,18,P36,-1.0529517877427035
2,attention_primary,regression,random_forest,full,18,P46,-1.083412865273135
2,attention_primary,regression,random_forest,full,18,P8,-1.1028681585382296
2,attention_primary,regression,random_forest,EEG,9,P18,-1.007983493435176
2,attention_primary,regression,random_forest,EEG,9,P27,-1.0368710468627287
2,attention_primary,regression,random_forest,EEG,9,P36,-1.049462237072811
2,attention_primary,regression,random_forest,EEG,9,P46,-1.0373844702316226
2,attention_primary,regression,random_forest,EEG,9,P8,-1.046743616155878
2,attention_primary,regression,random_forest,compact_no_noise,9,P18,-1.142922239781875
2,attention_primary,regression,random_forest,compact_no_noise,9,P27,-1.0500252924206652
2,attention_primary,regression,random_forest,compact_no_noise,9,P36,-1.0388300560247599
2,attention_primary,regression,random_forest,compact_no_noise,9,P46,-1.0929886226634304
2,attention_primary,regression,random_forest,compact_no_noise,9,P8,-1.0890265595966422
2,arousal_primary_6s,classification,dummy,full,25,P18,0.3333333333333333
2,arousal_primary_6s,classification,dummy,full,25,P27,0.3333333333333333
2,arousal_primary_6s,classification,dummy,full,25,P36,0.3333333333333333
2,arousal_primary_6s,classification,dummy,full,25,P46,0.5
2,arousal_primary_6s,classification,dummy,full,25,P8,0.3333333333333333
2,arousal_primary_6s,classification,logistic,full,25,P18,0.3036093418259023
2,arousal_primary_6s,classification,logistic,full,25,P27,0.46204440720569756
2,arousal_primary_6s,classification,logistic,full,25,P36,0.39127508991762383
2,arousal_primary_6s,classification,logistic,full,25,P46,0.375
2,arousal_primary_6s,classification,logistic,full,25,P8,0.34218121060226325
2,arousal_primary_6s,classification,logistic,Pupil,6,P18,0.2951167728237792
2,arousal_primary_6s,classification,logistic,Pupil,6,P27,0.3732439603407345
2,arousal_primary_6s,classification,logistic,Pupil,6,P36,0.47164404223227746
2,arousal_primary_6s,classification,logistic,Pupil,6,P46,0.3086734693877551
2,arousal_primary_6s,classification,logistic,Pupil,6,P8,0.32942203994835567
2,arousal_primary_6s,classification,logistic,Eye_Pupil,16,P18,0.3227176220806794
2,arousal_primary_6s,classification,logistic,Eye_Pupil,16,P27,0.4037983521854489
2,arousal_primary_6s,classification,logistic,Eye_Pupil,16,P36,0.46376609815523845
2,arousal_primary_6s,classification,logistic,Eye_Pupil,16,P46,0.2997448979591837
2,arousal_primary_6s,classification,logistic,Eye_Pupil,16,P8,0.2752563226247437
2,arousal_primary_6s,classification,logistic,Pupil_no_quality,5,P18,0.3036093418259023
2,arousal_primary_6s,classification,logistic,Pupil_no_quality,5,P27,0.4295210166177908
2,arousal_primary_6s,classification,logistic,Pupil_no_quality,5,P36,0.42458521870286575
2,arousal_primary_6s,classification,logistic,Pupil_no_quality,5,P46,0.28316326530612246
2,arousal_primary_6s,classification,logistic,Pupil_no_quality,5,P8,0.33256626414521157
2,arousal_primary_6s,classification,logistic,Eye_Pupil_no_quality,15,P18,0.3248407643312102
2,arousal_primary_6s,classification,logistic,Eye_Pupil_no_quality,15,P27,0.423292836196062
2,arousal_primary_6s,classification,logistic,Eye_Pupil_no_quality,15,P36,0.43435433344935603
2,arousal_primary_6s,classification,logistic,Eye_Pupil_no_quality,15,P46,0.28826530612244894
2,arousal_primary_6s,classification,logistic,Eye_Pupil_no_quality,15,P8,0.2800258221310853
2,arousal_primary_6s,classification,random_forest,full,25,P18,0.3354564755838641
2,arousal_primary_6s,classification,random_forest,full,25,P27,0.3152492668621701
2,arousal_primary_6s,classification,random_forest,full,25,P36,0.4654136210697297
2,arousal_primary_6s,classification,random_forest,full,25,P46,0.4068877551020408
2,arousal_primary_6s,classification,random_forest,full,25,P8,0.3472393103972052
2,arousal_primary_6s,classification,random_forest,Pupil,6,P18,0.2823779193205945
2,arousal_primary_6s,classification,random_forest,Pupil,6,P27,0.37149839407903923
2,arousal_primary_6s,classification,random_forest,Pupil,6,P36,0.361399234249913
2,arousal_primary_6s,classification,random_forest,Pupil,6,P46,0.35714285714285715
2,arousal_primary_6s,classification,random_forest,Pupil,6,P8,0.3422723475355054
2,arousal_primary_6s,classification,random_forest,Eye_Pupil,16,P18,0.3099787685774947
2,arousal_primary_6s,classification,random_forest,Eye_Pupil,16,P27,0.3629381371316855
2,arousal_primary_6s,classification,random_forest,Eye_Pupil,16,P36,0.36136442742777586
2,arousal_primary_6s,classification,random_forest,Eye_Pupil,16,P46,0.336734693877551
2,arousal_primary_6s,classification,random_forest,Eye_Pupil,16,P8,0.27543100174679125
2,arousal_primary_6s,classification,random_forest,Pupil_no_quality,5,P18,0.30148619957537154
2,arousal_primary_6s,classification,random_forest,Pupil_no_quality,5,P27,0.35846948750174557
2,arousal_primary_6s,classification,random_forest,Pupil_no_quality,5,P36,0.35745446107437057
2,arousal_primary_6s,classification,random_forest,Pupil_no_quality,5,P46,0.3903061224489796
2,arousal_primary_6s,classification,random_forest,Pupil_no_quality,5,P8,0.33754841649578493
2,arousal_primary_6s,classification,random_forest,Eye_Pupil_no_quality,15,P18,0.31634819532908703
2,arousal_primary_6s,classification,random_forest,Eye_Pupil_no_quality,15,P27,0.37588325652841786
2,arousal_primary_6s,classification,random_forest,Eye_Pupil_no_quality,15,P36,0.33785822021116135
2,arousal_primary_6s,classification,random_forest,Eye_Pupil_no_quality,15,P46,0.3010204081632653
2,arousal_primary_6s,classification,random_forest,Eye_Pupil_no_quality,15,P8,0.2801701222753854
2,arousal_primary_6s,regression,dummy,full,25,P18,-1.0000000005115708
2,arousal_primary_6s,regression,dummy,full,25,P27,-0.9999999999693645
2,arousal_primary_6s,regression,dummy,full,25,P36,-1.0000000017326998
2,arousal_primary_6s,regression,dummy,full,25,P46,-0.9999999982404228
2,arousal_primary_6s,regression,dummy,full,25,P8,-0.999999996129604
2,arousal_primary_6s,regression,ridge,full,25,P18,-1.0109545120434411
2,arousal_primary_6s,regression,ridge,full,25,P27,-0.9966737474533952
2,arousal_primary_6s,regression,ridge,full,25,P36,-1.0224247245982254
2,arousal_primary_6s,regression,ridge,full,25,P46,-1.002953124058851
2,arousal_primary_6s,regression,ridge,full,25,P8,-0.9888014429091014
2,arousal_primary_6s,regression,ridge,Pupil,6,P18,-1.0053840350858583
2,arousal_primary_6s,regression,ridge,Pupil,6,P27,-1.0038993476710198
2,arousal_primary_6s,regression,ridge,Pupil,6,P36,-0.9912272135298641
2,arousal_primary_6s,regression,ridge,Pupil,6,P46,-0.9934164153283045
2,arousal_primary_6s,regression,ridge,Pupil,6,P8,-1.0017273509937905
2,arousal_primary_6s,regression,ridge,Eye_Pupil,16,P18,-1.0058406458690807
2,arousal_primary_6s,regression,ridge,Eye_Pupil,16,P27,-1.0122960911137042
2,arousal_primary_6s,regression,ridge,Eye_Pupil,16,P36,-1.0002103222225702
2,arousal_primary_6s,regression,ridge,Eye_Pupil,16,P46,-1.002154890193057
2,arousal_primary_6s,regression,ridge,Eye_Pupil,16,P8,-1.0001298127836302
2,arousal_primary_6s,regression,ridge,Pupil_no_quality,5,P18,-1.0038252724869028
2,arousal_primary_6s,regression,ridge,Pupil_no_quality,5,P27,-0.9979760359619847
2,arousal_primary_6s,regression,ridge,Pupil_no_quality,5,P36,-0.9944155352942253
2,arousal_primary_6s,regression,ridge,Pupil_no_quality,5,P46,-0.9950958968567969
2,arousal_primary_6s,regression,ridge,Pupil_no_quality,5,P8,-1.0034459916858172
2,arousal_primary_6s,regression,ridge,Eye_Pupil_no_quality,15,P18,-1.0030183614809374
2,arousal_primary_6s,regression,ridge,Eye_Pupil_no_quality,15,P27,-1.0053443418688328
2,arousal_primary_6s,regression,ridge,Eye_Pupil_no_quality,15,P36,-1.0043977821252357
2,arousal_primary_6s,regression,ridge,Eye_Pupil_no_quality,15,P46,-1.0039747996999981
2,arousal_primary_6s,regression,ridge,Eye_Pupil_no_quality,15,P8,-1.0020793115985493
2,arousal_primary_6s,regression,random_forest,full,25,P18,-1.0596940613865715
2,arousal_primary_6s,regression,random_forest,full,25,P27,-1.1053175493339191
2,arousal_primary_6s,regression,random_forest,full,25,P36,-0.9826613502964979
2,arousal_primary_6s,regression,random_forest,full,25,P46,-0.9740403998750927
2,arousal_primary_6s,regression,random_forest,full,25,P8,-1.0097484722484686
2,arousal_primary_6s,regression,random_forest,Pupil,6,P18,-1.0554474299363419
2,arousal_primary_6s,regression,random_forest,Pupil,6,P27,-1.0277265227913328
2,arousal_primary_6s,regression,random_forest,Pupil,6,P36,-1.0312416241395226
2,arousal_primary_6s,regression,random_forest,Pupil,6,P46,-1.0099798328736531
2,arousal_primary_6s,regression,random_forest,Pupil,6,P8,-1.0201402920258154
2,arousal_primary_6s,regression,random_forest,Eye_Pupil,16,P18,-1.0377916719129396
2,arousal_primary_6s,regression,random_forest,Eye_Pupil,16,P27,-1.040154256912402
2,arousal_primary_6s,regression,random_forest,Eye_Pupil,16,P36,-1.0046165333575847
2,arousal_primary_6s,regression,random_forest,Eye_Pupil,16,P46,-1.015014890221436
2,arousal_primary_6s,regression,random_forest,Eye_Pupil,16,P8,-1.0221635213359241
2,arousal_primary_6s,regression,random_forest,Pupil_no_quality,5,P18,-1.048733864629407
2,arousal_primary_6s,regression,random_forest,Pupil_no_quality,5,P27,-1.011785239135191
2,arousal_primary_6s,regression,random_forest,Pupil_no_quality,5,P36,-1.0483177733911258
2,arousal_primary_6s,regression,random_forest,Pupil_no_quality,5,P46,-1.007873331366947
2,arousal_primary_6s,regression,random_forest,Pupil_no_quality,5,P8,-1.0202930756233497
2,arousal_primary_6s,regression,random_forest,Eye_Pupil_no_quality,15,P18,-1.0111455700258953
2,arousal_primary_6s,regression,random_forest,Eye_Pupil_no_quality,15,P27,-1.0265822469098815
2,arousal_primary_6s,regression,random_forest,Eye_Pupil_no_quality,15,P36,-1.010914287006836
2,arousal_primary_6s,regression,random_forest,Eye_Pupil_no_quality,15,P46,-1.016720566954814
2,arousal_primary_6s,regression,random_forest,Eye_Pupil_no_quality,15,P8,-1.0255952228946408
3,attention_primary,classification,dummy,full,18,P20,0.3333333333333333
3,attention_primary,classification,dummy,full,18,P3,0.3333333333333333
3,attention_primary,classification,dummy,full,18,P33,0.3333333333333333
3,attention_primary,classification,dummy,full,18,P4,0.3333333333333333
3,attention_primary,classification,dummy,full,18,P9,0.3333333333333333
3,attention_primary,classification,logistic,full,18,P20,0.32631114096631336
3,attention_primary,classification,logistic,full,18,P3,0.2857142857142857
3,attention_primary,classification,logistic,full,18,P33,0.3725948859075794
3,attention_primary,classification,logistic,full,18,P4,0.355119825708061
3,attention_primary,classification,logistic,full,18,P9,0.29560830180025227
3,attention_primary,classification,logistic,EEG,9,P20,0.35075508782405335
3,attention_primary,classification,logistic,EEG,9,P3,0.3043478260869565
3,attention_primary,classification,logistic,EEG,9,P33,0.3726292856323816
3,attention_primary,classification,logistic,EEG,9,P4,0.3594771241830066
3,attention_primary,classification,logistic,EEG,9,P9,0.33671597293888317
3,attention_primary,classification,logistic,compact_no_noise,9,P20,0.3349940289595463
3,attention_primary,classification,logistic,compact_no_noise,9,P3,0.2877846790890269
3,attention_primary,classification,logistic,compact_no_noise,9,P33,0.3431601880518289
3,attention_primary,classification,logistic,compact_no_noise,9,P4,0.32679738562091504
3,attention_primary,classification,logistic,compact_no_noise,9,P9,0.2973512211902305
3,attention_primary,classification,random_forest,full,18,P20,0.37988256953774197
3,attention_primary,classification,random_forest,full,18,P3,0.3540372670807453
3,attention_primary,classification,random_forest,full,18,P33,0.3767457860337117
3,attention_primary,classification,random_forest,full,18,P4,0.3420479302832244
3,attention_primary,classification,random_forest,full,18,P9,0.35435156518747846
3,attention_primary,classification,random_forest,EEG,9,P20,0.3410086082499875
3,attention_primary,classification,random_forest,EEG,9,P3,0.3167701863354037
3,attention_primary,classification,random_forest,EEG,9,P33,0.316213736956771
3,attention_primary,classification,random_forest,EEG,9,P4,0.3050108932461874
3,attention_primary,classification,random_forest,EEG,9,P9,0.3326797385620915
3,attention_primary,classification,random_forest,compact_no_noise,9,P20,0.3353672189879086
3,attention_primary,classification,random_forest,compact_no_noise,9,P3,0.35196687370600416
3,attention_primary,classification,random_forest,compact_no_noise,9,P33,0.326109391124871
3,attention_primary,classification,random_forest,compact_no_noise,9,P4,0.32897603485838783
3,attention_primary,classification,random_forest,compact_no_noise,9,P9,0.33663570691434463
3,attention_primary,regression,dummy,full,18,P20,-0.9999999984380793
3,attention_primary,regression,dummy,full,18,P3,-1.0000000000392826
3,attention_primary,regression,dummy,full,18,P33,-0.9999999973473754
3,attention_primary,regression,dummy,full,18,P4,-0.9999999972003508
3,attention_primary,regression,dummy,full,18,P9,-1.0000000023937863
3,attention_primary,regression,ridge,full,18,P20,-1.0025816556260863
3,attention_primary,regression,ridge,full,18,P3,-1.0072739578465013
3,attention_primary,regression,ridge,full,18,P33,-1.0059096999751833
3,attention_primary,regression,ridge,full,18,P4,-1.0057435654116684
3,attention_primary,regression,ridge,full,18,P9,-1.0162059869794022
3,attention_primary,regression,ridge,EEG,9,P20,-1.005487079167164
3,attention_primary,regression,ridge,EEG,9,P3,-1.002127587388776
3,attention_primary,regression,ridge,EEG,9,P33,-1.0037724577988398
3,attention_primary,regression,ridge,EEG,9,P4,-1.0029072897296363
3,attention_primary,regression,ridge,EEG,9,P9,-1.0093879391170093
3,attention_primary,regression,ridge,compact_no_noise,9,P20,-0.9982923052168683
3,attention_primary,regression,ridge,compact_no_noise,9,P3,-1.0081669651551604
3,attention_primary,regression,ridge,compact_no_noise,9,P33,-0.9997450844442729
3,attention_primary,regression,ridge,compact_no_noise,9,P4,-1.0064892481480148
3,attention_primary,regression,ridge,compact_no_noise,9,P9,-1.004530620511768
3,attention_primary,regression,random_forest,full,18,P20,-1.0192815509200346
3,attention_primary,regression,random_forest,full,18,P3,-1.0753636921466794
3,attention_primary,regression,random_forest,full,18,P33,-1.0151155559387965
3,attention_primary,regression,random_forest,full,18,P4,-1.0316675920971907
3,attention_primary,regression,random_forest,full,18,P9,-1.052492613222891
3,attention_primary,regression,random_forest,EEG,9,P20,-1.0682211505701507
3,attention_primary,regression,random_forest,EEG,9,P3,-1.0317736013505256
3,attention_primary,regression,random_forest,EEG,9,P33,-1.0889698228746352
3,attention_primary,regression,random_forest,EEG,9,P4,-1.038997351975395
3,attention_primary,regression,random_forest,EEG,9,P9,-1.0720574514364996
3,attention_primary,regression,random_forest,compact_no_noise,9,P20,-0.9888373924302774
3,attention_primary,regression,random_forest,compact_no_noise,9,P3,-1.056172512294694
3,attention_primary,regression,random_forest,compact_no_noise,9,P33,-1.0087609818009842
3,attention_primary,regression,random_forest,compact_no_noise,9,P4,-1.041583963172739
3,attention_primary,regression,random_forest,compact_no_noise,9,P9,-1.010921839342089
3,arousal_primary_6s,classification,dummy,full,25,P20,0.3333333333333333
3,arousal_primary_6s,classification,dummy,full,25,P3,0.3333333333333333
3,arousal_primary_6s,classification,dummy,full,25,P33,0.3333333333333333
3,arousal_primary_6s,classification,dummy,full,25,P4,0.3333333333333333
3,arousal_primary_6s,classification,dummy,full,25,P9,0.3333333333333333
3,arousal_primary_6s,classification,logistic,full,25,P20,0.37427227944469327
3,arousal_primary_6s,classification,logistic,full,25,P3,0.3913043478260869
3,arousal_primary_6s,classification,logistic,full,25,P33,0.307166609333792
3,arousal_primary_6s,classification,logistic,full,25,P4,0.3115468409586057
3,arousal_primary_6s,classification,logistic,full,25,P9,0.3888086228643504
3,arousal_primary_6s,classification,logistic,Pupil,6,P20,0.3498905309250137
3,arousal_primary_6s,classification,logistic,Pupil,6,P3,0.35196687370600416
3,arousal_primary_6s,classification,logistic,Pupil,6,P33,0.30089439284485725
3,arousal_primary_6s,classification,logistic,Pupil,6,P4,0.3006535947712418
3,arousal_primary_6s,classification,logistic,Pupil,6,P9,0.3557390207545006
3,arousal_primary_6s,classification,logistic,Eye_Pupil,16,P20,0.3569500422948699
3,arousal_primary_6s,classification,logistic,Eye_Pupil,16,P3,0.3768115942028986
3,arousal_primary_6s,classification,logistic,Eye_Pupil,16,P33,0.326109391124871
3,arousal_primary_6s,classification,logistic,Eye_Pupil,16,P4,0.3115468409586057
3,arousal_primary_6s,classification,logistic,Eye_Pupil,16,P9,0.39700722394220844
3,arousal_primary_6s,classification,logistic,Pupil_no_quality,5,P20,0.3786510424441459
3,arousal_primary_6s,classification,logistic,Pupil_no_quality,5,P3,0.3498964803312629
3,arousal_primary_6s,classification,logistic,Pupil_no_quality,5,P33,0.3262355234491457
3,arousal_primary_6s,classification,logistic,Pupil_no_quality,5,P4,0.3202614379084967
3,arousal_primary_6s,classification,logistic,Pupil_no_quality,5,P9,0.3753468638917556
3,arousal_primary_6s,classification,logistic,Eye_Pupil_no_quality,15,P20,0.35120913569189427
3,arousal_primary_6s,classification,logistic,Eye_Pupil_no_quality,15,P3,0.3768115942028985
