fold,task,kind,model,subset,n_features,participant,score
3,arousal_primary_6s,regression,ridge,Pupil_no_quality,5,P4,-1.00206737810255
3,arousal_primary_6s,regression,ridge,Pupil_no_quality,5,P9,-1.0038717071909344
3,arousal_primary_6s,regression,ridge,Eye_Pupil_no_quality,15,P20,-0.9982791211508474
3,arousal_primary_6s,regression,ridge,Eye_Pupil_no_quality,15,P3,-0.9959997598282625
3,arousal_primary_6s,regression,ridge,Eye_Pupil_no_quality,15,P33,-1.000022462933953
3,arousal_primary_6s,regression,ridge,Eye_Pupil_no_quality,15,P4,-1.0034907716580421
3,arousal_primary_6s,regression,ridge,Eye_Pupil_no_quality,15,P9,-1.007542738250361
3,arousal_primary_6s,regression,random_forest,full,25,P20,-0.9924022729350818
3,arousal_primary_6s,regression,random_forest,full,25,P3,-1.01110320747913
3,arousal_primary_6s,regression,random_forest,full,25,P33,-0.9902003967160987
3,arousal_primary_6s,regression,random_forest,full,25,P4,-1.0683811384798956
3,arousal_primary_6s,regression,random_forest,full,25,P9,-1.044103253160683
3,arousal_primary_6s,regression,random_forest,Pupil,6,P20,-1.0305360835200046
3,arousal_primary_6s,regression,random_forest,Pupil,6,P3,-1.050572205842407
3,arousal_primary_6s,regression,random_forest,Pupil,6,P33,-1.0750458641338099
3,arousal_primary_6s,regression,random_forest,Pupil,6,P4,-1.0301941656914106
