variant,kind,macro_score,rows,participants,balanced_accuracy,macro_f1,loss_vs_reference,ci_low,ci_high,people_hurt_by_removal,ties
reference,reference,0.37474993706401477,13524,25,0.3693257755335371,0.3645956499840788,0.0,0.0,0.0,0,25
without_pupil,modality,0.37396811385616163,13524,25,0.36599970553012556,0.3587304865950069,0.0007818232078531683,-0.010128526560019224,0.0109709836359308,14,0
only_pupil,unimodal,0.3615862232793547,13524,25,0.3484828665017457,0.32338962499691243,0.013163713784660086,-0.012240662035362783,0.03915782313269728,16,0
without_eye,modality,0.3705786995049046,13524,25,0.3639269763772934,0.3526654143377957,0.0041712375591102845,-0.009642127202472608,0.017662856602112163,12,1
only_eye,unimodal,0.34701060088208247,13524,25,0.3420894510469559,0.33044949149933894,0.027739336181932334,0.008134216347522432,0.04878576049555705,19,0
without_eeg,modality,0.3545562347777708,13524,25,0.3483226699655451,0.34114531491349304,0.02019370228624395,0.0004506653429040748,0.041161450969909155,17,0
only_eeg,unimodal,0.3722217617556178,13524,25,0.3617690536196603,0.3385489491473852,0.0025281753083970316,-0.01852236045851786,0.022091904149988083,14,0
current_keep_smooth,temporal,0.3669882804198699,13524,25,0.3587789594011983,0.34895348609942634,0.0077616566441449045,-0.016033505034991905,0.03001643711547019,13,6
no_smooth,temporal,0.3719136339461411,13524,25,0.3665458912777184,0.3615993713977632,0.002836303117873784,-0.005609416025961649,0.011905988462530933,11,6
current_no_smooth,temporal,0.360408109465731,13524,25,0.3519102787566529,0.3426680401575426,0.01434182759828388,-0.008137720695879536,0.03527365940946836,15,0
drop_pupil_mean_z,variable,0.3711871393533115,13524,25,0.3641573253929092,0.3596794346416044,0.0035627977107032826,-0.0032251049994161704,0.010104136663204605,16,0
drop_pupil_std_z,variable,0.37491353641806524,13524,25,0.368530935366775,0.3630041240634043,-0.000163599354050431,-0.00862692063399277,0.008507478824069428,11,0
drop_pupil_min_z,variable,0.3802173652321711,13524,25,0.37499292782146104,0.3706830123115963,-0.005467428168156296,-0.011245177831171346,0.00014549639277900968,7,1
drop_pupil_max_z,variable,0.3724126761980113,13524,25,0.36554157710709195,0.36070941213968166,0.00233726086600344,-0.0025641413031090173,0.006833437453838462,14,1
drop_pupil_slope_z_s,variable,0.3758553679604193,13524,25,0.3696275219954898,0.3651153752286162,-0.0011054308964044946,-0.00510984872757709,0.0030913205901730856,14,0
drop_gaze_dispersion_x_px,variable,0.3781760202921034,13524,25,0.3720962855759673,0.3666528967637159,-0.00342608322808864,-0.008947123853350962,0.0021700234626860016,11,0
drop_gaze_dispersion_y_px,variable,0.37589459181072854,13524,25,0.3707480802415019,0.3657373632152898,-0.001144654746713688,-0.005152848126255988,0.00264337811168868,10,2
drop_gaze_dispersion_2d_px,variable,0.37734352282110256,13524,25,0.37131083667466974,0.3660021952150954,-0.0025935857570878085,-0.007301879568863606,0.0021649532842497295,12,0
drop_gaze_path_length_px,variable,0.372152745008546,13524,25,0.36590188219868236,0.3608637626367135,0.0025971920554688486,-0.002915543099102162,0.007990285144938152,15,0
drop_fixation_count,variable,0.3843249274518329,13524,25,0.3778173414605402,0.37325780520652013,-0.00957499038781807,-0.01702172291774482,-0.0028701879075609038,8,0
drop_fixation_total_ms,variable,0.3755717322399545,13524,25,0.3693330293727291,0.36317506168734587,-0.0008217951759396569,-0.00678971652317301,0.006367112230183712,11,1
drop_fixation_mean_ms,variable,0.37968455099294895,13524,25,0.374282011780219,0.3691355782170444,-0.004934613928934133,-0.009906770298694075,0.00024348988402195064,7,0
drop_fixation_median_ms,variable,0.38014897649282964,13524,25,0.37507256219224466,0.3704959951022872,-0.005399039428814823,-0.009957204763312551,-0.0009103638954860936,6,2
drop_saccade_count,variable,0.3762862522160596,13524,25,0.3717067717114972,0.3673189783713393,-0.0015363151520447137,-0.0077434696996380205,0.00528136300526845,9,0
drop_saccade_mean_ms,variable,0.38016451788081906,13524,25,0.37438490872901603,0.3697304025912184,-0.005414580816804292,-0.011025804346946815,0.0005702846224506619,5,1
drop_eeg_rms_uv,variable,0.37801397453446817,13524,25,0.37220719870935265,0.3678427431220858,-0.0032640374704533803,-0.012411472277434252,0.0049311303749855016,8,1
drop_eeg_std_uv,variable,0.37664973989078426,13524,25,0.37144519841539725,0.3676917751485667,-0.0018998028267694733,-0.01189702751934728,0.007587798552647278,11,4
drop_eeg_peak_to_peak_uv,variable,0.3705423047956309,13524,25,0.3658927684337041,0.3617465469333299,0.0042076322683839195,-0.003192940806280752,0.01288786176311001,10,4
