variant,participant,loss
reference,P22,0.0
reference,P24,0.0
reference,P30,0.0
reference,P43,0.0
reference,P48,0.0
reference,P12,0.0
reference,P19,0.0
reference,P2,0.0
reference,P35,0.0
reference,P40,0.0
reference,P18,0.0
reference,P27,0.0
reference,P36,0.0
reference,P46,0.0
reference,P8,0.0
reference,P20,0.0
reference,P3,0.0
reference,P33,0.0
reference,P4,0.0
reference,P9,0.0
reference,P13,0.0
reference,P21,0.0
reference,P26,0.0
reference,P34,0.0
reference,P44,0.0
without_pupil,P22,-0.049782676883093624
without_pupil,P24,-0.013532284805305383
without_pupil,P30,-0.0420367832428134
without_pupil,P43,0.010510510510510496
without_pupil,P48,0.027072758037225086
without_pupil,P12,0.017329981846110898
without_pupil,P19,-0.004192872117400437
without_pupil,P2,0.032717525175686435
without_pupil,P35,0.011111111111111016
without_pupil,P40,-0.010212325481582407
without_pupil,P18,-0.01273885350318471
without_pupil,P27,0.006367825722664311
without_pupil,P36,0.03354217426615608
without_pupil,P46,0.012755102040816313
without_pupil,P8,0.038231943495101506
without_pupil,P20,4.975867044831883e-05
without_pupil,P3,-0.0041407867494823725
without_pupil,P33,-0.0017773191147804068
without_pupil,P4,-0.09150326797385619
without_pupil,P9,0.025375530329090734
without_pupil,P13,0.016605279312461696
without_pupil,P21,-0.003593916497142302
without_pupil,P26,0.011428571428571399
without_pupil,P34,-0.0010204081632653184
without_pupil,P44,0.010979002782281477
only_pupil,P22,-0.02229242281668692
only_pupil,P24,0.0366200654209794
only_pupil,P30,0.03835676699998308
only_pupil,P43,0.03315532727297421
only_pupil,P48,0.054145516074450006
only_pupil,P12,0.0948191593352884
only_pupil,P19,-0.09018605870020963
only_pupil,P2,0.01535173513004423
only_pupil,P35,0.029629629629629617
only_pupil,P40,0.06341992981393119
only_pupil,P18,-0.0360934182590234
only_pupil,P27,0.13093143415724057
only_pupil,P36,-0.12007193409908351
only_pupil,P46,-0.11989795918367341
only_pupil,P8,0.08094478620794426
only_pupil,P20,-0.022770811563915028
only_pupil,P3,0.03726708074534163
only_pupil,P33,0.041486068111455165
only_pupil,P4,-0.08278867102396509
only_pupil,P9,0.11486068111455122
only_pupil,P13,-0.0090137098424391
only_pupil,P21,0.02345248474280731
only_pupil,P26,0.005714285714285672
only_pupil,P34,-0.006388642413487133
only_pupil,P44,0.03844152204807938
without_eye,P22,-0.055563023703902925
without_eye,P24,0.019301429403593584
without_eye,P30,0.020049743667834075
without_eye,P43,0.0422458657752775
without_eye,P48,0.050761421319796884
without_eye,P12,0.0432621142298561
without_eye,P19,-0.008411949685534603
without_eye,P2,-0.03275374918495977
without_eye,P35,-0.02222222222222231
without_eye,P40,0.02668585422504982
without_eye,P18,0.021231422505307795
without_eye,P27,-0.013824884792626724
without_eye,P36,0.06101635920640436
without_eye,P46,-0.05484693877551017
without_eye,P8,0.05106706159337748
without_eye,P20,-0.06178160919540232
without_eye,P3,0.0
without_eye,P33,0.011890838206627674
without_eye,P4,-0.023965141612200397
without_eye,P9,0.038883155601421915
without_eye,P13,-0.014620421526498784
without_eye,P21,0.03415673738254382
without_eye,P26,-0.0019047619047620201
without_eye,P34,-0.013575865128660158
without_eye,P44,-0.012800496407053719
only_eye,P22,0.029473047452614587
only_eye,P24,-0.032755298651252485
only_eye,P30,0.051647124511446096
only_eye,P43,0.018058782764665104
