variant,label,recall,predicted_fraction
reference,bajo,0.4995014955134596,0.4387755102040816
reference,medio,0.23270440251572327,0.20977521443359953
reference,alto,0.3757714285714286,0.35144927536231885
without_pupil,bajo,0.5020937188434695,0.4447648624667258
without_pupil,medio,0.20367682631833575,0.18788819875776397
without_pupil,alto,0.3922285714285714,0.3673469387755102
only_pupil,bajo,0.46839481555334,0.4385536823425022
only_pupil,medio,0.09796806966618288,0.08688257911860396
only_pupil,alto,0.4790857142857143,0.47456373853889383
without_eye,bajo,0.5040877367896311,0.4469091984619935
without_eye,medio,0.17077890662796325,0.16363501922508134
without_eye,alto,0.41691428571428574,0.38945578231292516
only_eye,bajo,0.4935194416749751,0.4697574682046732
only_eye,medio,0.1567489114658926,0.14729370008873113
only_eye,alto,0.376,0.38294883170659566
without_eeg,bajo,0.4757726819541376,0.4500147885241053
without_eeg,medio,0.1918238993710692,0.17206447796509908
without_eeg,alto,0.3773714285714286,0.37792073351079564
only_eeg,bajo,0.5262213359920239,0.4707926648920438
only_eeg,medio,0.10788582486695694,0.11135758651286602
only_eeg,alto,0.4512,0.4178497485950902
current_keep_smooth,bajo,0.49391824526420736,0.4631765749778172
current_keep_smooth,medio,0.1787614900822448,0.16104702750665484
current_keep_smooth,alto,0.4036571428571429,0.37577639751552794
no_smooth,bajo,0.49531405782652044,0.4409937888198758
no_smooth,medio,0.22786647314949202,0.20445134575569357
no_smooth,alto,0.3764571428571429,0.35455486542443065
current_no_smooth,bajo,0.4781655034895314,0.45896184560780834
current_no_smooth,medio,0.17779390420899854,0.16356107660455488
current_no_smooth,alto,0.39977142857142856,0.3774770777876368
drop_pupil_mean_z,bajo,0.49272183449651047,0.4395888790298728
drop_pupil_mean_z,medio,0.23197871311078858,0.2082963620230701
drop_pupil_mean_z,alto,0.3677714285714286,0.35211475894705707
drop_pupil_std_z,bajo,0.5096709870388834,0.44498669032830523
drop_pupil_std_z,medio,0.2247218190614417,0.21021887015675836
drop_pupil_std_z,alto,0.3712,0.34479443951493643
drop_pupil_min_z,bajo,0.5020937188434695,0.43278615794143743
drop_pupil_min_z,medio,0.24117077890662797,0.21391600118308193
drop_pupil_min_z,alto,0.38171428571428573,0.3532978408754806
drop_pupil_max_z,bajo,0.49770687936191427,0.44114167406092875
drop_pupil_max_z,medio,0.22931785195936139,0.20977521443359953
drop_pupil_max_z,alto,0.3696,0.3490831115054718
drop_pupil_slope_z_s,bajo,0.4955134596211366,0.4338952972493345
drop_pupil_slope_z_s,medio,0.23439767779390422,0.21332446021887017
drop_pupil_slope_z_s,alto,0.37897142857142857,0.35278024253179535
drop_gaze_dispersion_x_px,bajo,0.5112662013958126,0.4446169772256729
drop_gaze_dispersion_x_px,medio,0.2281083696178036,0.20593019816622302
drop_gaze_dispersion_x_px,alto,0.3769142857142857,0.3494528246081041
drop_gaze_dispersion_y_px,bajo,0.503888334995015,0.43818396923986985
drop_gaze_dispersion_y_px,medio,0.2305273343009192,0.2085181898846495
drop_gaze_dispersion_y_px,alto,0.3778285714285714,0.3532978408754806
drop_gaze_dispersion_2d_px,bajo,0.5068793619142572,0.4385536823425022
drop_gaze_dispersion_2d_px,medio,0.22762457668118047,0.20689145223306715
drop_gaze_dispersion_2d_px,alto,0.37942857142857145,0.35455486542443065
drop_gaze_path_length_px,bajo,0.5100697906281156,0.45400769003253477
drop_gaze_path_length_px,medio,0.23197871311078858,0.20740905057675244
drop_gaze_path_length_px,alto,0.35565714285714284,0.3385832593907128
drop_fixation_count,bajo,0.5030907278165504,0.436483288967761
drop_fixation_count,medio,0.23996129656507015,0.20637385388938184
drop_fixation_count,alto,0.3904,0.35714285714285715
drop_fixation_total_ms,bajo,0.5006979062811565,0.43611357586512867
drop_fixation_total_ms,medio,0.2155297532656023,0.20068027210884354
drop_fixation_total_ms,alto,0.39177142857142855,0.3632061520260278
drop_fixation_mean_ms,bajo,0.5032901296111665,0.4358178053830228
drop_fixation_mean_ms,medio,0.2305273343009192,0.20533865720201125
drop_fixation_mean_ms,alto,0.38902857142857145,0.358843537414966
drop_fixation_median_ms,bajo,0.5024925224327019,0.43774031351671105
drop_fixation_median_ms,medio,0.2382680212868892,0.20814847678201714
drop_fixation_median_ms,alto,0.38445714285714283,0.3541112097012718
drop_saccade_count,bajo,0.501296111665005,0.4355220349009169
drop_saccade_count,medio,0.23850991775520078,0.21302868973676428
drop_saccade_count,alto,0.3753142857142857,0.35144927536231885
drop_saccade_mean_ms,bajo,0.5088733798604187,0.44143744454303463
drop_saccade_mean_ms,medio,0.23850991775520078,0.20748299319727892
drop_saccade_mean_ms,alto,0.3757714285714286,0.3510795622596865
drop_eeg_rms_uv,bajo,0.48534396809571284,0.42420881396036675
drop_eeg_rms_uv,medio,0.2358490566037736,0.20992309967465247
drop_eeg_rms_uv,alto,0.3954285714285714,0.36586808636498075
drop_eeg_std_uv,bajo,0.481555333998006,0.4207335107956226
drop_eeg_std_uv,medio,0.24238026124818576,0.2129547471162378
drop_eeg_std_uv,alto,0.3904,0.3663117420881396
drop_eeg_peak_to_peak_uv,bajo,0.48993020937188436,0.43456078083407274
drop_eeg_peak_to_peak_uv,medio,0.23609095307208514,0.2093315587104407
drop_eeg_peak_to_peak_uv,alto,0.37165714285714285,0.35610766045548653
drop_eeg_delta_relative,bajo,0.49970089730807576,0.43870156758355516
drop_eeg_delta_relative,medio,0.23197871311078858,0.20600414078674947
drop_eeg_delta_relative,alto,0.3830857142857143,0.35529429162969534
drop_eeg_theta_relative,bajo,0.49970089730807576,0.44343389529724936
drop_eeg_theta_relative,medio,0.22907595549104984,0.20533865720201125
drop_eeg_theta_relative,alto,0.37302857142857143,0.3512274475007394
drop_eeg_alpha_relative,bajo,0.4985044865403789,0.4358178053830228
drop_eeg_alpha_relative,medio,0.23488147073052734,0.20903578822833482
drop_eeg_alpha_relative,alto,0.38445714285714283,0.3551464063886424
drop_eeg_beta_relative,bajo,0.49730807577268193,0.4361875184856551
drop_eeg_beta_relative,medio,0.23222060957910015,0.20859213250517597
drop_eeg_beta_relative,alto,0.38011428571428574,0.3552203490091689
drop_eeg_gamma_relative,bajo,0.4959122632103689,0.4383318544809228
drop_eeg_gamma_relative,medio,0.23270440251572327,0.20999704229517893
drop_eeg_gamma_relative,alto,0.37394285714285713,0.3516711032238983
drop_eeg_line_noise_ratio,bajo,0.500099700897308,0.4395888790298728
drop_eeg_line_noise_ratio,medio,0.21214320270924045,0.19461697722567287
drop_eeg_line_noise_ratio,alto,0.3913142857142857,0.3657941437444543
pca_0.8,bajo,0.4470588235294118,0.4254658385093168
pca_0.8,medio,0.1516690856313498,0.13694173321502515
pca_0.8,alto,0.4374857142857143,0.4375924282756581
pca_0.9,bajo,0.4857427716849452,0.4321206743566992
pca_0.9,medio,0.21770682148040638,0.189145223306714
pca_0.9,alto,0.3977142857142857,0.37873410233658683
pca_0.95,bajo,0.4859421734795613,0.44225081336882577
pca_0.95,medio,0.21746492501209483,0.20201123927832002
pca_0.95,alto,0.3666285714285714,0.3557379473528542
pca_full,bajo,0.4995014955134596,0.4387755102040816
pca_full,medio,0.23270440251572327,0.20977521443359953
pca_full,alto,0.3757714285714286,0.35144927536231885
