variant,kind,macro_score,rows,participants,balanced_accuracy,macro_f1,loss_vs_reference,ci_low,ci_high,people_hurt_by_removal,ties,feature
drop_eeg_peak_to_peak_uv,variable,0.3705423047956309,13524,25,0.3658927684337041,0.3617465469333299,0.0042076322683839195,-0.003192940806280752,0.01288786176311001,10,4,eeg_peak_to_peak_uv
drop_pupil_mean_z,variable,0.3711871393533115,13524,25,0.3641573253929092,0.3596794346416044,0.0035627977107032826,-0.0032251049994161704,0.010104136663204605,16,0,pupil_mean_z
drop_gaze_path_length_px,variable,0.372152745008546,13524,25,0.36590188219868236,0.3608637626367135,0.0025971920554688486,-0.002915543099102162,0.007990285144938152,15,0,gaze_path_length_px
drop_pupil_max_z,variable,0.3724126761980113,13524,25,0.36554157710709195,0.36070941213968166,0.00233726086600344,-0.0025641413031090173,0.006833437453838462,14,1,pupil_max_z
drop_eeg_gamma_relative,variable,0.3737310410409856,13524,25,0.36751984095631646,0.36291957190704766,0.0010188960230292788,-0.0024098502593416977,0.004639102071642238,13,1,eeg_gamma_relative
drop_eeg_theta_relative,variable,0.3740364533541851,13524,25,0.36726847474256563,0.36229811018804464,0.0007134837098297142,-0.0032443132360745024,0.004194883580711095,11,4,eeg_theta_relative
drop_eeg_line_noise_ratio,variable,0.3748119952297695,13524,25,0.36785239644027806,0.36140158356443863,-6.205816575471367e-05,-0.008442422721888346,0.009624486461011779,8,2,eeg_line_noise_ratio
drop_pupil_std_z,variable,0.37491353641806524,13524,25,0.368530935366775,0.3630041240634043,-0.000163599354050431,-0.00862692063399277,0.008507478824069428,11,0,pupil_std_z
drop_fixation_total_ms,variable,0.3755717322399545,13524,25,0.3693330293727291,0.36317506168734587,-0.0008217951759396569,-0.00678971652317301,0.006367112230183712,11,1,fixation_total_ms
drop_pupil_slope_z_s,variable,0.3758553679604193,13524,25,0.3696275219954898,0.3651153752286162,-0.0011054308964044946,-0.00510984872757709,0.0030913205901730856,14,0,pupil_slope_z_s
drop_gaze_dispersion_y_px,variable,0.37589459181072854,13524,25,0.3707480802415019,0.3657373632152898,-0.001144654746713688,-0.005152848126255988,0.00264337811168868,10,2,gaze_dispersion_y_px
drop_eeg_beta_relative,variable,0.37594876588653064,13524,25,0.36988099035535593,0.3651456329447496,-0.0011988288225158183,-0.003959421611455232,0.0012692032282598004,11,1,eeg_beta_relative
drop_saccade_count,variable,0.3762862522160596,13524,25,0.3717067717114972,0.3673189783713393,-0.0015363151520447137,-0.0077434696996380205,0.00528136300526845,9,0,saccade_count
drop_eeg_std_uv,variable,0.37664973989078426,13524,25,0.37144519841539725,0.3676917751485667,-0.0018998028267694733,-0.01189702751934728,0.007587798552647278,11,4,eeg_std_uv
drop_eeg_delta_relative,variable,0.377240226548307,13524,25,0.37158844156819293,0.3667032512557302,-0.002490289484292155,-0.0065472323564694165,0.0009238118819276881,10,2,eeg_delta_relative
drop_gaze_dispersion_2d_px,variable,0.37734352282110256,13524,25,0.37131083667466974,0.3660021952150954,-0.0025935857570878085,-0.007301879568863606,0.0021649532842497295,12,0,gaze_dispersion_2d_px
drop_eeg_rms_uv,variable,0.37801397453446817,13524,25,0.37220719870935265,0.3678427431220858,-0.0032640374704533803,-0.012411472277434252,0.0049311303749855016,8,1,eeg_rms_uv
drop_gaze_dispersion_x_px,variable,0.3781760202921034,13524,25,0.3720962855759673,0.3666528967637159,-0.00342608322808864,-0.008947123853350962,0.0021700234626860016,11,0,gaze_dispersion_x_px
drop_eeg_alpha_relative,variable,0.3787543652435207,13524,25,0.3726143667093497,0.3679495710150558,-0.004004428179505855,-0.007885222949966362,-0.0004854329437813421,9,3,eeg_alpha_relative
drop_fixation_mean_ms,variable,0.37968455099294895,13524,25,0.374282011780219,0.3691355782170444,-0.004934613928934133,-0.009906770298694075,0.00024348988402195064,7,0,fixation_mean_ms
drop_fixation_median_ms,variable,0.38014897649282964,13524,25,0.37507256219224466,0.3704959951022872,-0.005399039428814823,-0.009957204763312551,-0.0009103638954860936,6,2,fixation_median_ms
drop_saccade_mean_ms,variable,0.38016451788081906,13524,25,0.37438490872901603,0.3697304025912184,-0.005414580816804292,-0.011025804346946815,0.0005702846224506619,5,1,saccade_mean_ms
drop_pupil_min_z,variable,0.3802173652321711,13524,25,0.37499292782146104,0.3706830123115963,-0.005467428168156296,-0.011245177831171346,0.00014549639277900968,7,1,pupil_min_z
drop_fixation_count,variable,0.3843249274518329,13524,25,0.3778173414605402,0.37325780520652013,-0.00957499038781807,-0.01702172291774482,-0.0028701879075609038,8,0,fixation_count
