fold,id,epoch,smoothing,score
1,g00,2,1,0.4054476679302824
1,g00,2,8,0.38107886365915616
1,g00,2,32,0.3789999551726847
1,g00,4,1,0.4124345725441288
1,g00,4,8,0.3932462514206813
1,g00,4,32,0.39302263471940946
1,g00,8,1,0.39697256286752386
1,g00,8,8,0.3734595554501003
1,g00,8,32,0.37386940518474854
1,g00,16,1,0.38840046786399895
1,g00,16,8,0.36837485387967817
1,g00,16,32,0.35897679328048493
1,g01,2,1,0.3959419844108204
1,g01,2,8,0.3776363770940416
1,g01,2,32,0.37795858914105795
1,g01,4,1,0.41002320245164603
1,g01,4,8,0.3740862996475062
1,g01,4,32,0.37846800695500626
1,g01,8,1,0.39175403581303636
1,g01,8,8,0.3736709309009244
1,g01,8,32,0.3738116907194913
1,g01,16,1,0.3830415265027447
1,g01,16,8,0.37431122642925524
1,g01,16,32,0.3745764471295951
1,g02,2,1,0.400131922603908
1,g02,2,8,0.3938072884136919
1,g02,2,32,0.38793925431002724
1,g02,4,1,0.37584214139211125
1,g02,4,8,0.3553283241979914
1,g02,4,32,0.34741336285269914
1,g02,8,1,0.37581671913151604
1,g02,8,8,0.36364362708700737
1,g02,8,32,0.3539530581801433
1,g02,16,1,0.37851210535890134
1,g02,16,8,0.3300922727189276
1,g02,16,32,0.33381059237286637
1,g03,2,1,0.40856898939075315
1,g03,2,8,0.384721525325555
1,g03,2,32,0.3780529010803005
1,g03,4,1,0.37882567997657907
1,g03,4,8,0.3613762494890767
1,g03,4,32,0.36254173357862285
1,g03,8,1,0.3717086291836038
1,g03,8,8,0.3541850945068895
1,g03,8,32,0.3417766754683241
1,g03,16,1,0.36297662980983664
1,g03,16,8,0.3691071007816369
1,g03,16,32,0.3554651746885061
1,g04,2,1,0.37974256013462376
1,g04,2,8,0.3647561517145019
1,g04,2,32,0.36869460117748837
1,g04,4,1,0.39217213568818204
1,g04,4,8,0.3763267701284952
1,g04,4,32,0.38071365386945466
1,g04,8,1,0.3916063604707828
1,g04,8,8,0.3809209274880983
1,g04,8,32,0.3876719878449602
1,g04,16,1,0.38391546171636803
1,g04,16,8,0.3573290710334349
1,g04,16,32,0.3591140945345132
1,g05,2,1,0.3630507584407588
1,g05,2,8,0.3566373605763042
1,g05,2,32,0.3654645940153783
1,g05,4,1,0.36679799615174086
1,g05,4,8,0.3628476382577383
1,g05,4,32,0.3685639321879334
1,g05,8,1,0.3661249675682402
1,g05,8,8,0.3690222891667449
1,g05,8,32,0.3734172518888715
1,g05,16,1,0.3671297738661916
1,g05,16,8,0.3674400798301358
1,g05,16,32,0.37297417116817116
1,g06,2,1,0.36504225175378446
1,g06,2,8,0.37008372222252933
1,g06,2,32,0.3629006964088082
1,g06,4,1,0.3979234156395042
1,g06,4,8,0.3769138074397733
1,g06,4,32,0.36517712632127775
1,g06,8,1,0.3690620035120849
