scope,reference,delta,ci_low,ci_high,improve,ties
Transformer,Transformer previo,-0.0108413505078947,-0.030799942733742747,0.008181721719866942,13,0
Transformer,Ridge,-0.022149008149258735,-0.04874542909935243,0.0037573554716110046,10,0
Transformer,Ridge sin fixation_count,-0.0317239985370768,-0.059413428876887574,-0.004191759290927414,10,0
Transformer,Control repetido,-0.004849726306657413,-0.014168131593534323,0.004097323803776851,11,0
repeat_current,Transformer previo,-0.005991624201237288,-0.023210018391518393,0.00928408890691507,11,0
repeat_current,Ridge,-0.017299281842601322,-0.0435353682495289,0.008619865465465146,12,0
repeat_current,Ridge sin fixation_count,-0.026874272230419397,-0.05465543157837953,0.0014634559039530114,11,0
repeat_current,Control repetido,0.0,0.0,0.0,0,25
