model_id,fold,scope,seed,macro_score,rows,participants,balanced_accuracy,macro_f1
fold1_stack_weight_0.05_20260911,1,stack_weight_0.05,20260911,0.3744588658903568,2886,5,0.3745668745668746,0.37022930963222195
fold1_stack_weight_0.1_20260911,1,stack_weight_0.1,20260911,0.37119961975029236,2886,5,0.37144837144837145,0.366383678084623
fold1_stack_weight_0.25_20260911,1,stack_weight_0.25,20260911,0.37044103957774804,2886,5,0.37144837144837145,0.36343850295195385
fold1_stack_weight_0.05_20260912,1,stack_weight_0.05,20260912,0.3744588658903568,2886,5,0.3745668745668746,0.37022930963222195
fold1_stack_weight_0.1_20260912,1,stack_weight_0.1,20260912,0.37119961975029236,2886,5,0.37144837144837145,0.366383678084623
fold1_stack_weight_0.25_20260912,1,stack_weight_0.25,20260912,0.37044103957774804,2886,5,0.37144837144837145,0.36343850295195385
fold2_stack_weight_0.05_20260911,2,stack_weight_0.05,20260911,0.34468001128852105,2612,5,0.34799817216773876,0.34829375452563727
fold2_stack_weight_0.1_20260911,2,stack_weight_0.1,20260911,0.3410837088830484,2612,5,0.34418257232240146,0.3446052409715547
fold2_stack_weight_0.25_20260911,2,stack_weight_0.25,20260911,0.33627661636585293,2612,5,0.33887131357868466,0.3376546129995741
fold2_stack_weight_0.05_20260912,2,stack_weight_0.05,20260912,0.34468001128852105,2612,5,0.34799817216773876,0.34829375452563727
fold2_stack_weight_0.1_20260912,2,stack_weight_0.1,20260912,0.3410837088830484,2612,5,0.34418257232240146,0.3446052409715547
fold2_stack_weight_0.25_20260912,2,stack_weight_0.25,20260912,0.33627661636585293,2612,5,0.33887131357868466,0.3376546129995741
fold3_stack_weight_0.05_20260911,3,stack_weight_0.05,20260911,0.38365329269887183,2659,5,0.3937130423401911,0.3861940555199353
fold3_stack_weight_0.1_20260911,3,stack_weight_0.1,20260911,0.38820019338707434,2659,5,0.3971896739898677,0.39042387166552944
fold3_stack_weight_0.25_20260911,3,stack_weight_0.25,20260911,0.40016076732267114,2659,5,0.4046846420155908,0.40043020308575333
fold3_stack_weight_0.05_20260912,3,stack_weight_0.05,20260912,0.38365329269887183,2659,5,0.3937130423401911,0.3861940555199353
fold3_stack_weight_0.1_20260912,3,stack_weight_0.1,20260912,0.38820019338707434,2659,5,0.3971896739898677,0.39042387166552944
fold3_stack_weight_0.25_20260912,3,stack_weight_0.25,20260912,0.40016076732267114,2659,5,0.4046846420155908,0.40043020308575333
fold4_stack_weight_0.05_20260911,4,stack_weight_0.05,20260911,0.3626937002819495,2660,5,0.3624165799276058,0.3605451389022074
fold4_stack_weight_0.1_20260911,4,stack_weight_0.1,20260911,0.365276842846363,2660,5,0.3650429284124928,0.36347710102082065
fold4_stack_weight_0.25_20260911,4,stack_weight_0.25,20260911,0.36885337898780096,2660,5,0.36914829452767717,0.3668077335027582
fold4_stack_weight_0.05_20260912,4,stack_weight_0.05,20260912,0.3626937002819495,2660,5,0.3624165799276058,0.3605451389022074
fold4_stack_weight_0.1_20260912,4,stack_weight_0.1,20260912,0.365276842846363,2660,5,0.3650429284124928,0.36347710102082065
fold4_stack_weight_0.25_20260912,4,stack_weight_0.25,20260912,0.36885337898780096,2660,5,0.36914829452767717,0.3668077335027582
fold5_stack_weight_0.05_20260911,5,stack_weight_0.05,20260911,0.37668976711125757,2707,5,0.36255649426061015,0.36145567417900076
fold5_stack_weight_0.1_20260911,5,stack_weight_0.1,20260911,0.3775574918347274,2707,5,0.36223038147816156,0.36073497023923745
fold5_stack_weight_0.25_20260911,5,stack_weight_0.25,20260911,0.38228943415708916,2707,5,0.3652672846319582,0.36032251807808985
fold5_stack_weight_0.05_20260912,5,stack_weight_0.05,20260912,0.37668976711125757,2707,5,0.36255649426061015,0.36145567417900076
fold5_stack_weight_0.1_20260912,5,stack_weight_0.1,20260912,0.3775574918347274,2707,5,0.36223038147816156,0.36073497023923745
fold5_stack_weight_0.25_20260912,5,stack_weight_0.25,20260912,0.38228943415708916,2707,5,0.3652672846319582,0.36032251807808985
