scope,mean_delta,ci_low,ci_high,positive_participants,tied_participants
stack_weight_0.05,0.0033496066321793225,-0.0032077462845501305,0.010916923451645476,14,0
stack_weight_0.1,0.0035780505182890577,-0.0029941467758683453,0.011427423736214184,12,1
stack_weight_0.25,0.006518726460220409,-0.003121655253862485,0.0170650719481409,15,0
