scope,seed,label,predicted_fraction,recall
stack_weight_0.05,20260911,bajo,0.35551611949127476,0.40997008973080756
stack_weight_0.05,20260911,medio,0.32579118603963325,0.3575229801644896
stack_weight_0.05,20260911,alto,0.318692694469092,0.33577142857142855
stack_weight_0.05,20260912,bajo,0.35551611949127476,0.40997008973080756
stack_weight_0.05,20260912,medio,0.32579118603963325,0.3575229801644896
stack_weight_0.05,20260912,alto,0.318692694469092,0.33577142857142855
stack_weight_0.1,20260911,bajo,0.36490683229813664,0.41914257228315055
stack_weight_0.1,20260911,medio,0.3124075717243419,0.3432510885341074
stack_weight_0.1,20260911,alto,0.32268559597752144,0.34034285714285717
stack_weight_0.1,20260912,bajo,0.36490683229813664,0.41914257228315055
stack_weight_0.1,20260912,medio,0.3124075717243419,0.3432510885341074
stack_weight_0.1,20260912,alto,0.32268559597752144,0.34034285714285717
stack_weight_0.25,20260911,bajo,0.39581484767820174,0.4534396809571286
stack_weight_0.25,20260911,medio,0.26205264714581483,0.2880986937590711
stack_weight_0.25,20260911,alto,0.3421325051759834,0.3657142857142857
stack_weight_0.25,20260912,bajo,0.39581484767820174,0.4534396809571286
stack_weight_0.25,20260912,medio,0.26205264714581483,0.2880986937590711
stack_weight_0.25,20260912,alto,0.3421325051759834,0.3657142857142857
