scope,reference,participant,delta
unadjusted,previous_late_geometric,P48,0.010998307952622688
unadjusted,previous_late_geometric,P8,0.04783929520771629
unadjusted,previous_late_geometric,P9,0.0018117188395826433
unadjusted,previous_fixed_logistic,P12,0.01571009635525772
unadjusted,previous_fixed_logistic,P13,0.006931655412318494
unadjusted,previous_fixed_logistic,P18,0.004246284501061626
unadjusted,previous_fixed_logistic,P19,-0.0331892033542977
unadjusted,previous_fixed_logistic,P2,-0.032304571469970234
unadjusted,previous_fixed_logistic,P20,-0.015804597701149503
unadjusted,previous_fixed_logistic,P21,-0.027109367431948028
unadjusted,previous_fixed_logistic,P22,-0.024980956221714368
unadjusted,previous_fixed_logistic,P24,-0.02928260966975843
unadjusted,previous_fixed_logistic,P26,0.008571428571428563
unadjusted,previous_fixed_logistic,P27,0.030177349532188258
unadjusted,previous_fixed_logistic,P3,0.031055900621118127
unadjusted,previous_fixed_logistic,P30,-0.05161328528162695
unadjusted,previous_fixed_logistic,P33,0.040649008141268206
unadjusted,previous_fixed_logistic,P34,-0.0645075421472937
unadjusted,previous_fixed_logistic,P35,-0.04074074074074063
unadjusted,previous_fixed_logistic,P36,-0.02753219631047682
unadjusted,previous_fixed_logistic,P4,-0.12418300653594774
unadjusted,previous_fixed_logistic,P40,0.004026862581736457
unadjusted,previous_fixed_logistic,P43,0.028881822999470064
unadjusted,previous_fixed_logistic,P44,-0.02074200844692653
unadjusted,previous_fixed_logistic,P46,0.01913265306122447
unadjusted,previous_fixed_logistic,P48,0.0008460236886633221
unadjusted,previous_fixed_logistic,P8,-0.006242879927090383
unadjusted,previous_fixed_logistic,P9,-0.013828689370485037
unadjusted,global,P12,-0.006786761625471316
unadjusted,global,P13,-0.009975445058317933
unadjusted,global,P18,-0.010615711252653925
unadjusted,global,P19,0.024895178197064993
unadjusted,global,P2,0.012229225530681731
unadjusted,global,P20,-0.004394312583967885
unadjusted,global,P21,-0.06963092124382447
unadjusted,global,P22,-0.08029192991889594
unadjusted,global,P24,-0.044394407850517514
unadjusted,global,P26,0.03428571428571431
unadjusted,global,P27,0.02013685239491697
unadjusted,global,P3,0.03623188405797112
unadjusted,global,P30,-0.016801177605197726
unadjusted,global,P33,-0.016798532278408496
unadjusted,global,P34,-0.06359804791481805
unadjusted,global,P35,0.024074074074074137
unadjusted,global,P36,-0.027659821324979683
unadjusted,global,P4,-0.12309368191721129
unadjusted,global,P40,0.006210709687192284
unadjusted,global,P43,0.02490726020137779
unadjusted,global,P44,0.04199943954042307
unadjusted,global,P46,0.11989795918367346
unadjusted,global,P48,0.02707275803722503
unadjusted,global,P8,0.005308726361357985
unadjusted,global,P9,0.04172113289760343
participant,previous_late_geometric,P12,-0.033780198296327335
participant,previous_late_geometric,P13,-0.015264988745651686
participant,previous_late_geometric,P18,0.002123142250530785
participant,previous_late_geometric,P19,-0.045518867924528195
participant,previous_late_geometric,P2,-0.09570383250018111
participant,previous_late_geometric,P20,0.03463514454893768
participant,previous_late_geometric,P21,-0.022876101908359925
participant,previous_late_geometric,P22,-0.08012949769234212
participant,previous_late_geometric,P24,-0.1094233095846216
participant,previous_late_geometric,P26,-0.08190476190476181
participant,previous_late_geometric,P27,-0.021784666945957376
participant,previous_late_geometric,P3,-0.03312629399585926
participant,previous_late_geometric,P30,-0.042201749488181645
participant,previous_late_geometric,P33,0.06257883270267167
participant,previous_late_geometric,P34,0.08864241348713403
participant,previous_late_geometric,P35,-0.03703703703703706
participant,previous_late_geometric,P36,0.10211161387631978
participant,previous_late_geometric,P4,0.07625272331154687
participant,previous_late_geometric,P40,0.01608220353959955
participant,previous_late_geometric,P43,0.025994320111967173
participant,previous_late_geometric,P44,-0.0829630296843411
participant,previous_late_geometric,P46,-0.045918367346938715
participant,previous_late_geometric,P48,0.01692047377326572
participant,previous_late_geometric,P8,0.04606971975393026
participant,previous_late_geometric,P9,-0.04668615984405455
participant,previous_fixed_logistic,P12,0.029102080714983936
participant,previous_fixed_logistic,P13,0.01770002046245145
participant,previous_fixed_logistic,P18,-0.01910828025477701
participant,previous_fixed_logistic,P19,-0.04958071278825993
participant,previous_fixed_logistic,P2,-0.06299355212634933
participant,previous_fixed_logistic,P20,0.014414464845499297
participant,previous_fixed_logistic,P21,-0.06965513900997766
participant,previous_fixed_logistic,P22,-0.018438858269480607
participant,previous_fixed_logistic,P24,-0.012916162566653233
participant,previous_fixed_logistic,P26,-0.0323809523809524
participant,previous_fixed_logistic,P27,0.038625890238793426
participant,previous_fixed_logistic,P3,0.012422360248447228
participant,previous_fixed_logistic,P30,-0.08586281576231322
participant,previous_fixed_logistic,P33,0.1031934411191377
participant,previous_fixed_logistic,P34,0.05363797692990241
participant,previous_fixed_logistic,P35,-0.08333333333333329
participant,previous_fixed_logistic,P36,0.06081912054762739
participant,previous_fixed_logistic,P4,0.015250544662309351
participant,previous_fixed_logistic,P40,-0.018632129061576963
participant,previous_fixed_logistic,P43,0.06660280189691958
participant,previous_fixed_logistic,P44,-0.024264897215716896
participant,previous_fixed_logistic,P46,-0.030612244897959218
participant,previous_fixed_logistic,P48,0.006768189509306355
participant,previous_fixed_logistic,P8,-0.008012455380876415
participant,previous_fixed_logistic,P9,-0.06232656805412223
participant,unadjusted,P12,0.013391984359726217
participant,unadjusted,P13,0.010768365050132955
participant,unadjusted,P18,-0.023354564755838636
participant,unadjusted,P19,-0.016391509433962226
participant,unadjusted,P2,-0.030688980656379095
participant,unadjusted,P20,0.0302190625466488
participant,unadjusted,P21,-0.042545771578029634
participant,unadjusted,P22,0.006542097952233761
participant,unadjusted,P24,0.016366447103105197
participant,unadjusted,P26,-0.04095238095238096
participant,unadjusted,P27,0.008448540706605168
participant,unadjusted,P3,-0.018633540372670898
participant,unadjusted,P30,-0.03424953048068627
participant,unadjusted,P33,0.06254443297786949
participant,unadjusted,P34,0.11814551907719612
participant,unadjusted,P35,-0.042592592592592654
participant,unadjusted,P36,0.08835131685810421
participant,unadjusted,P4,0.1394335511982571
participant,unadjusted,P40,-0.02265899164331342
participant,unadjusted,P43,0.03772097889744952
participant,unadjusted,P44,-0.0035228887687903665
participant,unadjusted,P46,-0.04974489795918369
participant,unadjusted,P48,0.005922165820643033
participant,unadjusted,P8,-0.001769575453786032
participant,unadjusted,P9,-0.0484978786836372
participant,global,P12,0.006605222734254901
participant,global,P13,0.000792919991815022
participant,global,P18,-0.03397027600849256
participant,global,P19,0.008503668763102767
participant,global,P2,-0.018459755125697364
participant,global,P20,0.025824749962680915
participant,global,P21,-0.11217669282185411
participant,global,P22,-0.07374983196666218
participant,global,P24,-0.028027960747412317
participant,global,P26,-0.006666666666666654
participant,global,P27,0.02858539310152214
participant,global,P3,0.017598343685300222
participant,global,P30,-0.051050708085883995
participant,global,P33,0.045745900699460995
participant,global,P34,0.05454747116237807
participant,global,P35,-0.018518518518518517
participant,global,P36,0.06069149553312453
participant,global,P4,0.016339869281045805
participant,global,P40,-0.016448281956121136
participant,global,P43,0.06262823909882731
participant,global,P44,0.0384765507716327
participant,global,P46,0.07015306122448978
participant,global,P48,0.032994923857868064
participant,global,P8,0.003539150907571953
participant,global,P9,-0.0067767457860337665
ordinal,previous_late_geometric,P12,-0.003658706884513252
ordinal,previous_late_geometric,P13,-0.013147125025578077
ordinal,previous_late_geometric,P18,0.002123142250530785
ordinal,previous_late_geometric,P19,-0.020466457023060658
ordinal,previous_late_geometric,P2,-0.03676012461059186
ordinal,previous_late_geometric,P20,0.0039495944668358485
ordinal,previous_late_geometric,P21,0.0768284413445704
ordinal,previous_late_geometric,P22,-0.04330779226598558
ordinal,previous_late_geometric,P24,-0.021754716135681362
ordinal,previous_late_geometric,P26,-0.07238095238095227
ordinal,previous_late_geometric,P27,-0.021784666945957376
ordinal,previous_late_geometric,P3,-0.09730848861283647
ordinal,previous_late_geometric,P30,0.027578972302590432
ordinal,previous_late_geometric,P33,-0.014149753468638948
ordinal,previous_late_geometric,P34,0.0032830523513753262
ordinal,previous_late_geometric,P35,-0.022222222222222254
ordinal,previous_late_geometric,P36,0.10211161387631978
ordinal,previous_late_geometric,P4,0.07407407407407407
ordinal,previous_late_geometric,P40,0.044825670933373696
ordinal,previous_late_geometric,P43,0.0003532944709415675
ordinal,previous_late_geometric,P44,-0.09883104145399219
ordinal,previous_late_geometric,P46,-0.045918367346938715
ordinal,previous_late_geometric,P48,-0.04399323181049064
ordinal,previous_late_geometric,P8,0.04606971975393026
ordinal,previous_late_geometric,P9,0.0024882467606926473
ordinal,previous_fixed_logistic,P12,0.05922357212679802
ordinal,previous_fixed_logistic,P13,0.01981788418252506
ordinal,previous_fixed_logistic,P18,-0.01910828025477701
ordinal,previous_fixed_logistic,P19,-0.024528301886792392
ordinal,previous_fixed_logistic,P2,-0.004049844236760081
ordinal,previous_fixed_logistic,P20,-0.016271085236602534
ordinal,previous_fixed_logistic,P21,0.03004940424295266
ordinal,previous_fixed_logistic,P22,0.018382847156875937
ordinal,previous_fixed_logistic,P24,0.074752430882287
