model_id,scope,fold,seed,participant,score
fold2__catboost__20260911,catboost,2,20260911,P35,0.2777777777777778
fold2__catboost__20260911,catboost,2,20260911,P40,0.33137670731399427
fold2__catboost__20260912,catboost,2,20260912,P12,0.3159055997765675
fold2__catboost__20260912,catboost,2,20260912,P19,0.3289832285115304
fold2__catboost__20260912,catboost,2,20260912,P2,0.36460914293994057
fold2__catboost__20260912,catboost,2,20260912,P35,0.2740740740740741
fold2__catboost__20260912,catboost,2,20260912,P40,0.3231588780327703
fold3__all__20260911,all,3,20260911,P18,0.29723991507430997
fold3__all__20260911,all,3,20260911,P27,0.5028347996089931
fold3__all__20260911,all,3,20260911,P36,0.454043392504931
fold3__all__20260911,all,3,20260911,P46,0.3443877551020408
fold3__all__20260911,all,3,20260911,P8,0.3389230652388547
fold3__all__20260912,all,3,20260912,P18,0.29723991507430997
fold3__all__20260912,all,3,20260912,P27,0.5028347996089931
fold3__all__20260912,all,3,20260912,P36,0.454043392504931
fold3__all__20260912,all,3,20260912,P46,0.3443877551020408
fold3__all__20260912,all,3,20260912,P8,0.3389230652388547
fold3__unadjusted__20260911,unadjusted,3,20260911,P18,0.3205944798301486
fold3__unadjusted__20260911,unadjusted,3,20260911,P27,0.49438625890238797
fold3__unadjusted__20260911,unadjusted,3,20260911,P36,0.36569207564682676
fold3__unadjusted__20260911,unadjusted,3,20260911,P46,0.39413265306122447
fold3__unadjusted__20260911,unadjusted,3,20260911,P8,0.3406926406926407
fold3__unadjusted__20260912,unadjusted,3,20260912,P18,0.3205944798301486
fold3__unadjusted__20260912,unadjusted,3,20260912,P27,0.49438625890238797
fold3__unadjusted__20260912,unadjusted,3,20260912,P36,0.36569207564682676
fold3__unadjusted__20260912,unadjusted,3,20260912,P46,0.39413265306122447
fold3__unadjusted__20260912,unadjusted,3,20260912,P8,0.3406926406926407
fold3__participant__20260911,participant,3,20260911,P18,0.29723991507430997
fold3__participant__20260911,participant,3,20260911,P27,0.5028347996089931
fold3__participant__20260911,participant,3,20260911,P36,0.454043392504931
fold3__participant__20260911,participant,3,20260911,P46,0.3443877551020408
fold3__participant__20260911,participant,3,20260911,P8,0.3389230652388547
fold3__participant__20260912,participant,3,20260912,P18,0.29723991507430997
fold3__participant__20260912,participant,3,20260912,P27,0.5028347996089931
fold3__participant__20260912,participant,3,20260912,P36,0.454043392504931
fold3__participant__20260912,participant,3,20260912,P46,0.3443877551020408
fold3__participant__20260912,participant,3,20260912,P8,0.3389230652388547
fold3__ordinal__20260911,ordinal,3,20260911,P18,0.29723991507430997
fold3__ordinal__20260911,ordinal,3,20260911,P27,0.5028347996089931
fold3__ordinal__20260911,ordinal,3,20260911,P36,0.454043392504931
fold3__ordinal__20260911,ordinal,3,20260911,P46,0.3443877551020408
fold3__ordinal__20260911,ordinal,3,20260911,P8,0.3389230652388547
fold3__ordinal__20260912,ordinal,3,20260912,P18,0.29723991507430997
fold3__ordinal__20260912,ordinal,3,20260912,P27,0.5028347996089931
fold3__ordinal__20260912,ordinal,3,20260912,P36,0.454043392504931
fold3__ordinal__20260912,ordinal,3,20260912,P46,0.3443877551020408
fold3__ordinal__20260912,ordinal,3,20260912,P8,0.3389230652388547
fold3__catboost__20260911,catboost,3,20260911,P18,0.3227176220806794
fold3__catboost__20260911,catboost,3,20260911,P27,0.37602290182935344
fold3__catboost__20260911,catboost,3,20260911,P36,0.3865877712031558
fold3__catboost__20260911,catboost,3,20260911,P46,0.4872448979591837
fold3__catboost__20260911,catboost,3,20260911,P8,0.3681856155540366
fold3__catboost__20260912,catboost,3,20260912,P18,0.32908704883227174
fold3__catboost__20260912,catboost,3,20260912,P27,0.37170786203044265
fold3__catboost__20260912,catboost,3,20260912,P36,0.41618517229376956
fold3__catboost__20260912,catboost,3,20260912,P46,0.4923469387755102
fold3__catboost__20260912,catboost,3,20260912,P8,0.35705931495405174
fold4__all__20260911,all,4,20260911,P20,0.3822274468826193
fold4__all__20260911,all,4,20260911,P3,0.4078674948240166
fold4__all__20260911,all,4,20260911,P33,0.40546955624355
fold4__all__20260911,all,4,20260911,P4,0.3355119825708061
fold4__all__20260911,all,4,20260911,P9,0.3333333333333333
fold4__all__20260912,all,4,20260912,P20,0.38650047270736926
fold4__all__20260912,all,4,20260912,P3,0.3995859213250517
fold4__all__20260912,all,4,20260912,P33,0.4191033138401559
fold4__all__20260912,all,4,20260912,P4,0.3442265795206972
fold4__all__20260912,all,4,20260912,P9,0.3352941176470588
fold4__unadjusted__20260911,unadjusted,4,20260911,P20,0.35414489724834547
fold4__unadjusted__20260911,unadjusted,4,20260911,P3,0.42236024844720504
fold4__unadjusted__20260911,unadjusted,4,20260911,P33,0.3497420020639835
fold4__unadjusted__20260911,unadjusted,4,20260911,P4,0.20043572984749455
fold4__unadjusted__20260911,unadjusted,4,20260911,P9,0.38281160417383325
fold4__unadjusted__20260912,unadjusted,4,20260912,P20,0.35414489724834547
fold4__unadjusted__20260912,unadjusted,4,20260912,P3,0.42236024844720504
fold4__unadjusted__20260912,unadjusted,4,20260912,P33,0.3497420020639835
fold4__unadjusted__20260912,unadjusted,4,20260912,P4,0.20043572984749455
fold4__unadjusted__20260912,unadjusted,4,20260912,P9,0.38281160417383325
fold4__participant__20260911,participant,4,20260911,P20,0.3822274468826193
fold4__participant__20260911,participant,4,20260911,P3,0.4078674948240166
fold4__participant__20260911,participant,4,20260911,P33,0.40546955624355
fold4__participant__20260911,participant,4,20260911,P4,0.3355119825708061
fold4__participant__20260911,participant,4,20260911,P9,0.3333333333333333
fold4__participant__20260912,participant,4,20260912,P20,0.38650047270736926
fold4__participant__20260912,participant,4,20260912,P3,0.3995859213250517
fold4__participant__20260912,participant,4,20260912,P33,0.4191033138401559
fold4__participant__20260912,participant,4,20260912,P4,0.3442265795206972
fold4__participant__20260912,participant,4,20260912,P9,0.3352941176470588
fold4__ordinal__20260911,ordinal,4,20260911,P20,0.35367840971289244
fold4__ordinal__20260911,ordinal,4,20260911,P3,0.33954451345755693
fold4__ordinal__20260911,ordinal,4,20260911,P33,0.33555784887054235
fold4__ordinal__20260911,ordinal,4,20260911,P4,0.33769063180827885
fold4__ordinal__20260911,ordinal,4,20260911,P9,0.38348813209494326
fold4__ordinal__20260912,ordinal,4,20260912,P20,0.35367840971289244
fold4__ordinal__20260912,ordinal,4,20260912,P3,0.33954451345755693
fold4__ordinal__20260912,ordinal,4,20260912,P33,0.33555784887054235
fold4__ordinal__20260912,ordinal,4,20260912,P4,0.33769063180827885
fold4__ordinal__20260912,ordinal,4,20260912,P9,0.38348813209494326
fold4__catboost__20260911,catboost,4,20260911,P20,0.3822274468826193
fold4__catboost__20260911,catboost,4,20260911,P3,0.4078674948240166
fold4__catboost__20260911,catboost,4,20260911,P33,0.40546955624355
fold4__catboost__20260911,catboost,4,20260911,P4,0.3355119825708061
fold4__catboost__20260911,catboost,4,20260911,P9,0.3333333333333333
fold4__catboost__20260912,catboost,4,20260912,P20,0.38650047270736926
fold4__catboost__20260912,catboost,4,20260912,P3,0.3995859213250517
fold4__catboost__20260912,catboost,4,20260912,P33,0.4191033138401559
fold4__catboost__20260912,catboost,4,20260912,P4,0.3442265795206972
fold4__catboost__20260912,catboost,4,20260912,P9,0.3352941176470588
fold5__all__20260911,all,5,20260911,P13,0.34069981583793735
fold5__all__20260911,all,5,20260911,P21,0.24917175239755887
fold5__all__20260911,all,5,20260911,P26,0.3619047619047619
fold5__all__20260911,all,5,20260911,P34,0.5148624667258208
fold5__all__20260911,all,5,20260911,P44,0.3772893772893773
fold5__all__20260912,all,5,20260912,P13,0.3333333333333333
fold5__all__20260912,all,5,20260912,P21,0.2545480964835804
fold5__all__20260912,all,5,20260912,P26,0.3580952380952381
fold5__all__20260912,all,5,20260912,P34,0.4319875776397516
fold5__all__20260912,all,5,20260912,P44,0.3644688644688645
fold5__unadjusted__20260911,unadjusted,5,20260911,P13,0.32995702885205647
fold5__unadjusted__20260911,unadjusted,5,20260911,P21,0.2908069359682263
fold5__unadjusted__20260911,unadjusted,5,20260911,P26,0.3980952380952381
fold5__unadjusted__20260911,unadjusted,5,20260911,P34,0.38700088731144633
fold5__unadjusted__20260911,unadjusted,5,20260911,P44,0.36981324686242717
fold5__unadjusted__20260912,unadjusted,5,20260912,P13,0.32253939021894823
fold5__unadjusted__20260912,unadjusted,5,20260912,P21,0.29800445606897225
fold5__unadjusted__20260912,unadjusted,5,20260912,P26,0.4038095238095238
fold5__unadjusted__20260912,unadjusted,5,20260912,P34,0.3235581188997338
fold5__unadjusted__20260912,unadjusted,5,20260912,P44,0.3789907724333954
fold5__participant__20260911,participant,5,20260911,P13,0.34069981583793735
fold5__participant__20260911,participant,5,20260911,P21,0.24917175239755887
fold5__participant__20260911,participant,5,20260911,P26,0.3619047619047619
fold5__participant__20260911,participant,5,20260911,P34,0.5148624667258208
fold5__participant__20260911,participant,5,20260911,P44,0.3772893772893773
fold5__participant__20260912,participant,5,20260912,P13,0.3333333333333333
fold5__participant__20260912,participant,5,20260912,P21,0.2545480964835804
fold5__participant__20260912,participant,5,20260912,P26,0.3580952380952381
fold5__participant__20260912,participant,5,20260912,P34,0.4319875776397516
fold5__participant__20260912,participant,5,20260912,P44,0.3644688644688645
fold5__ordinal__20260911,ordinal,5,20260911,P13,0.33913443830570894
fold5__ordinal__20260911,ordinal,5,20260911,P21,0.35156446769349997
fold5__ordinal__20260911,ordinal,5,20260911,P26,0.36952380952380953
fold5__ordinal__20260911,ordinal,5,20260911,P34,0.3880656610470275
fold5__ordinal__20260911,ordinal,5,20260911,P44,0.3550111091094698
fold5__ordinal__20260912,ordinal,5,20260912,P13,0.33913443830570894
fold5__ordinal__20260912,ordinal,5,20260912,P21,0.35156446769349997
fold5__ordinal__20260912,ordinal,5,20260912,P26,0.36952380952380953
fold5__ordinal__20260912,ordinal,5,20260912,P34,0.3880656610470275
fold5__ordinal__20260912,ordinal,5,20260912,P44,0.3550111091094698
fold5__catboost__20260911,catboost,5,20260911,P13,0.34069981583793735
fold5__catboost__20260911,catboost,5,20260911,P21,0.24917175239755887
fold5__catboost__20260911,catboost,5,20260911,P26,0.3619047619047619
fold5__catboost__20260911,catboost,5,20260911,P34,0.5148624667258208
fold5__catboost__20260911,catboost,5,20260911,P44,0.3772893772893773
fold5__catboost__20260912,catboost,5,20260912,P13,0.3333333333333333
fold5__catboost__20260912,catboost,5,20260912,P21,0.2545480964835804
fold5__catboost__20260912,catboost,5,20260912,P26,0.3580952380952381
fold5__catboost__20260912,catboost,5,20260912,P34,0.4319875776397516
fold5__catboost__20260912,catboost,5,20260912,P44,0.3644688644688645
