round,scope,primary,BA_macro,BA_global,macro_F1,ci_low,ci_high,report
Persistencia,all,True,0.3505852607943489,0.357546345532711,0.357137682722042,0.3144456479238952,0.3908053025062784,Busqueda_persistencia_11-09-2026.md
Persistencia,ema,False,0.3508349677437771,0.362344192303868,0.34973374468919,0.3169690396827699,0.38799714637450916,Busqueda_persistencia_11-09-2026.md
Persistencia,hmm,False,0.369796820587073,0.3620956022893606,0.3520692491582499,0.3345191681303288,0.40831274792439654,Busqueda_persistencia_11-09-2026.md
Persistencia,mean,False,0.3662356463274344,0.3662899158216828,0.3658102575420308,0.33729824039088324,0.3975114908297545,Busqueda_persistencia_11-09-2026.md
Multiescala,all,True,0.3648501065958493,0.3565064549526484,0.3476460297212322,0.3298273176055663,0.40058306594327603,Busqueda_multiescala_11-09-2026.md
Multiescala,rbf,False,0.3695814119649016,0.3590447429981808,0.3472399808997948,0.3325664870637728,0.4090135549688239,Busqueda_multiescala_11-09-2026.md
Multiescala,ridge,False,0.3747499370640147,0.3693257755335371,0.3645956499840788,0.34399734644993263,0.4038630729569625,Busqueda_multiescala_11-09-2026.md
Multiescala,trees,False,0.3627741912614625,0.3428167804738846,0.2925875248918864,0.3327684957248147,0.3956941809110677,Busqueda_multiescala_11-09-2026.md
Adaptación offline,all,True,0.3645430532442466,0.3637091463600765,0.351976598643797,0.3383005049481078,0.3897061148742674,Busqueda_adaptacion_11-09-2026.md
Adaptación offline,center,False,0.3671986877709992,0.3654080182655663,0.3441634211223416,0.3416602508507668,0.3927735952780287,Busqueda_adaptacion_11-09-2026.md
Adaptación offline,rank,False,0.3626024597792217,0.3576921454311473,0.3557852842660899,0.32729814801504575,0.40026871053251134,Busqueda_adaptacion_11-09-2026.md
Regresión ordinal,all,True,0.3641539532726321,0.3541684075793446,0.3456617554810997,0.32977052889209413,0.401381498247759,Regresion_Ordinal_12-09-2026.md
Regresión ordinal,hgb,False,0.3531920130104515,0.3474383292217939,0.3437641429194195,0.3277696725536854,0.38240624941190954,Regresion_Ordinal_12-09-2026.md
Regresión ordinal,rbf,False,0.355107553786484,0.3464437413494995,0.3401816873556182,0.3322823759912021,0.37937883818618956,Regresion_Ordinal_12-09-2026.md
Regresión ordinal,ridge,False,0.3641539532726321,0.3541684075793446,0.3456617554810997,0.32977052889209413,0.401381498247759,Regresion_Ordinal_12-09-2026.md
Regresión ordinal,trees,False,0.3576002867413911,0.357507884262985,0.3558004306572207,0.3348212256418221,0.3799254576778098,Regresion_Ordinal_12-09-2026.md
