task,scope,reference,participant,delta
attention,late_geometric,fixed_logistic,P48,0.07106598984771573
attention,late_geometric,fixed_logistic,P8,-0.08334472544998861
attention,late_geometric,fixed_logistic,P9,0.03736956771012495
attention,unimodal,early,P12,0.03679653679653683
attention,unimodal,early,P13,0.03132801309596889
attention,unimodal,early,P18,0.0
attention,unimodal,early,P19,-0.003989779874213839
attention,unimodal,early,P2,0.049108889371875575
attention,unimodal,early,P20,0.010150768771458485
attention,unimodal,early,P21,-0.01825050857308924
attention,unimodal,early,P22,0.012535287000940976
attention,unimodal,early,P24,0.04315656226195275
attention,unimodal,early,P26,-0.013333333333333308
attention,unimodal,early,P27,-0.009579667644183776
attention,unimodal,early,P3,0.047619047619047616
attention,unimodal,early,P30,8.459807454758161e-06
attention,unimodal,early,P33,-0.031085884646256223
attention,unimodal,early,P34,0.056545937689619796
attention,unimodal,early,P35,0.025925925925925908
attention,unimodal,early,P36,-0.006862745098039191
attention,unimodal,early,P4,-0.05664488017429192
attention,unimodal,early,P40,-0.03479638466005208
attention,unimodal,early,P43,0.0009138097373391219
attention,unimodal,early,P44,-0.01812986649052223
attention,unimodal,early,P46,0.005102040816326481
attention,unimodal,early,P48,0.007614213197969455
attention,unimodal,early,P8,0.00396825396825401
attention,unimodal,early,P9,0.013702557046210317
attention,unimodal,fixed_logistic,P12,0.0563468789275241
attention,unimodal,fixed_logistic,P13,-0.020344792306118298
attention,unimodal,fixed_logistic,P18,-0.02016985138004246
attention,unimodal,fixed_logistic,P19,-0.016430817610062987
attention,unimodal,fixed_logistic,P2,0.06314569296529732
attention,unimodal,fixed_logistic,P20,0.0115875503806539
attention,unimodal,fixed_logistic,P21,0.02036229778165266
attention,unimodal,fixed_logistic,P22,0.06627794954518978
attention,unimodal,fixed_logistic,P24,0.06714612179056334
attention,unimodal,fixed_logistic,P26,-0.015238095238095162
attention,unimodal,fixed_logistic,P27,0.022189638318670546
attention,unimodal,fixed_logistic,P3,0.0496894409937888
attention,unimodal,fixed_logistic,P30,-0.07238634248684497
attention,unimodal,fixed_logistic,P33,-0.027210182318541498
attention,unimodal,fixed_logistic,P34,0.07406942439269343
attention,unimodal,fixed_logistic,P35,0.06388888888888888
attention,unimodal,fixed_logistic,P36,-0.020623042116254764
attention,unimodal,fixed_logistic,P4,-0.05446623093681918
attention,unimodal,fixed_logistic,P40,-0.08235502032366382
attention,unimodal,fixed_logistic,P43,0.010857010857010907
attention,unimodal,fixed_logistic,P44,-0.009182529674332918
attention,unimodal,fixed_logistic,P46,0.040816326530612235
attention,unimodal,fixed_logistic,P48,0.11336717428087983
attention,unimodal,fixed_logistic,P8,-0.049813928761297144
attention,unimodal,fixed_logistic,P9,0.01565187478500174
attention,early,fixed_logistic,P12,0.019550342130987275
attention,early,fixed_logistic,P13,-0.051672805402087185
attention,early,fixed_logistic,P18,-0.02016985138004246
attention,early,fixed_logistic,P19,-0.012441037735849148
attention,early,fixed_logistic,P2,0.014036803593421743
attention,early,fixed_logistic,P20,0.0014367816091954144
attention,early,fixed_logistic,P21,0.0386128063547419
attention,early,fixed_logistic,P22,0.05374266254424881
attention,early,fixed_logistic,P24,0.023989559528610593
attention,early,fixed_logistic,P26,-0.0019047619047618536
attention,early,fixed_logistic,P27,0.03176930596285432
attention,early,fixed_logistic,P3,0.0020703933747411862
attention,early,fixed_logistic,P30,-0.07239480229429973
attention,early,fixed_logistic,P33,0.003875702327714725
attention,early,fixed_logistic,P34,0.017523486703073632
attention,early,fixed_logistic,P35,0.037962962962962976
attention,early,fixed_logistic,P36,-0.013760297018215573
attention,early,fixed_logistic,P4,0.0021786492374727406
attention,early,fixed_logistic,P40,-0.04755863566361174
attention,early,fixed_logistic,P43,0.009943201119671785
attention,early,fixed_logistic,P44,0.00894733681618931
attention,early,fixed_logistic,P46,0.035714285714285754
attention,early,fixed_logistic,P48,0.10575296108291038
attention,early,fixed_logistic,P8,-0.05378218272955115
attention,early,fixed_logistic,P9,0.001949317738791423
