task,scope,reference,participant,delta
arousal,late_mean,early,P9,0.015869739708748998
arousal,late_mean,fixed_logistic,P12,0.05858120374249404
arousal,late_mean,fixed_logistic,P13,0.031123388581952127
arousal,late_mean,fixed_logistic,P18,-0.023354564755838636
arousal,late_mean,fixed_logistic,P19,-0.006145178197064949
arousal,late_mean,fixed_logistic,P2,0.031167137578787196
arousal,late_mean,fixed_logistic,P20,-0.021657461312633797
arousal,late_mean,fixed_logistic,P21,-0.03600697471665215
arousal,late_mean,fixed_logistic,P22,0.059763857149258415
arousal,late_mean,fixed_logistic,P24,0.09843392929157146
arousal,late_mean,fixed_logistic,P26,0.05142857142857138
arousal,late_mean,fixed_logistic,P27,0.058246055020248544
arousal,late_mean,fixed_logistic,P3,0.04140786749482411
arousal,late_mean,fixed_logistic,P30,-0.04869465170972703
arousal,late_mean,fixed_logistic,P33,0.03280587088636622
arousal,late_mean,fixed_logistic,P34,-0.04587400177462292
arousal,late_mean,fixed_logistic,P35,-0.04999999999999999
arousal,late_mean,fixed_logistic,P36,-0.033449356073790515
arousal,late_mean,fixed_logistic,P4,-0.05664488017429198
arousal,late_mean,fixed_logistic,P40,-0.03062435305107425
arousal,late_mean,fixed_logistic,P43,0.04512657453833929
arousal,late_mean,fixed_logistic,P44,0.056866630637122384
arousal,late_mean,fixed_logistic,P46,0.01658163265306123
arousal,late_mean,fixed_logistic,P48,-0.011844331641285955
arousal,late_mean,fixed_logistic,P8,-0.04930508088402824
arousal,late_mean,fixed_logistic,P9,-0.01564040821006768
arousal,late_mean,previous_pupil_logistic,P12,0.0409021086440442
arousal,late_mean,previous_pupil_logistic,P13,-0.024360548393697556
arousal,late_mean,previous_pupil_logistic,P18,-0.010615711252653925
arousal,late_mean,previous_pupil_logistic,P19,0.027725366876310276
arousal,late_mean,previous_pupil_logistic,P2,0.020314424400492637
arousal,late_mean,previous_pupil_logistic,P20,-0.030359008807284704
arousal,late_mean,previous_pupil_logistic,P21,-0.055817107430010726
arousal,late_mean,previous_pupil_logistic,P22,0.02537303400994767
arousal,late_mean,previous_pupil_logistic,P24,0.04189631222834611
arousal,late_mean,previous_pupil_logistic,P26,0.01142857142857151
arousal,late_mean,previous_pupil_logistic,P27,0.09293394777265745
arousal,late_mean,previous_pupil_logistic,P3,0.08281573498964812
arousal,late_mean,previous_pupil_logistic,P30,-0.030463766644671153
arousal,late_mean,previous_pupil_logistic,P33,0.0156633413599358
arousal,late_mean,previous_pupil_logistic,P34,0.05718722271517307
arousal,late_mean,previous_pupil_logistic,P35,-0.038888888888888806
arousal,late_mean,previous_pupil_logistic,P36,-0.06481030281935257
arousal,late_mean,previous_pupil_logistic,P4,-0.052287581699346386
arousal,late_mean,previous_pupil_logistic,P40,-0.0619177459668257
arousal,late_mean,previous_pupil_logistic,P43,0.050059108882638315
arousal,late_mean,previous_pupil_logistic,P44,0.09567845633419397
arousal,late_mean,previous_pupil_logistic,P46,0.10841836734693883
arousal,late_mean,previous_pupil_logistic,P48,0.005076142131979711
arousal,late_mean,previous_pupil_logistic,P8,-0.03493582440950865
arousal,late_mean,previous_pupil_logistic,P9,0.005653021442495021
arousal,late_geometric,early,P12,0.01085043988269796
arousal,late_geometric,early,P13,0.04054634745242475
arousal,late_geometric,early,P18,-0.01273885350318471
arousal,late_geometric,early,P19,0.031485849056603676
arousal,late_geometric,early,P2,0.0017749764543939506
arousal,late_geometric,early,P20,0.0027180673732398186
arousal,late_geometric,early,P21,-0.035803545480964816
arousal,late_geometric,early,P22,0.015347044853699032
arousal,late_geometric,early,P24,0.01743065824259532
arousal,late_geometric,early,P26,0.026666666666666616
arousal,late_geometric,early,P27,0.028068705488060453
arousal,late_geometric,early,P3,0.0020703933747412417
arousal,late_geometric,early,P30,-0.014956939580055173
arousal,late_geometric,early,P33,0.017429193899782258
arousal,late_geometric,early,P34,-0.02280390417036382
arousal,late_geometric,early,P35,0.009259259259259245
arousal,late_geometric,early,P36,-0.007843137254901933
arousal,late_geometric,early,P4,0.04793028322440085
arousal,late_geometric,early,P40,-0.030700093413113194
arousal,late_geometric,early,P43,0.0013656190126778989
arousal,late_geometric,early,P44,0.03832142356732526
arousal,late_geometric,early,P46,-0.007653061224489832
arousal,late_geometric,early,P48,0.0
arousal,late_geometric,early,P8,-0.03191311612364245
arousal,late_geometric,early,P9,0.015869739708749053
arousal,late_geometric,fixed_logistic,P12,0.06288227901131127
arousal,late_geometric,fixed_logistic,P13,0.03296500920810308
arousal,late_geometric,fixed_logistic,P18,-0.02123142250530785
arousal,late_geometric,fixed_logistic,P19,-0.004061844863731678
arousal,late_geometric,fixed_logistic,P2,0.032710280373831724
arousal,late_geometric,fixed_logistic,P20,-0.020220679703438327
arousal,late_geometric,fixed_logistic,P21,-0.04677903710161774
arousal,late_geometric,fixed_logistic,P22,0.061690639422861515
arousal,late_geometric,fixed_logistic,P24,0.09650714701796836
arousal,late_geometric,fixed_logistic,P26,0.049523809523809414
arousal,late_geometric,fixed_logistic,P27,0.0604105571847508
arousal,late_geometric,fixed_logistic,P3,0.045548654244306486
arousal,late_geometric,fixed_logistic,P30,-0.04366106627413158
arousal,late_geometric,fixed_logistic,P33,0.04061460841646608
arousal,late_geometric,fixed_logistic,P34,-0.03500443655723162
arousal,late_geometric,fixed_logistic,P35,-0.04629629629629628
arousal,late_geometric,fixed_logistic,P36,-0.04129249332869245
arousal,late_geometric,fixed_logistic,P4,-0.061002178649237515
arousal,late_geometric,fixed_logistic,P40,-0.03471433260117651
arousal,late_geometric,fixed_logistic,P43,0.04060848178495241
arousal,late_geometric,fixed_logistic,P44,0.058698132468624264
arousal,late_geometric,fixed_logistic,P46,0.015306122448979553
arousal,late_geometric,fixed_logistic,P48,-0.010152284263959421
arousal,late_geometric,fixed_logistic,P8,-0.054082175134806676
arousal,late_geometric,fixed_logistic,P9,-0.015640408210067624
arousal,late_geometric,previous_pupil_logistic,P12,0.04520318391286143
arousal,late_geometric,previous_pupil_logistic,P13,-0.022518927767546604
arousal,late_geometric,previous_pupil_logistic,P18,-0.00849256900212314
arousal,late_geometric,previous_pupil_logistic,P19,0.029808700209643546
arousal,late_geometric,previous_pupil_logistic,P2,0.021857567195537164
arousal,late_geometric,previous_pupil_logistic,P20,-0.028922227198089234
arousal,late_geometric,previous_pupil_logistic,P21,-0.06658916981497631
arousal,late_geometric,previous_pupil_logistic,P22,0.02729981628355077
arousal,late_geometric,previous_pupil_logistic,P24,0.03996952995474301
arousal,late_geometric,previous_pupil_logistic,P26,0.009523809523809545
arousal,late_geometric,previous_pupil_logistic,P27,0.09509844993715971
arousal,late_geometric,previous_pupil_logistic,P3,0.08695652173913049
arousal,late_geometric,previous_pupil_logistic,P30,-0.025430181209075697
arousal,late_geometric,previous_pupil_logistic,P33,0.023472078890035664
arousal,late_geometric,previous_pupil_logistic,P34,0.06805678793256437
arousal,late_geometric,previous_pupil_logistic,P35,-0.0351851851851851
arousal,late_geometric,previous_pupil_logistic,P36,-0.0726534400742545
arousal,late_geometric,previous_pupil_logistic,P4,-0.05664488017429192
arousal,late_geometric,previous_pupil_logistic,P40,-0.06600772551692796
arousal,late_geometric,previous_pupil_logistic,P43,0.04554101612925143
arousal,late_geometric,previous_pupil_logistic,P44,0.09750995816569585
arousal,late_geometric,previous_pupil_logistic,P46,0.10714285714285715
arousal,late_geometric,previous_pupil_logistic,P48,0.006768189509306244
arousal,late_geometric,previous_pupil_logistic,P8,-0.03971291866028709
arousal,late_geometric,previous_pupil_logistic,P9,0.005653021442495076
arousal,unimodal,early,P12,-0.04112554112554112
arousal,unimodal,early,P13,0.0334663392674443
arousal,unimodal,early,P18,-0.05095541401273884
arousal,unimodal,early,P19,-0.03121069182389946
arousal,unimodal,early,P2,-0.01722089400854887
arousal,unimodal,early,P20,-0.03617455341593273
arousal,unimodal,early,P21,0.05241693306209433
arousal,unimodal,early,P22,-0.08632992785768695
arousal,unimodal,early,P24,-0.08265559887081597
arousal,unimodal,early,P26,-0.051428571428571435
arousal,unimodal,early,P27,-0.017162407484988096
arousal,unimodal,early,P3,-0.06418219461697722
arousal,unimodal,early,P30,-0.04332267397594031
arousal,unimodal,early,P33,0.003680770553835533
arousal,unimodal,early,P34,0.05470275066548358
