task,fold,scope,inner_score,candidate_id,context,estimator,strategy,weights,modality
arousal,3,late_geometric,0.3447599346142988,"8__logistic__late_geometric__0.3333333333333333,0.3333333333333333,0.3333333333333333",8,logistic,late_geometric,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",
arousal,3,late_weighted,0.34599787800012755,"8__logistic__late_weighted__0.25,0.25,0.5",8,logistic,late_weighted,"[0.25, 0.25, 0.5]",
arousal,3,unimodal,0.3579200893728472,"8__logistic__unimodal__0.0,0.0,1.0",8,logistic,unimodal,"[0.0, 0.0, 1.0]",EEG
arousal,3,fixed_logistic,,fixed_logistic,1,logistic_reference,early,,
arousal,4,early,0.34726204154347623,8__lda__early__,8,lda,early,,
arousal,4,late_mean,0.3426127200925464,"8__lda__late_mean__0.3333333333333333,0.3333333333333333,0.3333333333333333",8,lda,late_mean,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",
arousal,4,late_geometric,0.3440854830050261,"8__lda__late_geometric__0.3333333333333333,0.3333333333333333,0.3333333333333333",8,lda,late_geometric,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",
arousal,4,late_weighted,0.3494814068369367,"8__logistic__late_weighted__0.5,0.25,0.25",8,logistic,late_weighted,"[0.5, 0.25, 0.25]",
arousal,4,unimodal,0.3508102264642882,"8__logistic__unimodal__1.0,0.0,0.0",8,logistic,unimodal,"[1.0, 0.0, 0.0]",Pupil
arousal,4,fixed_logistic,,fixed_logistic,1,logistic_reference,early,,
arousal,5,early,0.34832000749394626,8__lda__early__,8,lda,early,,
arousal,5,late_mean,0.3433622627567696,"8__lda__late_mean__0.3333333333333333,0.3333333333333333,0.3333333333333333",8,lda,late_mean,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",
arousal,5,late_geometric,0.34156721020540154,"8__lda__late_geometric__0.3333333333333333,0.3333333333333333,0.3333333333333333",8,lda,late_geometric,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",
arousal,5,late_weighted,0.3455242257808407,"8__lda__late_weighted__0.5,0.25,0.25",8,lda,late_weighted,"[0.5, 0.25, 0.25]",
arousal,5,unimodal,0.3494105958742717,"8__logistic__unimodal__0.0,0.0,1.0",8,logistic,unimodal,"[0.0, 0.0, 1.0]",EEG
arousal,5,fixed_logistic,,fixed_logistic,1,logistic_reference,early,,
