task,fold,inner,candidate_id,score,fit_participants,evaluation_participants,context,estimator,strategy,weights,modality
attention,1,1,"1__extra_trees__unimodal__0.0,1.0",0.3676726200922052,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,1,extra_trees,unimodal,"[0.0, 1.0]",GSR
attention,1,1,8__logistic__early__,0.3476205035489849,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,8,logistic,early,,
attention,1,1,"8__logistic__late_mean__0.5,0.5",0.340346865245333,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,8,logistic,late_mean,"[0.5, 0.5]",
attention,1,1,"8__logistic__late_geometric__0.5,0.5",0.3412379611910957,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,8,logistic,late_geometric,"[0.5, 0.5]",
attention,1,1,"8__logistic__late_weighted__0.25,0.75",0.3279261199109256,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,8,logistic,late_weighted,"[0.25, 0.75]",
attention,1,1,"8__logistic__late_weighted__0.5,0.5",0.340346865245333,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,8,logistic,late_weighted,"[0.5, 0.5]",
attention,1,1,"8__logistic__late_weighted__0.75,0.25",0.3482000518465318,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,8,logistic,late_weighted,"[0.75, 0.25]",
attention,1,1,"8__logistic__unimodal__1.0,0.0",0.3490578151628196,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,8,logistic,unimodal,"[1.0, 0.0]",EEG
attention,1,1,"8__logistic__unimodal__0.0,1.0",0.336428676499141,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,8,logistic,unimodal,"[0.0, 1.0]",GSR
attention,1,1,8__lda__early__,0.3440413796039803,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,8,lda,early,,
attention,1,1,"8__lda__late_mean__0.5,0.5",0.3392975105540899,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,8,lda,late_mean,"[0.5, 0.5]",
attention,1,1,"8__lda__late_geometric__0.5,0.5",0.3401939202349738,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,8,lda,late_geometric,"[0.5, 0.5]",
attention,1,1,"8__lda__late_weighted__0.25,0.75",0.3276211605603187,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,8,lda,late_weighted,"[0.25, 0.75]",
attention,1,1,"8__lda__late_weighted__0.5,0.5",0.3392975105540899,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,8,lda,late_weighted,"[0.5, 0.5]",
attention,1,1,"8__lda__late_weighted__0.75,0.25",0.3460469429305955,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,8,lda,late_weighted,"[0.75, 0.25]",
attention,1,1,"8__lda__unimodal__1.0,0.0",0.3470906373721371,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,8,lda,unimodal,"[1.0, 0.0]",EEG
attention,1,1,"8__lda__unimodal__0.0,1.0",0.3382338059033333,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,8,lda,unimodal,"[0.0, 1.0]",GSR
attention,1,1,8__extra_trees__early__,0.3752290571173601,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,8,extra_trees,early,,
attention,1,1,"8__extra_trees__late_mean__0.5,0.5",0.37292434773267,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,8,extra_trees,late_mean,"[0.5, 0.5]",
attention,1,1,"8__extra_trees__late_geometric__0.5,0.5",0.3734522799862684,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,8,extra_trees,late_geometric,"[0.5, 0.5]",
attention,1,1,"8__extra_trees__late_weighted__0.25,0.75",0.3709647014581333,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,8,extra_trees,late_weighted,"[0.25, 0.75]",
attention,1,1,"8__extra_trees__late_weighted__0.5,0.5",0.37292434773267,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,8,extra_trees,late_weighted,"[0.5, 0.5]",
attention,1,1,"8__extra_trees__late_weighted__0.75,0.25",0.3454549340470627,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,8,extra_trees,late_weighted,"[0.75, 0.25]",
attention,1,1,"8__extra_trees__unimodal__1.0,0.0",0.3457293722660003,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,8,extra_trees,unimodal,"[1.0, 0.0]",EEG
attention,1,1,"8__extra_trees__unimodal__0.0,1.0",0.3656904183587697,P12|P13|P18|P2|P20|P21|P26|P35|P4|P40|P46|P8|P9,P19|P27|P3|P33|P34|P36|P44,8,extra_trees,unimodal,"[0.0, 1.0]",GSR
attention,1,2,1__logistic__early__,0.3351824080746167,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9,1,logistic,early,,
