task,scope,reference,mean_delta,ci_low,ci_high,positive_participants,participants
arousal,late_weighted,early,0.003132722236494481,-0.007061326358350772,0.01363901424527543,12,25
arousal,late_weighted,fixed_logistic,0.00395692419048121,-0.011616266610115477,0.020417263738494472,13,25
arousal,late_weighted,previous_pupil_logistic,0.008932012100465778,-0.00949725796401787,0.027914877495643694,14,25
arousal,late_mean,early,0.005267457106074003,-0.0032155710341294605,0.013962683573811507,15,25
arousal,late_mean,fixed_logistic,0.0060916590600607326,-0.011465817455690403,0.02380969130672532,12,25
arousal,late_mean,previous_pupil_logistic,0.0110667469700453,-0.007895305336911301,0.03203615175353263,15,25
arousal,late_geometric,early,0.0057088806706640585,-0.003239232818378689,0.014755272847480603,16,25
arousal,late_geometric,fixed_logistic,0.006533082624650788,-0.01150868674478958,0.024501937714452113,12,25
arousal,late_geometric,previous_pupil_logistic,0.011508170534635355,-0.008532125468065739,0.033127491826644255,15,25
arousal,unimodal,early,-0.011863834608003667,-0.030394374970760963,0.00724216010609463,9,25
arousal,unimodal,fixed_logistic,-0.011039632654016938,-0.025491649162851557,0.0029100286483350105,11,25
arousal,unimodal,previous_pupil_logistic,-0.006064544744032369,-0.026642241610755586,0.015467100349255185,11,25
arousal,early,fixed_logistic,0.0008242019539867296,-0.015577496662352109,0.016219429954753943,11,25
arousal,early,previous_pupil_logistic,0.005799289863971297,-0.013199557334996052,0.027198519180695057,13,25
attention,late_weighted,early,0.00552220470252432,-0.0041722302443034445,0.015968994340873933,15,25
attention,late_weighted,fixed_logistic,0.010937092089462525,-0.005280740154524524,0.027293045387967067,14,25
attention,late_mean,early,0.0036464406460206566,-0.006281060753512575,0.014435053494917667,13,25
attention,late_mean,fixed_logistic,0.009061328032958862,-0.007782345780555108,0.02454320570278326,14,25
attention,late_geometric,early,0.003618692199040805,-0.005994094676358702,0.013858774841109398,13,25
attention,late_geometric,fixed_logistic,0.00903357958597901,-0.007370974302112987,0.024464517676473292,14,25
attention,unimodal,early,0.0060721301045159656,-0.004068167420378497,0.016867214672095798,15,25
attention,unimodal,fixed_logistic,0.011487017491454173,-0.007456618335258328,0.030964588913496925,14,25
attention,early,fixed_logistic,0.005414887386938206,-0.009439482200511808,0.020085507177366898,17,25
