fold,inner,base_id,family,smoothing,low,high,candidate_id,score
1,1,current_hgb,hgb,16,-0.03,0.03,current_hgb_w16_l-0.03_h0.03,0.3788234472831484
1,1,current_hgb,hgb,16,-0.03,0.1,current_hgb_w16_l-0.03_h0.1,0.3396142141180438
1,1,current_hgb,hgb,16,-0.03,0.3,current_hgb_w16_l-0.03_h0.3,0.3395537160867102
1,1,current_trees,trees,1,-0.3,0.03,current_trees_w1_l-0.3_h0.03,0.316745840958108
1,1,current_trees,trees,1,-0.3,0.1,current_trees_w1_l-0.3_h0.1,0.3034002966595918
1,1,current_trees,trees,1,-0.3,0.3,current_trees_w1_l-0.3_h0.3,0.2873458903162482
1,1,current_trees,trees,1,-0.1,0.03,current_trees_w1_l-0.1_h0.03,0.32874327339890946
1,1,current_trees,trees,1,-0.1,0.1,current_trees_w1_l-0.1_h0.1,0.3153977291003932
1,1,current_trees,trees,1,-0.1,0.3,current_trees_w1_l-0.1_h0.3,0.2993433227570496
1,1,current_trees,trees,1,-0.03,0.03,current_trees_w1_l-0.03_h0.03,0.36028941408336745
1,1,current_trees,trees,1,-0.03,0.1,current_trees_w1_l-0.03_h0.1,0.34694386978485137
1,1,current_trees,trees,1,-0.03,0.3,current_trees_w1_l-0.03_h0.3,0.33088946344150766
1,1,current_trees,trees,16,-0.3,0.03,current_trees_w16_l-0.3_h0.03,0.30659831541069815
1,1,current_trees,trees,16,-0.3,0.1,current_trees_w16_l-0.3_h0.1,0.2952322090479819
1,1,current_trees,trees,16,-0.3,0.3,current_trees_w16_l-0.3_h0.3,0.286709768895984
1,1,current_trees,trees,16,-0.1,0.03,current_trees_w16_l-0.1_h0.03,0.30882857778511036
1,1,current_trees,trees,16,-0.1,0.1,current_trees_w16_l-0.1_h0.1,0.29746247142239407
1,1,current_trees,trees,16,-0.1,0.3,current_trees_w16_l-0.1_h0.3,0.28894003127039614
1,1,current_trees,trees,16,-0.03,0.03,current_trees_w16_l-0.03_h0.03,0.34066326563164184
1,1,current_trees,trees,16,-0.03,0.1,current_trees_w16_l-0.03_h0.1,0.32929715926892555
1,1,current_trees,trees,16,-0.03,0.3,current_trees_w16_l-0.03_h0.3,0.3207747191169276
1,1,multiscale_ridge,ridge,1,-0.3,0.03,multiscale_ridge_w1_l-0.3_h0.03,0.3734723033792935
1,1,multiscale_ridge,ridge,1,-0.3,0.1,multiscale_ridge_w1_l-0.3_h0.1,0.3587938961861665
1,1,multiscale_ridge,ridge,1,-0.3,0.3,multiscale_ridge_w1_l-0.3_h0.3,0.33368636894362363
1,1,multiscale_ridge,ridge,1,-0.1,0.03,multiscale_ridge_w1_l-0.1_h0.03,0.3983278424956378
1,1,multiscale_ridge,ridge,1,-0.1,0.1,multiscale_ridge_w1_l-0.1_h0.1,0.3836494353025109
1,1,multiscale_ridge,ridge,1,-0.1,0.3,multiscale_ridge_w1_l-0.1_h0.3,0.35854190805996794
1,1,multiscale_ridge,ridge,1,-0.03,0.03,multiscale_ridge_w1_l-0.03_h0.03,0.4038721645113104
1,1,multiscale_ridge,ridge,1,-0.03,0.1,multiscale_ridge_w1_l-0.03_h0.1,0.3891937573181834
1,1,multiscale_ridge,ridge,1,-0.03,0.3,multiscale_ridge_w1_l-0.03_h0.3,0.36408623007564056
1,1,multiscale_ridge,ridge,16,-0.3,0.03,multiscale_ridge_w16_l-0.3_h0.03,0.36442007242326224
1,1,multiscale_ridge,ridge,16,-0.3,0.1,multiscale_ridge_w16_l-0.3_h0.1,0.34348309926716136
1,1,multiscale_ridge,ridge,16,-0.3,0.3,multiscale_ridge_w16_l-0.3_h0.3,0.31117149768661995
1,1,multiscale_ridge,ridge,16,-0.1,0.03,multiscale_ridge_w16_l-0.1_h0.03,0.3967979819893899
1,1,multiscale_ridge,ridge,16,-0.1,0.1,multiscale_ridge_w16_l-0.1_h0.1,0.3758610088332891
1,1,multiscale_ridge,ridge,16,-0.1,0.3,multiscale_ridge_w16_l-0.1_h0.3,0.3435494072527476
1,1,multiscale_ridge,ridge,16,-0.03,0.03,multiscale_ridge_w16_l-0.03_h0.03,0.4059702893653904
1,1,multiscale_ridge,ridge,16,-0.03,0.1,multiscale_ridge_w16_l-0.03_h0.1,0.3850333162092896
1,1,multiscale_ridge,ridge,16,-0.03,0.3,multiscale_ridge_w16_l-0.03_h0.3,0.3527217146287481
1,1,multiscale_rbf,rbf,1,-0.3,0.03,multiscale_rbf_w1_l-0.3_h0.03,0.33060182533091603
1,1,multiscale_rbf,rbf,1,-0.3,0.1,multiscale_rbf_w1_l-0.3_h0.1,0.3174901449545823
1,1,multiscale_rbf,rbf,1,-0.3,0.3,multiscale_rbf_w1_l-0.3_h0.3,0.3051249364060112
1,1,multiscale_rbf,rbf,1,-0.1,0.03,multiscale_rbf_w1_l-0.1_h0.03,0.3567648431141883
1,1,multiscale_rbf,rbf,1,-0.1,0.1,multiscale_rbf_w1_l-0.1_h0.1,0.34365316273785457
1,1,multiscale_rbf,rbf,1,-0.1,0.3,multiscale_rbf_w1_l-0.1_h0.3,0.3312879541892835
1,1,multiscale_rbf,rbf,1,-0.03,0.03,multiscale_rbf_w1_l-0.03_h0.03,0.3618742637753814
1,1,multiscale_rbf,rbf,1,-0.03,0.1,multiscale_rbf_w1_l-0.03_h0.1,0.3487625833990476
1,1,multiscale_rbf,rbf,1,-0.03,0.3,multiscale_rbf_w1_l-0.03_h0.3,0.33639737485047655
1,1,multiscale_rbf,rbf,16,-0.3,0.03,multiscale_rbf_w16_l-0.3_h0.03,0.3128917636789995
1,1,multiscale_rbf,rbf,16,-0.3,0.1,multiscale_rbf_w16_l-0.3_h0.1,0.294263771931616
1,1,multiscale_rbf,rbf,16,-0.3,0.3,multiscale_rbf_w16_l-0.3_h0.3,0.2942014352429194
1,1,multiscale_rbf,rbf,16,-0.1,0.03,multiscale_rbf_w16_l-0.1_h0.03,0.3542711560545743
1,1,multiscale_rbf,rbf,16,-0.1,0.1,multiscale_rbf_w16_l-0.1_h0.1,0.3356431643071908
1,1,multiscale_rbf,rbf,16,-0.1,0.3,multiscale_rbf_w16_l-0.1_h0.3,0.3355808276184942
1,1,multiscale_rbf,rbf,16,-0.03,0.03,multiscale_rbf_w16_l-0.03_h0.03,0.34712874880803163
1,1,multiscale_rbf,rbf,16,-0.03,0.1,multiscale_rbf_w16_l-0.03_h0.1,0.3285007570606482
1,1,multiscale_rbf,rbf,16,-0.03,0.3,multiscale_rbf_w16_l-0.03_h0.3,0.32843842037195153
1,1,multiscale_hgb,hgb,1,-0.3,0.03,multiscale_hgb_w1_l-0.3_h0.03,0.32507948022019445
1,1,multiscale_hgb,hgb,1,-0.3,0.1,multiscale_hgb_w1_l-0.3_h0.1,0.32098554209283475
1,1,multiscale_hgb,hgb,1,-0.3,0.3,multiscale_hgb_w1_l-0.3_h0.3,0.30271077129701196
1,1,multiscale_hgb,hgb,1,-0.1,0.03,multiscale_hgb_w1_l-0.1_h0.03,0.34793353789643017
1,1,multiscale_hgb,hgb,1,-0.1,0.1,multiscale_hgb_w1_l-0.1_h0.1,0.3438395997690704
1,1,multiscale_hgb,hgb,1,-0.1,0.3,multiscale_hgb_w1_l-0.1_h0.3,0.3255648289732476
1,1,multiscale_hgb,hgb,1,-0.03,0.03,multiscale_hgb_w1_l-0.03_h0.03,0.3598257736167571
1,1,multiscale_hgb,hgb,1,-0.03,0.1,multiscale_hgb_w1_l-0.03_h0.1,0.35573183548939735
1,1,multiscale_hgb,hgb,1,-0.03,0.3,multiscale_hgb_w1_l-0.03_h0.3,0.33745706469357456
1,1,multiscale_hgb,hgb,16,-0.3,0.03,multiscale_hgb_w16_l-0.3_h0.03,0.32096356870132686
1,1,multiscale_hgb,hgb,16,-0.3,0.1,multiscale_hgb_w16_l-0.3_h0.1,0.3073282561975865
1,1,multiscale_hgb,hgb,16,-0.3,0.3,multiscale_hgb_w16_l-0.3_h0.3,0.28239143978605935
1,1,multiscale_hgb,hgb,16,-0.1,0.03,multiscale_hgb_w16_l-0.1_h0.03,0.34654001505148163
1,1,multiscale_hgb,hgb,16,-0.1,0.1,multiscale_hgb_w16_l-0.1_h0.1,0.3329047025477413
1,1,multiscale_hgb,hgb,16,-0.1,0.3,multiscale_hgb_w16_l-0.1_h0.3,0.3079678861362142
1,1,multiscale_hgb,hgb,16,-0.03,0.03,multiscale_hgb_w16_l-0.03_h0.03,0.3545476944769149
1,1,multiscale_hgb,hgb,16,-0.03,0.1,multiscale_hgb_w16_l-0.03_h0.1,0.3409123819731747
1,1,multiscale_hgb,hgb,16,-0.03,0.3,multiscale_hgb_w16_l-0.03_h0.3,0.3159755655616475
1,1,multiscale_trees,trees,1,-0.3,0.03,multiscale_trees_w1_l-0.3_h0.03,0.3059443133455866
1,1,multiscale_trees,trees,1,-0.3,0.1,multiscale_trees_w1_l-0.3_h0.1,0.2998729433452328
1,1,multiscale_trees,trees,1,-0.3,0.3,multiscale_trees_w1_l-0.3_h0.3,0.288613061387278
1,1,multiscale_trees,trees,1,-0.1,0.03,multiscale_trees_w1_l-0.1_h0.03,0.33425665463657545
1,1,multiscale_trees,trees,1,-0.1,0.1,multiscale_trees_w1_l-0.1_h0.1,0.3281852846362216
1,1,multiscale_trees,trees,1,-0.1,0.3,multiscale_trees_w1_l-0.1_h0.3,0.3169254026782668
1,1,multiscale_trees,trees,1,-0.03,0.03,multiscale_trees_w1_l-0.03_h0.03,0.35660773483623376
