model_id,fold,scope,seed,macro_score,rows,participants,balanced_accuracy,macro_f1
fold1_all,1,all,20260911,0.3670722088922159,2886,5,0.36798336798336795,0.3534727304105996
fold1_hmm,1,hmm,20260911,0.3670722088922159,2886,5,0.36798336798336795,0.3534727304105996
fold1_mean,1,mean,20260911,0.3740437571486186,2886,5,0.3738738738738739,0.3704187283096112
fold1_ema,1,ema,20260911,0.37604607408802576,2886,5,0.37525987525987525,0.3693493286197705
fold2_all,2,all,20260911,0.3286942488067957,2612,5,0.33441509367640343,0.295294095364373
fold2_hmm,2,hmm,20260911,0.3286942488067957,2612,5,0.33441509367640343,0.295294095364373
fold2_mean,2,mean,20260911,0.3414463618668606,2612,5,0.3452880593342473,0.3442985839970755
fold2_ema,2,ema,20260911,0.3535937615559859,2612,5,0.35785616366128864,0.34838875410054165
fold3_all,3,all,20260911,0.3897370568660872,2659,5,0.38101892829298195,0.3689170342306558
fold3_hmm,3,hmm,20260911,0.3897370568660872,2659,5,0.38101892829298195,0.3689170342306558
fold3_mean,3,mean,20260911,0.3812007481167029,2659,5,0.3929538932762435,0.3846009678703315
fold3_ema,3,ema,20260911,0.3571122136682284,2659,5,0.38384593313381005,0.3623448152887087
fold4_all,4,all,20260911,0.3219259112039502,2660,5,0.3222795110037724,0.29668887711226666
fold4_hmm,4,hmm,20260911,0.36650664048735904,2660,5,0.36580300859416554,0.36350029777538456
fold4_mean,4,mean,20260911,0.3624226616314473,2660,5,0.3620501126971564,0.3595557549578973
fold4_ema,4,ema,20260911,0.3219259112039502,2660,5,0.3222795110037724,0.29668887711226666
fold5_all,5,all,20260911,0.3454968782026957,2707,5,0.36105144514640913,0.33812810656615805
fold5_hmm,5,hmm,20260911,0.3969739478829072,2707,5,0.3665439858478201,0.3290585924405655
fold5_mean,5,mean,20260911,0.3720647028735422,2707,5,0.35896177463165646,0.35776901790353666
fold5_ema,5,ema,20260911,0.3454968782026957,2707,5,0.36105144514640913,0.33812810656615805
