scope,reference,mean_delta,ci_low,ci_high,improved,tied
all,geometric_0.3651,-0.014500260027663112,-0.036918710736373095,0.011520236665504986,9,0
hmm,geometric_0.3651,0.00471129976506096,-0.013127718208963272,0.025857953837558328,12,0
mean,geometric_0.3651,0.0011501255054222582,-0.0056924504110312584,0.008756147765558133,9,1
ema,geometric_0.3651,-0.014250553078234869,-0.035598735317811825,0.005835090580317151,10,0
all,mixture_0.3716,-0.021018986487883504,-0.04277408322092555,0.0006173805160430713,8,1
hmm,mixture_0.3716,-0.0018074266951594276,-0.016694727225912483,0.014678657019530706,10,1
mean,mixture_0.3716,-0.00536860095479813,-0.012866296201387573,0.0025805023470210843,9,0
ema,mixture_0.3716,-0.020769279538455258,-0.04633489944077534,0.0028275690080910455,10,0
