fold,scope,seed,participant,score
1,TCN,20260913,P22,0.2605412913922122
1,TCN,20260913,P24,0.39307478603754986
1,TCN,20260913,P30,0.33120146185472815
1,TCN,20260913,P43,0.3920753332518038
1,TCN,20260913,P48,0.35871404399323187
1,TCN,20260914,P22,0.2661872115427701
1,TCN,20260914,P24,0.39695075502979793
1,TCN,20260914,P30,0.3028949461110265
1,TCN,20260914,P43,0.3649735708559238
1,TCN,20260914,P48,0.38578680203045684
1,repeat_current,20260913,P22,0.2431330375946588
1,repeat_current,20260913,P24,0.3853676569431375
1,repeat_current,20260913,P30,0.32785137810263437
1,repeat_current,20260913,P43,0.37549087549087545
1,repeat_current,20260913,P48,0.3637901861252115
1,repeat_current,20260914,P22,0.27768069184926286
1,repeat_current,20260914,P24,0.39888873952592196
1,repeat_current,20260914,P30,0.3028949461110265
1,repeat_current,20260914,P43,0.34838911309499543
1,repeat_current,20260914,P48,0.3824027072758038
2,TCN,20260913,P12,0.2337522692361402
2,TCN,20260913,P19,0.37520964360587
2,TCN,20260913,P2,0.3411142505252482
2,TCN,20260913,P35,0.25555555555555554
2,TCN,20260913,P40,0.3824635815092529
2,TCN,20260914,P12,0.2293674067867616
2,TCN,20260914,P19,0.3772012578616352
2,TCN,20260914,P2,0.3998913279721799
2,TCN,20260914,P35,0.3314814814814815
2,TCN,20260914,P40,0.3537958544775177
2,repeat_current,20260913,P12,0.22943722943722944
2,repeat_current,20260913,P19,0.36682389937106913
2,repeat_current,20260913,P2,0.3348837209302326
2,repeat_current,20260913,P35,0.27037037037037037
2,repeat_current,20260913,P40,0.3640460501401197
2,repeat_current,20260914,P12,0.22936740678676162
2,repeat_current,20260914,P19,0.3772012578616352
2,repeat_current,20260914,P2,0.3905237991740926
2,repeat_current,20260914,P35,0.3148148148148148
2,repeat_current,20260914,P40,0.3599308238026711
3,TCN,20260913,P18,0.30148619957537154
3,TCN,20260913,P27,0.42963273285853926
3,TCN,20260913,P36,0.3495881192713772
3,TCN,20260913,P46,0.44005102040816324
3,TCN,20260913,P8,0.369529885319359
3,TCN,20260914,P18,0.2781316348195329
3,TCN,20260914,P27,0.4577572964669739
3,TCN,20260914,P36,0.33797424295161854
3,TCN,20260914,P46,0.4732142857142857
3,TCN,20260914,P8,0.33624212045264673
3,repeat_current,20260913,P18,0.2823779193205945
3,repeat_current,20260913,P27,0.38868873062421444
3,repeat_current,20260913,P36,0.39298062420234364
3,repeat_current,20260913,P46,0.3852040816326531
3,repeat_current,20260913,P8,0.3408141566036303
3,repeat_current,20260914,P18,0.2908704883227176
3,repeat_current,20260914,P27,0.39500069822650463
3,repeat_current,20260914,P36,0.4065436825617821
3,repeat_current,20260914,P46,0.39668367346938777
3,repeat_current,20260914,P8,0.3138528138528139
4,TCN,20260913,P20,0.3305406279544211
4,TCN,20260913,P3,0.34782608695652173
4,TCN,20260913,P33,0.32182089209952985
4,TCN,20260913,P4,0.3507625272331154
4,TCN,20260913,P9,0.32343767916523336
4,TCN,20260914,P20,0.34510747872816844
4,TCN,20260914,P3,0.3333333333333333
4,TCN,20260914,P33,0.34334365325077393
4,TCN,20260914,P4,0.3355119825708061
4,TCN,20260914,P9,0.3193441119137714
4,repeat_current,20260913,P20,0.3276421854008061
4,repeat_current,20260913,P3,0.35196687370600405
4,repeat_current,20260913,P33,0.3023277147116156
4,repeat_current,20260913,P4,0.35294117647058826
4,repeat_current,20260913,P9,0.32539846347895884
4,repeat_current,20260914,P20,0.33786759217793705
4,repeat_current,20260914,P3,0.3540372670807453
4,repeat_current,20260914,P33,0.33358559798188275
4,repeat_current,20260914,P4,0.298474945533769
4,repeat_current,20260914,P9,0.3213507625272331
5,TCN,20260913,P13,0.31123388581952116
5,TCN,20260913,P21,0.3694565533275211
5,TCN,20260913,P26,0.37714285714285717
5,TCN,20260913,P34,0.45425909494232475
5,TCN,20260913,P44,0.32783882783882784
5,TCN,20260914,P13,0.31334151831389395
5,TCN,20260914,P21,0.3786786786786787
5,TCN,20260914,P26,0.38095238095238093
5,TCN,20260914,P34,0.49702750665483586
5,TCN,20260914,P44,0.37831021437578816
5,repeat_current,20260913,P13,0.311244117045222
5,repeat_current,20260913,P21,0.3640220866027318
5,repeat_current,20260913,P26,0.3638095238095238
5,repeat_current,20260913,P34,0.478039041703638
5,repeat_current,20260913,P44,0.32967032967032966
5,repeat_current,20260914,P13,0.3078371188868427
5,repeat_current,20260914,P21,0.3607381575123511
5,repeat_current,20260914,P26,0.3790476190476191
5,repeat_current,20260914,P34,0.4885093167701864
5,repeat_current,20260914,P44,0.36359815048339633
