candidate_id,base_id,family,context,smoothing,mean,std,min,max
b09_ctx1_smooth4,b09_ctx1,hgb,1,4,0.3511476559229349,0.012809510020344902,0.3325785416154956,0.3757511362632183
b09_ctx1_smooth1,b09_ctx1,hgb,1,1,0.3483331475410017,0.012958348064445655,0.3253656297028179,0.376325021128527
b11_ctx1_smooth4,b11_ctx1,hgb,1,4,0.34761824013612636,0.009795948622232976,0.3342938782513556,0.3627207307057347
b07_ctx1_smooth4,b07_ctx1,hgb,1,4,0.34682458488400364,0.017842664646539184,0.3248885446073313,0.3884303249855835
b10_ctx8_smooth1,b10_ctx8,hgb,8,1,0.3464062184170057,0.016642776809431863,0.3236420311015598,0.3751914198658864
b11_ctx1_smooth1,b11_ctx1,hgb,1,1,0.34620458074081956,0.009813813761460835,0.3345721524136213,0.3694929085222739
b10_ctx8_smooth4,b10_ctx8,hgb,8,4,0.3456798571917448,0.018853657210931334,0.3208622341598316,0.3773753816078225
b10_ctx1_smooth4,b10_ctx1,hgb,1,4,0.3454659413255666,0.019275015939739897,0.3137246741553864,0.3793846990518306
b08_ctx1_smooth4,b08_ctx1,hgb,1,4,0.34532852510931034,0.019735721165838233,0.3174950845704075,0.3817679406798234
b12_ctx1_smooth4,b12_ctx1,qda,1,4,0.3451519515485692,0.019603859367260192,0.322973233933238,0.3799945450809659
b19_ctx1_smooth4,b19_ctx1,fusion_lda,1,4,0.3451369614393912,0.012015669347434784,0.3161962080854967,0.3622966952509011
b17_ctx1_smooth4,b17_ctx1,fusion_logistic,1,4,0.34494631069026727,0.011933551616159813,0.3189441138290459,0.3668203287799049
b13_ctx1_smooth4,b13_ctx1,qda,1,4,0.34466647792038524,0.01945837728707831,0.3157010447553596,0.377852741446067
b16_ctx1_smooth4,b16_ctx1,fusion_logistic,1,4,0.3446539521558126,0.011855033120297264,0.3155596377804734,0.3602536642886752
b18_ctx1_smooth4,b18_ctx1,fusion_logistic,1,4,0.34450999079896094,0.011440102166077808,0.3198964097404048,0.3651437396022646
b15_ctx8_smooth1,b15_ctx8,fusion_logistic,8,1,0.34446683860525584,0.016240277417661233,0.3060227119909036,0.3754932687457324
b03_ctx8_smooth1,b03_ctx8,svm_rbf,8,1,0.34442865499042963,0.01631467800998817,0.3222628506001829,0.3758706574946892
b16_ctx8_smooth1,b16_ctx8,fusion_logistic,8,1,0.34435885892013346,0.015618089970065429,0.3193794419501239,0.3753894336291695
b10_ctx1_smooth1,b10_ctx1,hgb,1,1,0.34432962965507674,0.016113256596163982,0.3220965360709824,0.3777304110624612
b19_ctx8_smooth1,b19_ctx8,fusion_lda,8,1,0.3441425089715177,0.015961762663528528,0.316338860703867,0.3752452926426329
b15_ctx1_smooth4,b15_ctx1,fusion_logistic,1,4,0.34410076071598433,0.011792580786119911,0.3216036138622619,0.3584559344353115
b08_ctx1_smooth1,b08_ctx1,hgb,1,1,0.34401399889010664,0.01977139730728173,0.3180715414354343,0.3873094144582253
b17_ctx1_smooth1,b17_ctx1,fusion_logistic,1,1,0.3436908596439528,0.010843629824791052,0.3265157072112088,0.3652982021396703
b09_ctx8_smooth1,b09_ctx8,hgb,8,1,0.343527462326189,0.014925529451891597,0.3168731390951078,0.362005916240373
b09_ctx8_smooth4,b09_ctx8,hgb,8,4,0.34344813597026186,0.018545676701686296,0.303845183074456,0.366723350910732
