scope,seed,label,true_rows,predicted_fraction,global_recall,participant_recall
all,20260911,bajo,5015,0.34102336586808635,0.36071784646061816,0.3652477538171353
all,20260911,medio,4134,0.3303756285122745,0.3413159167876149,0.3400966013762252
all,20260911,alto,4375,0.3286010056196392,0.3574857142857143,0.3597285539407596
all,20260912,bajo,5015,0.34102336586808635,0.36071784646061816,0.3652477538171353
all,20260912,medio,4134,0.3303756285122745,0.3413159167876149,0.3400966013762252
all,20260912,alto,4375,0.3286010056196392,0.3574857142857143,0.3597285539407596
fusion,20260911,bajo,5015,0.36017450458444245,0.3900299102691924,0.38165332458996554
fusion,20260911,medio,4134,0.3604702750665484,0.38655055636187713,0.38166832270297485
fusion,20260911,alto,4375,0.27935522034900917,0.2923428571428571,0.30541051234779204
fusion,20260912,bajo,5015,0.36017450458444245,0.3900299102691924,0.38165332458996554
fusion,20260912,medio,4134,0.3604702750665484,0.38655055636187713,0.38166832270297485
fusion,20260912,alto,4375,0.27935522034900917,0.2923428571428571,0.30541051234779204
fusion_lda,20260911,bajo,5015,0.3419846199349305,0.3722831505483549,0.3649205040814121
fusion_lda,20260911,medio,4134,0.367938479739722,0.39332365747460085,0.3871794802425703
fusion_lda,20260911,alto,4375,0.29007690032534755,0.3056,0.3221152550455531
fusion_lda,20260912,bajo,5015,0.3419846199349305,0.3722831505483549,0.3649205040814121
fusion_lda,20260912,medio,4134,0.367938479739722,0.39332365747460085,0.3871794802425703
fusion_lda,20260912,alto,4375,0.29007690032534755,0.3056,0.3221152550455531
fusion_logistic,20260911,bajo,5015,0.3642413487133984,0.4017946161515454,0.3933108194055063
fusion_logistic,20260911,medio,4134,0.3532978408754806,0.3834059022738268,0.3803942564015465
fusion_logistic,20260911,alto,4375,0.282460810411121,0.2930285714285714,0.30551402476462125
fusion_logistic,20260912,bajo,5015,0.3642413487133984,0.4017946161515454,0.3933108194055063
fusion_logistic,20260912,medio,4134,0.3532978408754806,0.3834059022738268,0.3803942564015465
fusion_logistic,20260912,alto,4375,0.282460810411121,0.2930285714285714,0.30551402476462125
hgb,20260911,bajo,5015,0.35189293108547764,0.3666999002991027,0.3771557715822337
hgb,20260911,medio,4134,0.3059006211180124,0.30237058538945333,0.3038353175716821
hgb,20260911,alto,4375,0.3422064477965099,0.376,0.3702044031660848
hgb,20260912,bajo,5015,0.35189293108547764,0.3666999002991027,0.3771557715822337
hgb,20260912,medio,4134,0.3059006211180124,0.30237058538945333,0.3038353175716821
hgb,20260912,alto,4375,0.3422064477965099,0.376,0.3702044031660848
qda,20260911,bajo,5015,0.20814847678201714,0.226321036889332,0.21224350180862928
qda,20260911,medio,4134,0.009390712806861875,0.009675858732462506,0.00964637204476779
qda,20260911,alto,4375,0.7824608104111209,0.7924571428571429,0.7944919465077082
qda,20260912,bajo,5015,0.20814847678201714,0.226321036889332,0.21224350180862928
qda,20260912,medio,4134,0.009390712806861875,0.009675858732462506,0.00964637204476779
qda,20260912,alto,4375,0.7824608104111209,0.7924571428571429,0.7944919465077082
svm_rbf,20260911,bajo,5015,0.3578083407275954,0.3826520438683948,0.37901246936400296
svm_rbf,20260911,medio,4134,0.3683821354628808,0.38655055636187713,0.3827767209428864
svm_rbf,20260911,alto,4375,0.27380952380952384,0.28274285714285713,0.2880392509311172
svm_rbf,20260912,bajo,5015,0.3578083407275954,0.3826520438683948,0.37901246936400296
svm_rbf,20260912,medio,4134,0.3683821354628808,0.38655055636187713,0.3827767209428864
svm_rbf,20260912,alto,4375,0.27380952380952384,0.28274285714285713,0.2880392509311172
