scope,reference,participant,delta
hgb,previous_late_geometric,P19,-0.045833333333333226
hgb,previous_late_geometric,P2,-0.04951097587480979
hgb,previous_late_geometric,P20,-0.015916554709658137
hgb,previous_late_geometric,P21,-0.01981981981981984
hgb,previous_late_geometric,P22,-0.023457453958865393
hgb,previous_late_geometric,P24,-0.1348075458170901
hgb,previous_late_geometric,P26,-0.030476190476190324
hgb,previous_late_geometric,P27,-0.1293953358469488
hgb,previous_late_geometric,P3,-0.010351966873706042
hgb,previous_late_geometric,P30,0.015320711300610801
hgb,previous_late_geometric,P33,0.05429423231280811
hgb,previous_late_geometric,P34,-0.1322537710736469
hgb,previous_late_geometric,P35,-0.007407407407407418
hgb,previous_late_geometric,P36,0.03708086785009862
hgb,previous_late_geometric,P4,0.010893246187363814
hgb,previous_late_geometric,P40,0.07986821177005227
hgb,previous_late_geometric,P43,-0.037625861155272944
hgb,previous_late_geometric,P44,-0.054864989291218746
hgb,previous_late_geometric,P46,0.0063775510204082675
hgb,previous_late_geometric,P48,0.04568527918781723
hgb,previous_late_geometric,P8,0.03845978582820686
hgb,previous_late_geometric,P9,0.027875243664717386
hgb,previous_fixed_logistic,P12,0.05451752548526739
hgb,previous_fixed_logistic,P13,0.008665848168610712
hgb,previous_fixed_logistic,P18,0.03397027600849262
hgb,previous_fixed_logistic,P19,-0.04989517819706496
hgb,previous_fixed_logistic,P2,-0.016800695500978013
hgb,previous_fixed_logistic,P20,-0.03613723441309652
hgb,previous_fixed_logistic,P21,-0.06659885692143758
hgb,previous_fixed_logistic,P22,0.03823318546399612
hgb,previous_fixed_logistic,P24,-0.038300398799121727
hgb,previous_fixed_logistic,P26,0.01904761904761909
hgb,previous_fixed_logistic,P27,-0.06898477866219799
hgb,previous_fixed_logistic,P3,0.035196687370600444
hgb,previous_fixed_logistic,P30,-0.028340354973520776
hgb,previous_fixed_logistic,P33,0.09490884072927414
hgb,previous_fixed_logistic,P34,-0.1672582076308785
hgb,previous_fixed_logistic,P35,-0.05370370370370364
hgb,previous_fixed_logistic,P36,-0.004211625478593772
hgb,previous_fixed_logistic,P4,-0.0501089324618737
hgb,previous_fixed_logistic,P40,0.045153879168875755
hgb,previous_fixed_logistic,P43,0.0029826206296794666
hgb,previous_fixed_logistic,P44,0.0038331431774054625
hgb,previous_fixed_logistic,P46,0.021683673469387765
hgb,previous_fixed_logistic,P48,0.035532994923857864
hgb,previous_fixed_logistic,P8,-0.015622389306599815
hgb,previous_fixed_logistic,P9,0.012234835454649706
qda,previous_late_geometric,P12,-0.07479402318111988
qda,previous_late_geometric,P13,-0.046572539390218826
qda,previous_late_geometric,P18,0.0573248407643312
qda,previous_late_geometric,P19,-0.07070230607966449
qda,previous_late_geometric,P2,-0.0692313265232195
qda,previous_late_geometric,P20,-0.020705826740309463
qda,previous_late_geometric,P21,0.0173786689915722
qda,previous_late_geometric,P22,-0.0066653223999641464
qda,previous_late_geometric,P24,-0.033304207554778864
qda,previous_late_geometric,P26,-0.02857142857142847
qda,previous_late_geometric,P27,-0.16964111157659556
qda,previous_late_geometric,P3,-0.07246376811594202
qda,previous_late_geometric,P30,0.007410791330389355
qda,previous_late_geometric,P33,-0.014413484692122502
qda,previous_late_geometric,P34,0.2789263531499556
qda,previous_late_geometric,P35,0.011111111111111127
qda,previous_late_geometric,P36,-0.044088641373709214
qda,previous_late_geometric,P4,0.02614379084967322
qda,previous_late_geometric,P40,0.0344618647277134
qda,previous_late_geometric,P43,-0.07808487220251925
qda,previous_late_geometric,P44,-0.04724874397005535
qda,previous_late_geometric,P46,0.13392857142857145
qda,previous_late_geometric,P48,-0.01692047377326561
qda,previous_late_geometric,P8,0.034100402521455186
qda,previous_late_geometric,P9,-0.07511753239307412
qda,previous_fixed_logistic,P12,-0.011911744169808614
qda,previous_fixed_logistic,P13,-0.01360753018211569
qda,previous_fixed_logistic,P18,0.0360934182590234
qda,previous_fixed_logistic,P19,-0.07476415094339622
qda,previous_fixed_logistic,P2,-0.036521046149387726
qda,previous_fixed_logistic,P20,-0.040926506443747845
qda,previous_fixed_logistic,P21,-0.02940036811004554
qda,previous_fixed_logistic,P22,0.05502531702289737
qda,previous_fixed_logistic,P24,0.0632029394631895
qda,previous_fixed_logistic,P26,0.020952380952380945
qda,previous_fixed_logistic,P27,-0.10923055439184476
qda,previous_fixed_logistic,P3,-0.026915113871635532
qda,previous_fixed_logistic,P30,-0.03625027494374222
qda,previous_fixed_logistic,P33,0.026201123724343522
qda,previous_fixed_logistic,P34,0.243921916592724
qda,previous_fixed_logistic,P35,-0.0351851851851851
qda,previous_fixed_logistic,P36,-0.0853811347024016
qda,previous_fixed_logistic,P4,-0.034858387799564294
qda,previous_fixed_logistic,P40,-0.0002524678734631136
qda,previous_fixed_logistic,P43,-0.03747639041756684
qda,previous_fixed_logistic,P44,0.011449388498568858
qda,previous_fixed_logistic,P46,0.14923469387755095
qda,previous_fixed_logistic,P48,-0.027072758037224975
qda,previous_fixed_logistic,P8,-0.01998177261335149
qda,previous_fixed_logistic,P9,-0.0907579406031418
fusion_logistic,previous_late_geometric,P12,0.021533305404273173
fusion_logistic,previous_late_geometric,P13,-0.018242275424595833
fusion_logistic,previous_late_geometric,P18,-0.014861995753715496
fusion_logistic,previous_late_geometric,P19,0.03557389937106925
fusion_logistic,previous_late_geometric,P2,0.00459320437586036
fusion_logistic,previous_late_geometric,P20,-0.005678708264915122
fusion_logistic,previous_late_geometric,P21,0.021631308728082888
fusion_logistic,previous_late_geometric,P22,-0.07722812205941654
fusion_logistic,previous_late_geometric,P24,-0.09461397141192818
fusion_logistic,previous_late_geometric,P26,-0.02666666666666656
fusion_logistic,previous_late_geometric,P27,-0.004077642787320257
fusion_logistic,previous_late_geometric,P3,0.010351966873705931
fusion_logistic,previous_late_geometric,P30,0.042011403820449045
fusion_logistic,previous_late_geometric,P33,-0.007717004930627269
fusion_logistic,previous_late_geometric,P34,0.059804791481810116
fusion_logistic,previous_late_geometric,P35,-0.025925925925925963
fusion_logistic,previous_late_geometric,P36,0.00017403411068572794
fusion_logistic,previous_late_geometric,P4,0.004357298474945537
fusion_logistic,previous_late_geometric,P40,-0.0041278497311217355
fusion_logistic,previous_late_geometric,P43,-0.03310776840188612
fusion_logistic,previous_late_geometric,P44,-0.05504513701235009
fusion_logistic,previous_late_geometric,P46,-0.014030612244897878
fusion_logistic,previous_late_geometric,P48,0.010152284263959366
fusion_logistic,previous_late_geometric,P8,0.05566188197767152
fusion_logistic,previous_late_geometric,P9,0.0018575851393189957
fusion_logistic,previous_fixed_logistic,P12,0.08441558441558444
fusion_logistic,previous_fixed_logistic,P13,0.014722733783507302
fusion_logistic,previous_fixed_logistic,P18,-0.03609341825902329
fusion_logistic,previous_fixed_logistic,P19,0.03151205450733752
fusion_logistic,previous_fixed_logistic,P2,0.03730348474969214
fusion_logistic,previous_fixed_logistic,P20,-0.025899387968353504
fusion_logistic,previous_fixed_logistic,P21,-0.02514772837353485
fusion_logistic,previous_fixed_logistic,P22,-0.015537482636555022
fusion_logistic,previous_fixed_logistic,P24,0.0018931756060401872
fusion_logistic,previous_fixed_logistic,P26,0.022857142857142854
fusion_logistic,previous_fixed_logistic,P27,0.056332914397430545
fusion_logistic,previous_fixed_logistic,P3,0.05590062111801242
fusion_logistic,previous_fixed_logistic,P30,-0.0016496624536825322
fusion_logistic,previous_fixed_logistic,P33,0.032897603485838756
fusion_logistic,previous_fixed_logistic,P34,0.024800354924578494
fusion_logistic,previous_fixed_logistic,P35,-0.07222222222222219
fusion_logistic,previous_fixed_logistic,P36,-0.041118459218006664
fusion_logistic,previous_fixed_logistic,P4,-0.05664488017429198
fusion_logistic,previous_fixed_logistic,P40,-0.03884218233229825
fusion_logistic,previous_fixed_logistic,P43,0.007500713383066293
fusion_logistic,previous_fixed_logistic,P44,0.003652995456274122
fusion_logistic,previous_fixed_logistic,P46,0.0012755102040816202
fusion_logistic,previous_fixed_logistic,P48,0.0
fusion_logistic,previous_fixed_logistic,P8,0.0015797068428648475
fusion_logistic,previous_fixed_logistic,P9,-0.013782823070748684
fusion_lda,previous_late_geometric,P12,0.002136573104315087
fusion_lda,previous_late_geometric,P13,-0.012707182320441934
fusion_lda,previous_late_geometric,P18,-0.02547770700636942
fusion_lda,previous_late_geometric,P19,0.006263102725367009
fusion_lda,previous_late_geometric,P2,0.02473375353184093
fusion_lda,previous_late_geometric,P20,-0.01413768224113049
fusion_lda,previous_late_geometric,P21,0.021708805579773338
fusion_lda,previous_late_geometric,P22,-0.06562261952771425
fusion_lda,previous_late_geometric,P24,-0.08885602903616074
fusion_lda,previous_late_geometric,P26,-0.015238095238095106
fusion_lda,previous_late_geometric,P27,-0.004049713727133142
fusion_lda,previous_late_geometric,P3,-0.012422360248447284
fusion_lda,previous_late_geometric,P30,0.05374515676023217
fusion_lda,previous_late_geometric,P33,-0.056266483201467765
fusion_lda,previous_late_geometric,P34,0.06960958296362019
fusion_lda,previous_late_geometric,P35,-0.03888888888888889
fusion_lda,previous_late_geometric,P36,0.008051978187724795
fusion_lda,previous_late_geometric,P4,0.008714596949891129
fusion_lda,previous_late_geometric,P40,-0.0020071195940317144
fusion_lda,previous_late_geometric,P43,-0.022610846140257934
fusion_lda,previous_late_geometric,P44,-0.03848155487499749
fusion_lda,previous_late_geometric,P46,0.01913265306122458
fusion_lda,previous_late_geometric,P48,0.011844331641285955
fusion_lda,previous_late_geometric,P8,0.0428951165793271
fusion_lda,previous_late_geometric,P9,-0.017589725948859047
fusion_lda,previous_fixed_logistic,P12,0.06501885211562636
fusion_lda,previous_fixed_logistic,P13,0.0202578268876612
fusion_lda,previous_fixed_logistic,P18,-0.046709129511677216
fusion_lda,previous_fixed_logistic,P19,0.002201257861635275
fusion_lda,previous_fixed_logistic,P2,0.05744403390567271
fusion_lda,previous_fixed_logistic,P20,-0.03435836194456887
