task,kind,subset,architecture,seed,split,reference_scope,baseline,baseline_subset,participant,gain
attention_primary,classification,full,LSTM,20260907,validation,matched,logistic,full,P23,-0.05555555555555558
attention_primary,classification,full,LSTM,20260907,validation,matched,logistic,full,P28,-0.0042324203398029225
attention_primary,classification,full,LSTM,20260907,validation,matched,logistic,full,P31,0.05470085470085467
attention_primary,classification,full,LSTM,20260907,validation,matched,logistic,full,P32,0.025594616544842796
attention_primary,classification,full,LSTM,20260907,validation,matched,logistic,full,P38,-0.026460254721124232
attention_primary,classification,full,LSTM,20260907,validation,matched,logistic,full,P41,0.009939792008757553
attention_primary,classification,full,LSTM,20260907,validation,matched,logistic,full,P47,0.0
attention_primary,classification,full,LSTM,20260907,validation,matched,logistic,full,P6,0.03413962635201573
attention_primary,classification,full,LSTM,20260907,validation,full,logistic,full,P23,-0.05555555555555558
attention_primary,classification,full,LSTM,20260907,validation,full,logistic,full,P28,-0.0042324203398029225
attention_primary,classification,full,LSTM,20260907,validation,full,logistic,full,P31,0.05470085470085467
attention_primary,classification,full,LSTM,20260907,validation,full,logistic,full,P32,0.025594616544842796
attention_primary,classification,full,LSTM,20260907,validation,full,logistic,full,P38,-0.026460254721124232
attention_primary,classification,full,LSTM,20260907,validation,full,logistic,full,P41,0.009939792008757553
attention_primary,classification,full,LSTM,20260907,validation,full,logistic,full,P47,0.0
attention_primary,classification,full,LSTM,20260907,validation,full,logistic,full,P6,0.03413962635201573
attention_primary,classification,full,LSTM,20260907,test,matched,logistic,full,P10,0.005759565206935546
attention_primary,classification,full,LSTM,20260907,test,matched,logistic,full,P11,0.012422360248447117
attention_primary,classification,full,LSTM,20260907,test,matched,logistic,full,P15,-0.001509066569307549
attention_primary,classification,full,LSTM,20260907,test,matched,logistic,full,P16,-0.026584867075664653
attention_primary,classification,full,LSTM,20260907,test,matched,logistic,full,P37,0.014260249554367277
attention_primary,classification,full,LSTM,20260907,test,matched,logistic,full,P39,0.004166666666666652
attention_primary,classification,full,LSTM,20260907,test,matched,logistic,full,P45,0.01995636421865926
attention_primary,classification,full,LSTM,20260907,test,matched,logistic,full,P5,0.08119658119658113
attention_primary,classification,full,LSTM,20260907,test,full,logistic,full,P10,0.005759565206935546
attention_primary,classification,full,LSTM,20260907,test,full,logistic,full,P11,0.012422360248447117
attention_primary,classification,full,LSTM,20260907,test,full,logistic,full,P15,-0.001509066569307549
attention_primary,classification,full,LSTM,20260907,test,full,logistic,full,P16,-0.026584867075664653
attention_primary,classification,full,LSTM,20260907,test,full,logistic,full,P37,0.014260249554367277
attention_primary,classification,full,LSTM,20260907,test,full,logistic,full,P39,0.004166666666666652
attention_primary,classification,full,LSTM,20260907,test,full,logistic,full,P45,0.01995636421865926
attention_primary,classification,full,LSTM,20260907,test,full,logistic,full,P5,0.08119658119658113
attention_primary,classification,full,LSTM,20260908,validation,matched,logistic,full,P23,-0.09178743961352653
attention_primary,classification,full,LSTM,20260908,validation,matched,logistic,full,P28,0.02929439506620707
attention_primary,classification,full,LSTM,20260908,validation,matched,logistic,full,P31,0.04786324786324786
attention_primary,classification,full,LSTM,20260908,validation,matched,logistic,full,P32,0.03751015198979002
attention_primary,classification,full,LSTM,20260908,validation,matched,logistic,full,P38,-0.02656482004308086
attention_primary,classification,full,LSTM,20260908,validation,matched,logistic,full,P41,0.024805692391899226
attention_primary,classification,full,LSTM,20260908,validation,matched,logistic,full,P47,-0.014608233731739695
attention_primary,classification,full,LSTM,20260908,validation,matched,logistic,full,P6,0.011871517535234355
attention_primary,classification,full,LSTM,20260908,validation,full,logistic,full,P23,-0.09178743961352653
attention_primary,classification,full,LSTM,20260908,validation,full,logistic,full,P28,0.02929439506620707
attention_primary,classification,full,LSTM,20260908,validation,full,logistic,full,P31,0.04786324786324786
attention_primary,classification,full,LSTM,20260908,validation,full,logistic,full,P32,0.03751015198979002
