task,kind,subset,model,split,scope,macro_score,rows,participants,balanced_accuracy,macro_f1,r2,mae,mse
attention_primary,regression,EEG,random_forest,test,all,-1.0403447454167227,4025,8,,,-0.04075419846306216,0.7532080197168691,1.040754199688246
attention_primary,regression,EEG,random_forest,test,history_8,-1.002985697808008,1375,8,,,-0.035020305400497165,0.7442357987647553,1.0041866046748036
attention_primary,regression,compact_no_noise,random_forest,validation,all,-1.0894905186483685,4662,8,,,-0.08898129171692992,0.7726928461281449,1.0889812921208184
attention_primary,regression,compact_no_noise,random_forest,validation,history_8,-1.028037964805811,1591,8,,,-0.07123612575435989,0.7500309677026911,1.002485427192944
attention_primary,regression,compact_no_noise,random_forest,test,all,-1.0622369096718716,4025,8,,,-0.06226209492005541,0.7630810975535574,1.0622620961705584
attention_primary,regression,compact_no_noise,random_forest,test,history_8,-1.0508738648483926,1375,8,,,-0.08367253299209687,0.7677629571521593,1.05138946144984
arousal_primary_6s,classification,full,dummy_prior,validation,all,0.3333333333333333,4662,8,0.3333333333333333,0.16658621614373828,,,
arousal_primary_6s,classification,full,dummy_prior,validation,history_8,0.3333333333333333,1591,8,0.3333333333333333,0.1665880873801666,,,
arousal_primary_6s,classification,full,dummy_prior,test,all,0.35416666666666663,4025,8,0.3333333333333333,0.19779835750480515,,,
arousal_primary_6s,classification,full,dummy_prior,test,history_8,0.35416666666666663,1375,8,0.3333333333333333,0.20463709677419353,,,
arousal_primary_6s,classification,full,logistic,validation,all,0.36611548488860296,4662,8,0.362571241721164,0.35566964506884086,,,
arousal_primary_6s,classification,full,logistic,validation,history_8,0.3453414456187467,1591,8,0.33802506100774393,0.335677109636328,,,
arousal_primary_6s,classification,full,logistic,test,all,0.33161621432627886,4025,8,0.31690174969214363,0.30984517651699134,,,
arousal_primary_6s,classification,full,logistic,test,history_8,0.2974274358877406,1375,8,0.2830566934885225,0.27356823419527343,,,
arousal_primary_6s,classification,Pupil,logistic,validation,all,0.3691421378489448,4662,8,0.3712754642253899,0.3609169277767203,,,
arousal_primary_6s,classification,Pupil,logistic,validation,history_8,0.37501292452631885,1591,8,0.3807485630592376,0.35962328791380044,,,
arousal_primary_6s,classification,Pupil,logistic,test,all,0.33250489189918175,4025,8,0.332652931850846,0.32392179504710433,,,
arousal_primary_6s,classification,Pupil,logistic,test,history_8,0.3259043966280273,1375,8,0.33593502015179827,0.32705256596017723,,,
arousal_primary_6s,classification,Eye_Pupil,logistic,validation,all,0.36865617333597844,4662,8,0.37528845396318183,0.36688567873213224,,,
arousal_primary_6s,classification,Eye_Pupil,logistic,validation,history_8,0.36857578123166945,1591,8,0.37553003729276674,0.3698258360662889,,,
arousal_primary_6s,classification,Eye_Pupil,logistic,test,all,0.3476270130622383,4025,8,0.3333702141624893,0.32910950858881444,,,
arousal_primary_6s,classification,Eye_Pupil,logistic,test,history_8,0.3311976930435614,1375,8,0.33346127055696256,0.32847643577830793,,,
arousal_primary_6s,classification,Pupil_no_quality,logistic,validation,all,0.37261477005841914,4662,8,0.37756875533464,0.36289884903860736,,,
arousal_primary_6s,classification,Pupil_no_quality,logistic,validation,history_8,0.3835192650182927,1591,8,0.3927553122332135,0.3784662704424467,,,
arousal_primary_6s,classification,Pupil_no_quality,logistic,test,all,0.34417383492817644,4025,8,0.3307009784008444,0.32047475817460086,,,
arousal_primary_6s,classification,Pupil_no_quality,logistic,test,history_8,0.33440020780415924,1375,8,0.3263665364766848,0.31645633600730455,,,
arousal_primary_6s,classification,Eye_Pupil_no_quality,logistic,validation,all,0.36831509371607607,4662,8,0.3787777540550923,0.3716253520764612,,,
arousal_primary_6s,classification,Eye_Pupil_no_quality,logistic,validation,history_8,0.3791463614003506,1591,8,0.3868163748029347,0.3848915664932342,,,
