task,split,rows,mean_history,singleton_fraction,full_history_fraction
attention_primary,validation,4662,4.995924495924496,0.15851565851565852,0.3412698412698413
attention_primary,test,4025,4.928447204968944,0.17093167701863354,0.3416149068322981
arousal_primary_6s,validation,4662,4.995924495924496,0.15851565851565852,0.3412698412698413
arousal_primary_6s,test,4025,4.928447204968944,0.17093167701863354,0.3416149068322981
