task,split,rows,mean_history,singleton_fraction,full_history_fraction
attention_primary,train,13524,4.894705708370305,0.1691067731440402,0.3310411120970127
attention_primary,validation,4662,4.995924495924496,0.15851565851565852,0.3412698412698413
arousal_primary_6s,train,13524,4.894705708370305,0.1691067731440402,0.3310411120970127
arousal_primary_6s,validation,4662,4.995924495924496,0.15851565851565852,0.3412698412698413
