task,kind,subset,architecture,seed,split,feature,baseline,temporal_importance,temporal_low,temporal_high,baseline_importance,differential_importance,differential_low,differential_high,positive_participants,participants,gain_before,gain_after,repeats
arousal_primary_6s,classification,full,LSTM,20260907,validation,fixation_mean_ms,logistic,0.0017259130185120692,-0.002973252425682481,0.006963659270211731,0.001217869892246433,0.0005080431262656363,-0.006891653833324938,0.0085868451467957,4,8,-0.0008478034410254673,-0.001355846567291103,5
arousal_primary_6s,classification,full,LSTM,20260907,validation,fixation_median_ms,logistic,0.003821429795010191,0.0014972468211753504,0.00653608805544307,0.0007303163583896586,0.0030911134366205318,-0.00035999502881478573,0.006298320826846714,7,8,-0.0008478034410254673,-0.003938916877645999,5
arousal_primary_6s,classification,full,LSTM,20260907,validation,saccade_count,logistic,0.005375845470095472,0.0020092673671921342,0.008615651664033615,0.0029584374980283616,0.0024174079720671107,-0.007813672133490188,0.012010348585918332,5,8,-0.0008478034410254673,-0.003265211413092579,5
arousal_primary_6s,classification,full,LSTM,20260907,validation,saccade_mean_ms,logistic,0.0008709480888951945,-0.002226338937629555,0.0036176211906059057,0.0026779282540403907,-0.001806980165145196,-0.006987230184969933,0.0030612553642038057,3,8,-0.0008478034410254673,0.0009591767241197285,5
arousal_primary_6s,classification,full,LSTM,20260907,validation,pupil_both_valid_fraction,logistic,0.001711556651773545,-0.0034008618446669425,0.0072266523186778914,0.0011460422606827474,0.0005655143910907982,-0.006060181146982364,0.008242168838395915,3,8,-0.0008478034410254673,-0.0014133178321162655,5
arousal_primary_6s,classification,full,LSTM,20260907,validation,pupil_mean_z,logistic,0.010078668337439532,0.0028272617471279283,0.01724768604991944,0.0020712177962312274,0.008007450541208303,-0.002068944507857604,0.018020567151847935,6,8,-0.0008478034410254673,-0.00885525398223377,5
arousal_primary_6s,classification,full,LSTM,20260907,validation,pupil_std_z,logistic,0.003264011650235954,0.0020804972733214993,0.004627065740937023,-0.00033465087027444987,0.0035986625205104037,-0.0037830126211356127,0.011639907010536717,5,8,-0.0008478034410254673,-0.004446465961535872,5
arousal_primary_6s,classification,full,LSTM,20260907,validation,pupil_min_z,logistic,0.0013560733890275148,-0.007195023440010095,0.011020788943164331,0.003127872795621151,-0.0017717994065936358,-0.015672868121821764,0.01170964217258257,4,8,-0.0008478034410254673,0.0009239959655681683,5
arousal_primary_6s,classification,full,LSTM,20260907,validation,pupil_max_z,logistic,-0.000442555187021053,-0.004472733746366371,0.0033733598828908007,0.003964090191843912,-0.004406645378864964,-0.012168716381539203,0.004151095130247434,3,8,-0.0008478034410254673,0.003558841937839498,5
arousal_primary_6s,classification,full,LSTM,20260907,validation,pupil_slope_z_s,logistic,1.8364854605172642e-05,-0.006162568134151411,0.005596411030613304,0.0012047506582319705,-0.0011863858036267976,-0.006513086298551637,0.0041357315058889845,4,8,-0.0008478034410254673,0.00033858236260133137,5
arousal_primary_6s,classification,full,LSTM,20260907,validation,modalidad:EEG,logistic,0.0025659145090345835,-0.0058129048100111005,0.010509409750462904,-0.0030241940449379965,0.00559010855397258,-0.0027980568261628323,0.013923306941135551,5,8,-0.0008478034410254673,-0.006437911994998048,5
arousal_primary_6s,classification,full,LSTM,20260907,validation,modalidad:Eye,logistic,0.0074320019302040515,0.001287241717867878,0.012873977942147617,0.0040093857122705,0.0034226162179335513,-0.007617964061390006,0.014534032701503935,4,8,-0.0008478034410254673,-0.004270419658959019,5
arousal_primary_6s,classification,full,LSTM,20260907,validation,modalidad:Pupil,logistic,0.006372617285993549,-0.001155395774749445,0.014928513549090219,0.006666907236062072,-0.0002942899500685218,-0.012887618150524948,0.010221356349324008,5,8,-0.0008478034410254673,-0.0005535134909569451,5
arousal_primary_6s,classification,full,LSTM,20260907,test,eeg_rms_uv,logistic,-0.004019184068328526,-0.009428130297800095,0.0008017788309011734,-0.0020621192187575783,-0.001957064849570948,-0.007485649196487014,0.0026311797353389295,3,8,0.03221655912654709,0.03417362397611804,5
arousal_primary_6s,classification,full,LSTM,20260907,test,eeg_std_uv,logistic,-0.002480013856297512,-0.010228567042672866,0.002888873551290095,-0.0009500510352709116,-0.0015299628210266006,-0.006247591801893712,0.003150755542312879,3,8,0.03221655912654709,0.03374652194757369,5
arousal_primary_6s,classification,full,LSTM,20260907,test,eeg_peak_to_peak_uv,logistic,-0.006233129291039087,-0.02040136003594849,0.004707376254458782,-0.002452877749141734,-0.0037802515418973535,-0.019092553271919794,0.007241172200854996,4,8,0.03221655912654709,0.03599681066844444,5
arousal_primary_6s,classification,full,LSTM,20260907,test,eeg_delta_relative,logistic,0.006037293090664442,-0.0037693960812707076,0.015720609253657078,-0.003947082318811728,0.009984375409476172,-0.0008479692438096858,0.020542366159790697,5,8,0.03221655912654709,0.02223218371707092,5
arousal_primary_6s,classification,full,LSTM,20260907,test,eeg_theta_relative,logistic,0.0013930321292627197,-0.005307142116912217,0.00906003186978414,-0.004653885985564994,0.006046918114827715,-0.008547642676490394,0.02105604360144658,4,8,0.03221655912654709,0.026169641011719376,5
arousal_primary_6s,classification,full,LSTM,20260907,test,eeg_alpha_relative,logistic,0.004820807412929411,-0.0034456368794803707,0.01724953560142907,-0.0002526922409236186,0.00507349965385303,-0.012725930761948723,0.026370229555104437,5,8,0.03221655912654709,0.02714305947269406,5
arousal_primary_6s,classification,full,LSTM,20260907,test,eeg_beta_relative,logistic,0.0067091793224284685,-0.00610341711510469,0.022491765881113766,-0.0002765009951368855,0.006985680317565355,-0.010893601640505606,0.023199712786790054,5,8,0.03221655912654709,0.025230878808981734,5
arousal_primary_6s,classification,full,LSTM,20260907,test,eeg_gamma_relative,logistic,0.0019791828010774244,-0.005009434716294674,0.011260458519214981,0.0005063289913481688,0.0014728538097292553,-0.009818161448095665,0.015419637642875805,4,8,0.03221655912654709,0.03074370531681784,5
arousal_primary_6s,classification,full,LSTM,20260907,test,eeg_line_noise_ratio,logistic,0.0060128041361699365,-0.0012000151038511126,0.017378961625332798,-0.0010844068860234035,0.007097211022193339,-0.0015801450481526943,0.018087300820609196,4,8,0.03221655912654709,0.02511934810435375,5
arousal_primary_6s,classification,full,LSTM,20260907,test,gaze_dispersion_x_px,logistic,0.014810454435312724,-0.000293062753291331,0.03345636379341333,-0.0018651260281742192,0.01667558046348694,-0.0037156876049770937,0.03828397180942982,7,8,0.03221655912654709,0.015540978663060149,5
arousal_primary_6s,classification,full,LSTM,20260907,test,gaze_dispersion_y_px,logistic,0.0061790363666962955,-0.0022881463325935395,0.016932338346047213,-0.0025134832719189157,0.00869251963861521,-0.00028492538002663554,0.01780313012770477,5,8,0.03221655912654709,0.02352403948793188,5
arousal_primary_6s,classification,full,LSTM,20260907,test,gaze_dispersion_2d_px,logistic,0.004606526405645546,-0.005876847410125645,0.016454852872295107,-0.0026893032916991784,0.007295829697344724,-0.0037540659291242355,0.01854464479189236,5,8,0.03221655912654709,0.024920729429202367,5
arousal_primary_6s,classification,full,LSTM,20260907,test,gaze_path_length_px,logistic,0.0026274552882900887,-0.0045772887587683915,0.010678450868974848,0.0001394473281998022,0.0024880079600902876,-0.010810929405174597,0.016117702215623544,4,8,0.03221655912654709,0.029728551166456802,5
arousal_primary_6s,classification,full,LSTM,20260907,test,fixation_count,logistic,0.005344709903378576,-0.0021055153178625354,0.014032069833011904,0.0006981132462759147,0.004646596657102662,-0.0008021473670978846,0.009555983228064429,6,8,0.03221655912654709,0.02756996246944443,5
