task,kind,subset,architecture,seed,split,feature,participant,temporal_importance,baseline_importance,differential_importance
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,validation,pupil_slope_z_s,P32,0.004761573268360608,-0.009799280659009191,0.0145608539273698
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,validation,pupil_slope_z_s,P38,0.0076761402848359635,-0.011943451073885858,0.019619591358721822
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,validation,pupil_slope_z_s,P41,0.014498084291187674,0.002649151614668832,0.011848932676518842
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,validation,pupil_slope_z_s,P47,0.003946693373890276,-0.018248991202460384,0.022195684576350662
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,validation,pupil_slope_z_s,P6,0.010075385119632884,0.007708947885939055,0.00236643723369383
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,validation,modalidad:Pupil,P23,0.07826086956521744,0.03961352657004832,0.03864734299516912
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,validation,modalidad:Pupil,P28,0.03741459580385753,0.02835419311929379,0.009060402684563741
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,validation,modalidad:Pupil,P31,-0.03213675213675217,0.016068376068376033,-0.048205128205128206
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,validation,modalidad:Pupil,P32,-0.016447383687202687,-0.022473604826546034,0.006026221139343348
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,validation,modalidad:Pupil,P38,0.01774159817638078,0.051485873225003656,-0.033744275048622874
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,validation,modalidad:Pupil,P41,0.08145593869731795,0.017184455391351917,0.06427148330596602
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,validation,modalidad:Pupil,P47,0.034615429394802485,-0.005923007670733793,0.04053843706553628
