task,kind,subset,architecture,seed,split,scope,macro_score,rows,participants,balanced_accuracy,macro_f1,r2,mae,mse
attention_primary,regression,full,BiLSTM,20260907,validation,history_8,-0.9577582153861093,1591,8,,,-0.0008160824726106686,0.7238979776871826,0.9365848610385517
attention_primary,regression,full,BiLSTM,20260907,test,all,-1.0042105217987585,4025,8,,,-0.004582685348302862,0.7359262898924157,1.0045826865309053
attention_primary,regression,full,BiLSTM,20260907,test,history_8,-0.9769413945436324,1375,8,,,-0.008713932378948241,0.7316112968055623,0.9786639098368541
attention_primary,regression,full,BiLSTM,20260908,validation,all,-0.9997699198009993,4662,8,,,0.00027743127922907895,0.7379542471426621,0.9997225690915545
attention_primary,regression,full,BiLSTM,20260908,validation,history_8,-0.9573651385943585,1591,8,,,-0.0010695830736002776,0.7244411576393884,0.936822092263458
attention_primary,regression,full,BiLSTM,20260908,test,all,-1.002389645622943,4025,8,,,-0.002841346535607414,0.7349196357443325,1.0028413477161597
attention_primary,regression,full,BiLSTM,20260908,test,history_8,-0.9794705144263576,1375,8,,,-0.010813812390971123,0.7324487731165821,0.9807012335188101
attention_primary,regression,full,MLP_current,20260907,validation,all,-1.0014247870166102,4662,8,,,-0.0016649485351420967,0.7381247502059761,1.0016649489066463
attention_primary,regression,full,MLP_current,20260907,validation,history_8,-0.9549538560859514,1591,8,,,0.002431584011979848,0.7216529059183406,0.9335456260417929
attention_primary,regression,full,MLP_current,20260907,test,all,-1.000053652170215,4025,8,,,-0.00020350298971827385,0.7347225333373397,1.0002035041671653
attention_primary,regression,full,MLP_current,20260907,test,history_8,-0.9726882698180277,1375,8,,,-0.0035129426976003852,0.7303201392588943,0.9736178598784039
attention_primary,regression,full,MLP_current,20260908,validation,all,-1.0011497031915138,4662,8,,,-0.0010037912630136425,0.7406389908545657,1.0010037916342724
attention_primary,regression,full,MLP_current,20260908,validation,history_8,-0.9621993896504095,1591,8,,,-0.004673848581211448,0.7256459052363712,0.9401950401693832
attention_primary,regression,full,MLP_current,20260908,test,all,-1.0013000680908957,4025,8,,,-0.0012642165097909164,0.7364192112130639,1.0012642176884867
attention_primary,regression,full,MLP_current,20260908,test,history_8,-0.971969802430411,1375,8,,,-0.002388138589211941,0.7297989916493347,0.9725265641689057
attention_primary,classification,EEG,TCN,20260907,validation,all,0.35410729952457265,4662,8,0.3524451113498434,0.3517317636163085,,,
attention_primary,classification,EEG,TCN,20260907,validation,history_8,0.3591438532720663,1591,8,0.3599281125744475,0.35678157324127174,,,
attention_primary,classification,EEG,TCN,20260907,test,all,0.3213794635151725,4025,8,0.32122949523103556,0.318028732954812,,,
attention_primary,classification,EEG,TCN,20260907,test,history_8,0.3143235682671291,1375,8,0.3148781881460703,0.312128519204808,,,
attention_primary,classification,EEG,TCN,20260908,validation,all,0.33821787750451765,4662,8,0.3375696815903763,0.3321847533199646,,,
