task,kind,subset,architecture,split,reference_scope,baseline,baseline_subset,mean_gain,low,high,positive_participants,participants,seeds
arousal_primary_6s,classification,Pupil,TCN,validation,matched,logistic,Pupil,0.004018277458936213,-0.016983885749664057,0.021110624140331095,5,8,2
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,test,full,logistic,full,0.03174581065620613,-0.03150161719470189,0.1102583853121036,3,8,2
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,test,matched,logistic,Pupil_no_quality,0.01918819005430851,-0.006513204899615746,0.04489786868661444,6,8,2
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,validation,full,logistic,full,0.024437088275478313,-0.015164080144147132,0.06105087829569797,6,8,2
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,validation,matched,logistic,Pupil_no_quality,0.017937803105662117,-0.0208162741831404,0.05506597674380273,6,8,2
arousal_primary_6s,classification,Pupil_no_quality,LSTM,test,full,logistic,full,0.03701840077260577,-0.020920579090603336,0.1147265830993755,4,8,2
arousal_primary_6s,classification,Pupil_no_quality,LSTM,test,matched,logistic,Pupil_no_quality,0.024460780170708154,0.003409508201647376,0.04491805524033851,7,8,2
arousal_primary_6s,classification,Pupil_no_quality,LSTM,validation,full,logistic,full,0.014015476329805206,-0.014980871823541991,0.036038218940015035,6,8,2
arousal_primary_6s,classification,Pupil_no_quality,LSTM,validation,matched,logistic,Pupil_no_quality,0.00751619115998901,-0.0176741874078545,0.02957769636333934,6,8,2
arousal_primary_6s,classification,Pupil_no_quality,TCN,test,full,logistic,full,0.026715737964254894,-0.027424125232971216,0.09074089776880395,4,8,2
arousal_primary_6s,classification,Pupil_no_quality,TCN,test,matched,logistic,Pupil_no_quality,0.014158117362357277,-0.010166312522860127,0.038407468715771165,5,8,2
arousal_primary_6s,classification,Pupil_no_quality,TCN,validation,full,logistic,full,0.0034700664071895745,-0.023916968498591974,0.02629342912491251,5,8,2
arousal_primary_6s,classification,Pupil_no_quality,TCN,validation,matched,logistic,Pupil_no_quality,-0.0030292187626266218,-0.027392663803737203,0.02048444635312097,4,8,2
arousal_primary_6s,classification,full,BiLSTM,test,MLP_current_full,MLP_current,full,0.02569860776985041,0.007272092965816259,0.04660176664026058,5,8,2
arousal_primary_6s,classification,full,BiLSTM,test,full,logistic,full,0.05006852045063312,0.02553244576170411,0.07924847303269451,8,8,2
arousal_primary_6s,classification,full,BiLSTM,test,matched,logistic,full,0.05006852045063312,0.02553244576170411,0.07924847303269451,8,8,2
arousal_primary_6s,classification,full,BiLSTM,validation,MLP_current_full,MLP_current,full,-0.013376164609883195,-0.03231778196257564,0.006774522477700897,2,8,2
arousal_primary_6s,classification,full,BiLSTM,validation,full,logistic,full,-0.004408287812167689,-0.030339064869078246,0.020520140742935178,4,8,2
arousal_primary_6s,classification,full,BiLSTM,validation,matched,logistic,full,-0.004408287812167689,-0.030339064869078246,0.020520140742935178,4,8,2
arousal_primary_6s,classification,full,LSTM,test,MLP_current_full,MLP_current,full,-0.003164105090828961,-0.031161547707562406,0.019311332098699917,5,8,2
arousal_primary_6s,classification,full,LSTM,test,full,logistic,full,0.021205807589953746,0.005781871282917326,0.039976507713964375,6,8,2
arousal_primary_6s,classification,full,LSTM,test,matched,logistic,full,0.021205807589953746,0.005781871282917326,0.039976507713964375,6,8,2
arousal_primary_6s,classification,full,LSTM,validation,MLP_current_full,MLP_current,full,-0.0025539045381421377,-0.016704108444429412,0.012016664185768584,4,8,2
arousal_primary_6s,classification,full,LSTM,validation,full,logistic,full,0.00641397225957337,-0.018934744934143724,0.034822249638584775,4,8,2
arousal_primary_6s,classification,full,LSTM,validation,matched,logistic,full,0.00641397225957337,-0.018934744934143724,0.034822249638584775,4,8,2
arousal_primary_6s,classification,full,MLP_current,test,full,logistic,full,0.02436991268078271,-0.0012462983989902526,0.051210639475103965,7,8,2
arousal_primary_6s,classification,full,MLP_current,test,matched,logistic,full,0.02436991268078271,-0.0012462983989902526,0.051210639475103965,7,8,2
arousal_primary_6s,classification,full,MLP_current,validation,full,logistic,full,0.008967876797715508,-0.018141497626485124,0.04035090466188727,3,8,2
arousal_primary_6s,classification,full,MLP_current,validation,matched,logistic,full,0.008967876797715508,-0.018141497626485124,0.04035090466188727,3,8,2
arousal_primary_6s,classification,full,TCN,test,MLP_current_full,MLP_current,full,0.01188790635018039,-0.0011353725801980781,0.027371939780666193,5,8,2
arousal_primary_6s,classification,full,TCN,test,full,logistic,full,0.0362578190309631,0.01574600232591944,0.0605499700847123,8,8,2
arousal_primary_6s,classification,full,TCN,test,matched,logistic,full,0.0362578190309631,0.01574600232591944,0.0605499700847123,8,8,2
arousal_primary_6s,classification,full,TCN,validation,MLP_current_full,MLP_current,full,-0.015197177645557593,-0.026485390787674326,-0.004724485043372199,2,8,2
arousal_primary_6s,classification,full,TCN,validation,full,logistic,full,-0.006229300847842085,-0.034665940868482896,0.024467998483284355,3,8,2
arousal_primary_6s,classification,full,TCN,validation,matched,logistic,full,-0.006229300847842085,-0.034665940868482896,0.024467998483284355,3,8,2
arousal_primary_6s,regression,Eye_Pupil,BiLSTM,test,full,ridge,full,-0.006440087587386845,-0.02510863835282089,0.007452187663467206,4,8,2
arousal_primary_6s,regression,Eye_Pupil,BiLSTM,test,matched,ridge,Eye_Pupil,-0.007460152479943152,-0.024211010944878004,0.004908017611813982,3,8,2
arousal_primary_6s,regression,Eye_Pupil,BiLSTM,validation,full,ridge,full,-0.003216779364263442,-0.009042417865345648,0.0017959724358052596,4,8,2
arousal_primary_6s,regression,Eye_Pupil,BiLSTM,validation,matched,ridge,Eye_Pupil,-0.003543031135527036,-0.010804938447105967,0.003498784677752615,4,8,2
arousal_primary_6s,regression,Eye_Pupil,LSTM,test,full,ridge,full,-0.007591740045691603,-0.018688864318252674,0.0016085758539072788,2,8,2
arousal_primary_6s,regression,Eye_Pupil,LSTM,test,matched,ridge,Eye_Pupil,-0.00861180493824791,-0.01774857916218467,-0.0020204343272074085,2,8,2
arousal_primary_6s,regression,Eye_Pupil,LSTM,validation,full,ridge,full,-0.005445805370760948,-0.010218961596384937,-0.0006576048913971409,2,8,2
arousal_primary_6s,regression,Eye_Pupil,LSTM,validation,matched,ridge,Eye_Pupil,-0.005772057142024542,-0.009874619573236322,-0.001681134243156987,2,8,2
arousal_primary_6s,regression,Eye_Pupil,TCN,test,full,ridge,full,-0.0031214837761202596,-0.009589847233121954,0.002184182802557874,4,8,2
arousal_primary_6s,regression,Eye_Pupil,TCN,test,matched,ridge,Eye_Pupil,-0.004141548668676567,-0.009008416365995956,-0.0002928540840996449,1,8,2
arousal_primary_6s,regression,Eye_Pupil,TCN,validation,full,ridge,full,-0.007918779506866896,-0.01652998995871654,0.0006766236717551111,1,8,2
arousal_primary_6s,regression,Eye_Pupil,TCN,validation,matched,ridge,Eye_Pupil,-0.00824503127813049,-0.015094587333607336,-0.003757607163105574,0,8,2
arousal_primary_6s,regression,Eye_Pupil_no_quality,BiLSTM,test,full,ridge,full,-0.008836983228480054,-0.025671143516013926,0.0020952374045553426,4,8,2
arousal_primary_6s,regression,Eye_Pupil_no_quality,BiLSTM,test,matched,ridge,Eye_Pupil_no_quality,-0.009939205511314199,-0.025085673181552012,1.1047785768480162e-05,3,8,2
arousal_primary_6s,regression,Eye_Pupil_no_quality,BiLSTM,validation,full,ridge,full,-0.008845594257838846,-0.020858244079821106,0.000859405331523583,2,8,2
arousal_primary_6s,regression,Eye_Pupil_no_quality,BiLSTM,validation,matched,ridge,Eye_Pupil_no_quality,-0.008967842541550086,-0.020728759684573314,0.0005767308217827917,2,8,2
arousal_primary_6s,regression,Eye_Pupil_no_quality,LSTM,test,full,ridge,full,-0.005865191745608622,-0.019591965037155764,0.0028189961538383976,4,8,2
arousal_primary_6s,regression,Eye_Pupil_no_quality,LSTM,test,matched,ridge,Eye_Pupil_no_quality,-0.006967414028442767,-0.019613106635729217,0.0011535629302636963,4,8,2
arousal_primary_6s,regression,Eye_Pupil_no_quality,LSTM,validation,full,ridge,full,-0.006055851056437668,-0.01254504524969212,0.00037193719676788093,2,8,2
arousal_primary_6s,regression,Eye_Pupil_no_quality,LSTM,validation,matched,ridge,Eye_Pupil_no_quality,-0.0061780993401489084,-0.011007790137065768,-0.0012697253922993416,2,8,2
arousal_primary_6s,regression,Eye_Pupil_no_quality,TCN,test,full,ridge,full,-0.009218669000776385,-0.0224846047267505,-5.62705106384044e-05,2,8,2
arousal_primary_6s,regression,Eye_Pupil_no_quality,TCN,test,matched,ridge,Eye_Pupil_no_quality,-0.01032089128361053,-0.022274898284537367,-0.002394137013867013,2,8,2
arousal_primary_6s,regression,Eye_Pupil_no_quality,TCN,validation,full,ridge,full,-0.011913457643188297,-0.02423659372956257,-0.0013641830597541432,2,8,2
arousal_primary_6s,regression,Eye_Pupil_no_quality,TCN,validation,matched,ridge,Eye_Pupil_no_quality,-0.012035705926899537,-0.023256473132506585,-0.004318938641356949,1,8,2
arousal_primary_6s,regression,Pupil,BiLSTM,test,full,ridge,full,-0.0042703668563588495,-0.01782027971011008,0.007416836784773254,4,8,2
arousal_primary_6s,regression,Pupil,BiLSTM,test,matched,ridge,Pupil,0.001620343964693259,-0.004571766467622099,0.007018123158226128,6,8,2
arousal_primary_6s,regression,Pupil,BiLSTM,validation,full,ridge,full,-0.005364058066002916,-0.012025801383429091,0.0008903053654595334,3,8,2
arousal_primary_6s,regression,Pupil,BiLSTM,validation,matched,ridge,Pupil,-0.002057136742799698,-0.00632624233282531,0.0028778927422163786,2,8,2
arousal_primary_6s,regression,Pupil,LSTM,test,full,ridge,full,-0.005898809356371437,-0.02028402898347961,0.004207099676142528,4,8,2
arousal_primary_6s,regression,Pupil,LSTM,test,matched,ridge,Pupil,-8.098535319328581e-06,-0.003133909467747813,0.003137945347479512,4,8,2
arousal_primary_6s,regression,Pupil,LSTM,validation,full,ridge,full,-0.008171657449895758,-0.013932203563755118,-0.0029751148580097956,1,8,2
arousal_primary_6s,regression,Pupil,LSTM,validation,matched,ridge,Pupil,-0.00486473612669254,-0.008223187474266954,-0.000497801334313638,1,8,2
arousal_primary_6s,regression,Pupil,TCN,test,full,ridge,full,-0.007562447923849233,-0.021814283790030062,0.0027954543307437893,2,8,2
arousal_primary_6s,regression,Pupil,TCN,test,matched,ridge,Pupil,-0.0016717371027971245,-0.0060067094408817944,0.003064239834809603,3,8,2
arousal_primary_6s,regression,Pupil,TCN,validation,full,ridge,full,-0.008145987017420288,-0.014512477862881337,-0.0015477206833862393,2,8,2
arousal_primary_6s,regression,Pupil,TCN,validation,matched,ridge,Pupil,-0.004839065694217069,-0.00870994598378782,-0.0008847078051189144,2,8,2
arousal_primary_6s,regression,Pupil_no_quality,BiLSTM,test,full,ridge,full,-0.005075303407712874,-0.018751226899672277,0.004207392868681378,4,8,2
arousal_primary_6s,regression,Pupil_no_quality,BiLSTM,test,matched,ridge,Pupil_no_quality,0.0009000488525881742,-0.0020423289780896973,0.0037610078726861705,5,8,2
arousal_primary_6s,regression,Pupil_no_quality,BiLSTM,validation,full,ridge,full,-0.006136131990351047,-0.014334183544690573,0.0026544282724639493,2,8,2
arousal_primary_6s,regression,Pupil_no_quality,BiLSTM,validation,matched,ridge,Pupil_no_quality,-0.0029507385906274095,-0.0077491701625073475,0.0016623066883938934,4,8,2
arousal_primary_6s,regression,Pupil_no_quality,LSTM,test,full,ridge,full,-0.006045267655737686,-0.021245411120186315,0.004032523743661,5,8,2
arousal_primary_6s,regression,Pupil_no_quality,LSTM,test,matched,ridge,Pupil_no_quality,-6.991539543663855e-05,-0.003398049978954781,0.003181946923639786,3,8,2
arousal_primary_6s,regression,Pupil_no_quality,LSTM,validation,full,ridge,full,-0.00658045001211071,-0.014630095947810631,0.0015043886893471132,2,8,2
arousal_primary_6s,regression,Pupil_no_quality,LSTM,validation,matched,ridge,Pupil_no_quality,-0.003395056612387072,-0.007299329103782186,0.0006967992089872792,2,8,2
arousal_primary_6s,regression,Pupil_no_quality,TCN,test,full,ridge,full,-0.006562104730991648,-0.022306105170695298,0.004256624672664658,4,8,2
arousal_primary_6s,regression,Pupil_no_quality,TCN,test,matched,ridge,Pupil_no_quality,-0.0005867524706906005,-0.003736756623971689,0.002904742684980802,3,8,2
arousal_primary_6s,regression,Pupil_no_quality,TCN,validation,full,ridge,full,-0.005950062702318203,-0.012389002422436943,0.001198851686350704,2,8,2
arousal_primary_6s,regression,Pupil_no_quality,TCN,validation,matched,ridge,Pupil_no_quality,-0.002764669302594565,-0.0052632024256312054,-0.0003877548125050596,2,8,2
arousal_primary_6s,regression,full,BiLSTM,test,MLP_current_full,MLP_current,full,-0.004464298657098638,-0.020612291712044553,0.006924091886660303,5,8,2
arousal_primary_6s,regression,full,BiLSTM,test,full,ridge,full,-0.006774869008558199,-0.029820049111577616,0.007950769769337347,5,8,2
arousal_primary_6s,regression,full,BiLSTM,test,matched,ridge,full,-0.006774869008558199,-0.029820049111577616,0.007950769769337347,5,8,2
arousal_primary_6s,regression,full,BiLSTM,validation,MLP_current_full,MLP_current,full,0.0001679011030088981,-0.00786847141162273,0.00859703095611751,5,8,2
arousal_primary_6s,regression,full,BiLSTM,validation,full,ridge,full,-0.004560272848191167,-0.013971152137174321,0.004925374042527951,3,8,2
arousal_primary_6s,regression,full,BiLSTM,validation,matched,ridge,full,-0.004560272848191167,-0.013971152137174321,0.004925374042527951,3,8,2
arousal_primary_6s,regression,full,LSTM,test,MLP_current_full,MLP_current,full,-0.0028709708029627176,-0.008019380493332149,0.0028438622239495355,3,8,2
arousal_primary_6s,regression,full,LSTM,test,full,ridge,full,-0.005181541154422278,-0.01650112522405953,0.003322200828654114,3,8,2
arousal_primary_6s,regression,full,LSTM,test,matched,ridge,full,-0.005181541154422278,-0.01650112522405953,0.003322200828654114,3,8,2
arousal_primary_6s,regression,full,LSTM,validation,MLP_current_full,MLP_current,full,-0.00645503883366845,-0.01046386281515705,-0.0023420772618430196,2,8,2
arousal_primary_6s,regression,full,LSTM,validation,full,ridge,full,-0.011183212784868515,-0.01816608554160324,-0.003851859413762516,1,8,2
arousal_primary_6s,regression,full,LSTM,validation,matched,ridge,full,-0.011183212784868515,-0.01816608554160324,-0.003851859413762516,1,8,2
arousal_primary_6s,regression,full,MLP_current,test,full,ridge,full,-0.0023105703514595607,-0.010392154269355759,0.00337516300961716,4,8,2
arousal_primary_6s,regression,full,MLP_current,test,matched,ridge,full,-0.0023105703514595607,-0.010392154269355759,0.00337516300961716,4,8,2
arousal_primary_6s,regression,full,MLP_current,validation,full,ridge,full,-0.004728173951200065,-0.01009524117058139,0.0004753522261988635,1,8,2
arousal_primary_6s,regression,full,MLP_current,validation,matched,ridge,full,-0.004728173951200065,-0.01009524117058139,0.0004753522261988635,1,8,2
arousal_primary_6s,regression,full,TCN,test,MLP_current_full,MLP_current,full,-0.006330645998277422,-0.011151502408236372,-0.0020501105729084025,2,8,2
arousal_primary_6s,regression,full,TCN,test,full,ridge,full,-0.008641216349736983,-0.019877792113029882,0.0004714108889198387,2,8,2
arousal_primary_6s,regression,full,TCN,test,matched,ridge,full,-0.008641216349736983,-0.019877792113029882,0.0004714108889198387,2,8,2
arousal_primary_6s,regression,full,TCN,validation,MLP_current_full,MLP_current,full,-0.0011560712144999055,-0.007120558050902784,0.005056054369105955,3,8,2
arousal_primary_6s,regression,full,TCN,validation,full,ridge,full,-0.005884245165699971,-0.00769895277274682,-0.003964910890935943,0,8,2
arousal_primary_6s,regression,full,TCN,validation,matched,ridge,full,-0.005884245165699971,-0.00769895277274682,-0.003964910890935943,0,8,2
attention_primary,classification,EEG,BiLSTM,test,full,logistic,full,0.010359340539727764,0.0005472919684292284,0.02028370811005125,6,8,2
attention_primary,classification,EEG,BiLSTM,test,matched,logistic,EEG,0.015391640662236285,-0.0030171492916876014,0.03660357990530252,5,8,2
attention_primary,classification,EEG,BiLSTM,validation,full,logistic,full,0.01005847546702459,-0.0034406359613706854,0.025079564999532043,4,8,2
attention_primary,classification,EEG,BiLSTM,validation,matched,logistic,EEG,0.008076459543511202,-0.009245808007206157,0.026021182304940868,5,8,2
attention_primary,classification,EEG,LSTM,test,full,logistic,full,0.0027339439671417616,-0.007361061270199588,0.013382677222506259,5,8,2
attention_primary,classification,EEG,LSTM,test,matched,logistic,EEG,0.007766244089650282,-0.0018976607197636868,0.01703683716073714,5,8,2
attention_primary,classification,EEG,LSTM,validation,full,logistic,full,0.01217048299116285,0.0034599632734167904,0.021129115801060236,6,8,2
attention_primary,classification,EEG,LSTM,validation,matched,logistic,EEG,0.010188467067649462,-0.001290622937244826,0.021974547963173347,5,8,2
attention_primary,classification,EEG,TCN,test,full,logistic,full,0.0006753622256377503,-0.013527830002849683,0.013851267272146448,5,8,2
attention_primary,classification,EEG,TCN,test,matched,logistic,EEG,0.005707662348146271,-0.013891379674870797,0.025084635862163845,5,8,2
attention_primary,classification,EEG,TCN,validation,full,logistic,full,0.008913203836043968,-0.009027452376408649,0.025382752667118962,5,8,2
attention_primary,classification,EEG,TCN,validation,matched,logistic,EEG,0.006931187912530581,-0.010247383334033288,0.025898811225375323,4,8,2
attention_primary,classification,compact_no_noise,BiLSTM,test,full,logistic,full,-0.0018971206798567807,-0.018150188939765024,0.012425741493523065,3,8,2
attention_primary,classification,compact_no_noise,BiLSTM,test,matched,logistic,compact_no_noise,-0.006951460848305804,-0.025583603041785016,0.012039014432403197,3,8,2
attention_primary,classification,compact_no_noise,BiLSTM,validation,full,logistic,full,0.0015182912502406387,-0.029367608441338,0.02614854017060837,4,8,2
attention_primary,classification,compact_no_noise,BiLSTM,validation,matched,logistic,compact_no_noise,0.0011329686325202218,-0.011792358050455278,0.014957638303316347,3,8,2
attention_primary,classification,compact_no_noise,LSTM,test,full,logistic,full,0.0033938474284135947,-0.009773662380967623,0.01739592790229165,4,8,2
attention_primary,classification,compact_no_noise,LSTM,test,matched,logistic,compact_no_noise,-0.0016604927400354283,-0.029025195437499575,0.022970689637899073,5,8,2
attention_primary,classification,compact_no_noise,LSTM,validation,full,logistic,full,-0.005069927709548984,-0.029397797225175173,0.016382514420154502,4,8,2
attention_primary,classification,compact_no_noise,LSTM,validation,matched,logistic,compact_no_noise,-0.005455250327269401,-0.019534335863520606,0.009459207730350225,2,8,2
attention_primary,classification,compact_no_noise,TCN,test,full,logistic,full,0.013557109556706137,0.004100767200138686,0.025214730338822967,6,8,2
attention_primary,classification,compact_no_noise,TCN,test,matched,logistic,compact_no_noise,0.008502769388257114,-0.014859999998816447,0.030321291544657687,5,8,2
attention_primary,classification,compact_no_noise,TCN,validation,full,logistic,full,0.0011219600776883262,-0.019689762656733514,0.020228103093954567,4,8,2
attention_primary,classification,compact_no_noise,TCN,validation,matched,logistic,compact_no_noise,0.0007366374599679093,-0.014625826045119805,0.016636002082708334,5,8,2
attention_primary,classification,full,BiLSTM,test,MLP_current_full,MLP_current,full,0.006245992930687238,-0.0038459771899651864,0.01681838166009422,5,8,2
attention_primary,classification,full,BiLSTM,test,full,logistic,full,0.004142210336223154,-0.016954831520490654,0.022389310282940805,5,8,2
attention_primary,classification,full,BiLSTM,test,matched,logistic,full,0.004142210336223154,-0.016954831520490654,0.022389310282940805,5,8,2
attention_primary,classification,full,BiLSTM,validation,MLP_current_full,MLP_current,full,-0.007840459685894238,-0.0212307343729863,0.006453740063985343,2,8,2
