scope,reference,mean_delta,ci_low,ci_high,positive_participants
selected,all,-0.002148832921081467,-0.009999459673632912,0.004808673144448615,10
selected,fixed_logistic,-0.0010878767928200238,-0.012491718537258088,0.009975653900622694,14
fixed_half,all,-0.0012415003836880301,-0.010068238118457125,0.007610789853027826,11
fixed_half,fixed_logistic,-0.00018054425542658682,-0.00821628310707335,0.007556704888762518,14
