fold,inner,base_id,family,representation,smoothing,candidate_id,score
1,1,relative_m5,trees,relative,32,relative_m5_s32,0.3058668818348949
1,2,current_m0,ridge,current,1,current_m0_s1,0.36729273571670973
1,2,current_m0,ridge,current,8,current_m0_s8,0.3807550391184425
1,2,current_m0,ridge,current,32,current_m0_s32,0.39536284647824366
1,2,current_m1,ridge,current,1,current_m1_s1,0.3674022106148495
1,2,current_m1,ridge,current,8,current_m1_s8,0.37899484038231246
1,2,current_m1,ridge,current,32,current_m1_s32,0.389106771773438
1,2,current_m2,rbf,current,1,current_m2_s1,0.369048616439032
1,2,current_m2,rbf,current,8,current_m2_s8,0.38681003996142665
1,2,current_m2,rbf,current,32,current_m2_s32,0.3955418310250435
1,2,current_m3,rbf,current,1,current_m3_s1,0.36676175780169157
1,2,current_m3,rbf,current,8,current_m3_s8,0.3748192098750658
1,2,current_m3,rbf,current,32,current_m3_s32,0.38537979152808444
1,2,current_m4,trees,current,1,current_m4_s1,0.3646730176141941
1,2,current_m4,trees,current,8,current_m4_s8,0.3690221760809996
1,2,current_m4,trees,current,32,current_m4_s32,0.37129577549745607
1,2,current_m5,trees,current,1,current_m5_s1,0.3636275395939261
1,2,current_m5,trees,current,8,current_m5_s8,0.3680303325681476
1,2,current_m5,trees,current,32,current_m5_s32,0.37243196268406353
1,2,multiscale_m0,ridge,multiscale,1,multiscale_m0_s1,0.3555423653558143
1,2,multiscale_m0,ridge,multiscale,8,multiscale_m0_s8,0.3576401852648677
1,2,multiscale_m0,ridge,multiscale,32,multiscale_m0_s32,0.34959411038157123
1,2,multiscale_m1,ridge,multiscale,1,multiscale_m1_s1,0.36123279085588955
1,2,multiscale_m1,ridge,multiscale,8,multiscale_m1_s8,0.3604831734856559
1,2,multiscale_m1,ridge,multiscale,32,multiscale_m1_s32,0.35956922637850725
1,2,multiscale_m2,rbf,multiscale,1,multiscale_m2_s1,0.34387353993507963
1,2,multiscale_m2,rbf,multiscale,8,multiscale_m2_s8,0.34476422682798347
1,2,multiscale_m2,rbf,multiscale,32,multiscale_m2_s32,0.3378037744091983
1,2,multiscale_m3,rbf,multiscale,1,multiscale_m3_s1,0.3525858863601995
1,2,multiscale_m3,rbf,multiscale,8,multiscale_m3_s8,0.3541236106908425
1,2,multiscale_m3,rbf,multiscale,32,multiscale_m3_s32,0.3503486430503286
1,2,multiscale_m4,trees,multiscale,1,multiscale_m4_s1,0.3628467663767488
1,2,multiscale_m4,trees,multiscale,8,multiscale_m4_s8,0.3644485374168215
1,2,multiscale_m4,trees,multiscale,32,multiscale_m4_s32,0.35770440075671844
1,2,multiscale_m5,trees,multiscale,1,multiscale_m5_s1,0.362164032444492
1,2,multiscale_m5,trees,multiscale,8,multiscale_m5_s8,0.36532121212522406
1,2,multiscale_m5,trees,multiscale,32,multiscale_m5_s32,0.35666403052686596
