scope,seed,label,predicted_fraction,global_recall,participant_recall
pool_fixed_history,20260911,bajo,0.34449866903283055,0.3962113659022931,0.3868139530851708
pool_fixed_history,20260911,medio,0.3386572020112393,0.37131107885824866,0.36942348831356925
pool_fixed_history,20260911,alto,0.31684412895593017,0.3309714285714286,0.3396050374712627
pool_fixed_history,20260912,bajo,0.34449866903283055,0.3962113659022931,0.3868139530851708
pool_fixed_history,20260912,medio,0.3386572020112393,0.37131107885824866,0.36942348831356925
pool_fixed_history,20260912,alto,0.31684412895593017,0.3309714285714286,0.3396050374712627
pool_fixed_multiscale,20260911,bajo,0.35048802129547474,0.3954137587238285,0.38450184228984674
pool_fixed_multiscale,20260911,medio,0.3466430050280982,0.3776003870343493,0.37518077697823093
pool_fixed_multiscale,20260911,alto,0.30286897367642707,0.31725714285714285,0.32647858804826557
pool_fixed_multiscale,20260912,bajo,0.35048802129547474,0.3954137587238285,0.38450184228984674
pool_fixed_multiscale,20260912,medio,0.3466430050280982,0.3776003870343493,0.37518077697823093
pool_fixed_multiscale,20260912,alto,0.30286897367642707,0.31725714285714285,0.32647858804826557
pool_lda,20260911,bajo,0.3269742679680568,0.36490528414755735,0.3579765627232143
pool_lda,20260911,medio,0.37954747116237797,0.40517658442186744,0.40043146589970574
pool_lda,20260911,alto,0.29347826086956524,0.304,0.318498133761617
pool_lda,20260912,bajo,0.3269742679680568,0.36490528414755735,0.3579765627232143
pool_lda,20260912,medio,0.37954747116237797,0.40517658442186744,0.40043146589970574
pool_lda,20260912,alto,0.29347826086956524,0.304,0.318498133761617
pool_logistic,20260911,bajo,0.3609139307897072,0.40299102691924227,0.39350248534492593
pool_logistic,20260911,medio,0.3646850044365572,0.3950169327527818,0.393668960748929
pool_logistic,20260911,alto,0.2744010647737356,0.28182857142857143,0.29454039025928
pool_logistic,20260912,bajo,0.3609139307897072,0.40299102691924227,0.39350248534492593
pool_logistic,20260912,medio,0.3646850044365572,0.3950169327527818,0.393668960748929
pool_logistic,20260912,alto,0.2744010647737356,0.28182857142857143,0.29454039025928
pool_selected,20260911,bajo,0.3559597752144336,0.39641076769690925,0.38625496685922905
pool_selected,20260911,medio,0.37533274179236914,0.4027576197387518,0.3986508790280728
pool_selected,20260911,alto,0.2687074829931973,0.28,0.2932661974910927
pool_selected,20260912,bajo,0.3559597752144336,0.39641076769690925,0.38625496685922905
pool_selected,20260912,medio,0.37533274179236914,0.4027576197387518,0.3986508790280728
pool_selected,20260912,alto,0.2687074829931973,0.28,0.2932661974910927
stack_global_C0.001,20260911,bajo,0.39500147885241055,0.4522432701894317,0.4496999000215339
stack_global_C0.001,20260911,medio,0.33222419402543624,0.34808901790033864,0.35022097828461163
stack_global_C0.001,20260911,alto,0.2727743271221532,0.27977142857142856,0.28206515636245355
stack_global_C0.001,20260912,bajo,0.39500147885241055,0.4522432701894317,0.4496999000215339
stack_global_C0.001,20260912,medio,0.33222419402543624,0.34808901790033864,0.35022097828461163
stack_global_C0.001,20260912,alto,0.2727743271221532,0.27977142857142856,0.28206515636245355
stack_global_C0.01,20260911,bajo,0.3737799467613132,0.4358923230309073,0.4294099326623829
stack_global_C0.01,20260911,medio,0.33584738243123335,0.3555878084179971,0.3562807318819045
stack_global_C0.01,20260911,alto,0.29037267080745344,0.30125714285714283,0.30396191160658176
stack_global_C0.01,20260912,bajo,0.3737799467613132,0.4358923230309073,0.4294099326623829
stack_global_C0.01,20260912,medio,0.33584738243123335,0.3555878084179971,0.3562807318819045
stack_global_C0.01,20260912,alto,0.29037267080745344,0.30125714285714283,0.30396191160658176
stack_global_C0.1,20260911,bajo,0.3378438331854481,0.37507477567298103,0.3655920652844906
stack_global_C0.1,20260911,medio,0.36098787341023364,0.3841315916787615,0.3834161826706376
stack_global_C0.1,20260911,alto,0.3011682934043182,0.30994285714285713,0.3101363483220762
stack_global_C0.1,20260912,bajo,0.3378438331854481,0.37507477567298103,0.3655920652844906
stack_global_C0.1,20260912,medio,0.36098787341023364,0.3841315916787615,0.3834161826706376
stack_global_C0.1,20260912,alto,0.3011682934043182,0.30994285714285713,0.3101363483220762
stack_participant_C0.001,20260911,bajo,0.4875036971310263,0.527617148554337,0.5303636747557007
stack_participant_C0.001,20260911,medio,0.046362023070097604,0.04886308659893566,0.04920219269512113
stack_participant_C0.001,20260911,alto,0.46613427979887606,0.4873142857142857,0.48434850685890096
stack_participant_C0.001,20260912,bajo,0.4875036971310263,0.527617148554337,0.5303636747557007
stack_participant_C0.001,20260912,medio,0.046362023070097604,0.04886308659893566,0.04920219269512113
stack_participant_C0.001,20260912,alto,0.46613427979887606,0.4873142857142857,0.48434850685890096
stack_participant_C0.01,20260911,bajo,0.47833481218574386,0.5222333000997009,0.5224357468039063
stack_participant_C0.01,20260911,medio,0.06100266193433895,0.0641025641025641,0.06375865745390463
